bill_id,human_issue_code,policy_direction_of_yea,ideological_valence,position_summary,confidence,review_status,position_evidence_allowed,review_note
96974,criminal_justice,"Expand mandatory collection of a local solicitor fee to all criminal matters in which court costs are assessed and bar waiving that fee unless every other court charge is waived.",conservative,"Sponsored a Pickens County bill expanding criminal-case fee collection and restricting selective judicial waiver of the solicitor fee.",high,reviewed,True,"Full enrolled text reviewed. This is a local court-finance measure with a marginally conservative punitive/fee-collection direction; it is not evidence of a broad statewide criminal-justice platform. The progressive model label is unsupported."
96806,criminal_justice,"Authorize Tuscaloosa red-light cameras and owner-based civil enforcement while capping fines and adding notice, appeal, record, insurance, and anti-incarceration safeguards.",mixed,"Co-sponsored Tuscaloosa's red-light-camera authorization, expanding automated civil enforcement but pairing it with substantial due-process and collateral-consequence protections.",high,reviewed,True,"Full enrolled text reviewed. The principal direction expands surveillance and civil enforcement; safeguards make the ideological valence mixed. Treat as a local traffic-enforcement position, not a broad criminal-justice ideology indicator."
96546,taxes_budget,"Prohibit public law-enforcement agencies from charging insurers, motorists, or vehicle owners a separate fee for responding to or investigating a motor-vehicle accident.",mixed,"Co-sponsored a statewide ban on accident-response service fees, limiting government fee collection and shielding motorists and insurers from an added charge.",high,reviewed,True,"Full enrolled text reviewed. The queue's criminal-justice label is too broad; this is primarily a government-fee and consumer-cost measure. Its anti-fee direction can read as fiscally conservative while its cost protection is not cleanly ideological."
96888,environment_energy,"Bar new permitted landfills and junkyards outside municipal limits within one mile of the Chattahoochee River, except facilities located on an industrial site.",progressive,"Co-sponsored a regulatory buffer preventing new landfills and junkyards near the Chattahoochee River.",high,reviewed,True,"Full introduced text reviewed. The measure is geographically narrow but directly supports preventive waterway protection through land-use regulation. The Ministral conservative label is unsupported by the enacted policy direction."
97980,environment_energy,"Commend the Coosa Valley Resource Conservation and Development Council for receiving a federal partnership award.",nonideological,"Joined a chamber-wide ceremonial commendation of a regional conservation organization.",high,reviewed,False,"Full resolution reviewed. This is a nearly chamber-wide ceremonial recognition with no policy, appropriation, regulation, or reliable evidence of an individual environmental position."
96398,social_services,"Create an interagency commission to coordinate transportation access for people with disabilities, older adults, and low-income residents while reducing duplicative rules and identifying cost-effective service strategies.",progressive,"Co-sponsored creation of a statewide interagency body focused on improving coordinated transportation access for disabled, elderly, and low-income Alabamians.",high,reviewed,True,"Full introduced text reviewed. The bill creates planning and coordination duties rather than a direct appropriation, but it is substantive evidence of prioritizing access to human-service transportation for vulnerable populations."
96731,public_private_partnerships,"Require a three-fifths vote in each legislative chamber before a state mental-health institution may be leased, transferred, or placed under nongovernmental management.",progressive,"Co-sponsored a high legislative barrier to privatizing or outsourcing management of state mental-health institutions.",high,reviewed,True,"Full introduced text reviewed. This is directly anti-privatization and pro-legislative oversight of public institutions. Both model labels of conservative conflate greater legislative control with conservative policy; relative to a free-market/privatization dimension, the direction is progressive, though it does not prove a position on mental-health funding levels."
97206,public_private_partnerships,"Urge Tuscaloosa-area local governments to study purchasing the privately owned Black Warrior River toll bridge, retaining tolls until the purchase price is repaid and then ending them.",progressive,"Co-sponsored a feasibility study of local public acquisition of a privately owned toll bridge, with the stated goal of ultimately eliminating the toll.",high,reviewed,True,"Full resolution text and both model reviews examined. The resolution is nonbinding and geographically narrow, so it supports only a modest local position: openness to public ownership of infrastructure where sponsors argued it could improve access and economic development."
97292,economic_development,"Commend Huntsville's effort to become a Google Fiber test market.",nonideological,"Co-sponsored a ceremonial commendation of Huntsville's Google Fiber application.",high,reviewed,False,"Full resolution and both model reviews examined. This is symbolic recognition without an appropriation, regulatory change, or governmental commitment; it is not reliable evidence of an individual broadband or economic-policy position."
97646,education,"Commend Fayette County members of the University of Alabama Crimsonettes.",nonideological,"Co-sponsored a ceremonial commendation of local students serving in the University of Alabama Crimsonettes.",high,reviewed,False,"Full resolution and both model reviews examined. This is a local ceremonial honor and supplies no substantive education-policy evidence."
