person_id,candidate,election_cycle,issue,stance_code,position_summary,evidence_date,temporal_status,confidence,source_url
ALPERSON-BARBARA-BIGSBY-BOYD,Barbara Bigsby Boyd,2010,public_education,support,"Career educator with sustained advocacy for education and children; surviving detailed source is retrospective.",2010-11-02,retrospective_preexisting_record,medium,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2026RS/HJR307-int.pdf
ALPERSON-JAMES-C-FIELDS-JR,James C. Fields Jr.,2010,public_education,support,"Urged immediate additional school funding.",2009-01-27,pre_election,high,https://www.co.cullman.al.us/assets/PDFs/minutes/2009/01_27_09.pdf
ALPERSON-JAMES-C-FIELDS-JR,James C. Fields Jr.,2010,taxes_budget,mixed_qualified,"Supported a half-cent sales tax for schools followed by a voter referendum; pro-investment but using a regressive tax instrument.",2009-01-27,pre_election,high,https://www.co.cullman.al.us/assets/PDFs/minutes/2009/01_27_09.pdf
ALPERSON-MARC-KEAHEY,Marc Keahey,2010,guns,gun_rights,"Sponsored legislation barring government confiscation or regulation of lawful firearms during emergencies.",2008-02-05,pre_election,medium,https://www.almonline.org/Assets/Files/LegislativeAdvocacy/Archives/2009_Regular_Session_Final_Report.pdf
ALPERSON-NATHANIEL-LEDBETTER,Nathaniel Ledbetter,2010,abortion,anti_abortion,"Later party-switch account says he opposed abortion; no comparable 2010 campaign statement has been recovered.",2013-03-01,post_election,medium,https://southerntorch.com/wp-content/uploads/2014/02/NATHANIEL-LEDBETTER.pdf
ALPERSON-JEFF-MCLAUGHLIN,Jeff McLaughlin,2014,guns,gun_rights,"Received a 92 percent NRA-PVF Alabama rating in 2011 and the NRA endorsement in the 2010 election cycle, providing pre-2014 evidence of a strong gun-rights voting record.",2011-03-18,pre_election,medium,https://justfacts.votesmart.org/candidate/53380/jeff-mclaughlin
ALPERSON-JEFF-MCLAUGHLIN,Jeff McLaughlin,2014,labor_unions,aligned,"Received the Alabama AFL-CIO endorsement in the 2010 election cycle, indicating organized-labor alignment before his 2014 comeback campaign.",2010-09-28,pre_election,medium,https://justfacts.votesmart.org/candidate/53380/jeff-mclaughlin
ALPERSON-ANDREW-ANDY-BETTERTON,"Andrew ""Andy"" Betterton",2014,business_economic_development,local_development,"Campaign prioritized recruiting new and expanding industry, revitalizing the Shoals economy, and expanding tourism.",2014-08-12,pre_election,high,https://abetterton.com/issues/
ALPERSON-ANDREW-ANDY-BETTERTON,"Andrew ""Andy"" Betterton",2014,public_employee_benefits,support,"Argued teachers had been treated unfairly through salary cuts and out-of-pocket classroom costs and promised fairer treatment to aid recruitment.",2014-08-12,pre_election,high,https://abetterton.com/issues/
ALPERSON-MARC-KEAHEY,Marc Keahey,2010,labor_unions,aligned,"Received at least $25,000 in disclosed Alabama Education Association support before the 2010 general election.",2010-05-19,pre_election,medium,https://publicunionfacts.com/union/QUxBQkFNQSBFRFVDQVRJT04gQVNTT0NJQVRJT04%3D/alabama-education-association/state-candidates/all-contributions
ALPERSON-NATHANIEL-LEDBETTER,Nathaniel Ledbetter,2010,lgbtq_cultural,conservative,"Later party-switch account cites opposition to gay rights; not valid as a contemporaneous 2010 campaign position.",2013-03-01,post_election,medium,https://southerntorch.com/wp-content/uploads/2014/02/NATHANIEL-LEDBETTER.pdf
ALPERSON-TAMMY-L-IRONS,Tammy Irons,2010,public_education,support,"Directed state education and general-fund grants to the University of North Alabama; later sought a larger classroom-supply stipend.",2010-05-26,pre_election,high,https://www.una.edu/pressroom/2010/05/una-rep.-tammy-irons-announce-two-grants-for-university.html
ALPERSON-TAMMY-L-IRONS,Tammy Irons,2010,labor_unions,aligned,"Sponsored legislation backed by the Alabama Education Association during a two-year-college governance dispute.",2008-03-17,pre_election,medium,https://www.apr.org/2008-03-17/alabama-chancellor-on-familiar-ground-in-political-fight
ALPERSON-VIVIAN-DAVIS-FIGURES,Vivian Davis Figures,2010,guns,gun_regulation,"Sponsored a child-access safe-storage bill creating penalties for negligent firearm storage.",2010-02-09,pre_election,high,https://www.legislature.state.al.us/pdf/SearchableInstruments/2010RS/EndOfDay/StatusSheet.pdf
ALPERSON-ALAN-HARPER,Alan Harper,2010,gambling,support_referendum,"After switching parties Harper sponsored legislation allowing voters to decide whether Alabama should establish a lottery; no 2010 campaign position was recovered.",2016-03-21,post_election,medium,https://altoday.com/archives/tag/alan-harper
ALPERSON-BILLY-BEASLEY,Billy Beasley,2010,immigration,oppose_restrictive_law,"After entering the Senate Beasley sought repeal of Alabama HB56 arguing it would cost the state millions and harm businesses using immigrant labor.",2011-07-22,post_election,high,https://www.apr.org/2011-07-22/state-senator-promises-bill-to-undo-new-immigration-law
ALPERSON-JERRY-L-FIELDING,Jerry Fielding,2010,abortion,anti_abortion,"During his later party-switch period Fielding publicly opposed abortion; no equivalent 2010 campaign position was recovered.",2012-10-08,post_election,medium,https://www.alreporter.com/2012/10/08/converting-for-a-cause-behind-the-fielding-switch/
ALPERSON-JERRY-L-FIELDING,Jerry Fielding,2010,guns,gun_rights,"During his later party-switch period Fielding publicly opposed gun control; no equivalent 2010 campaign position was recovered.",2012-10-08,post_election,medium,https://www.alreporter.com/2012/10/08/converting-for-a-cause-behind-the-fielding-switch/
ALPERSON-JERRY-L-FIELDING,Jerry Fielding,2010,lgbtq_cultural,conservative,"During his later party-switch period Fielding opposed same-sex marriage; no equivalent 2010 campaign position was recovered.",2012-10-08,post_election,medium,https://www.alreporter.com/2012/10/08/converting-for-a-cause-behind-the-fielding-switch/
ALPERSON-NAPOLEON-BRACY-JR,Napoleon Bracy Jr.,2010,healthcare_medicaid,support_expansion,"Later record documents years of support for Alabama Medicaid expansion and broader health-care access.",2023-11-16,post_election,high,https://aldailynews.com/bracy-jr-in-al-2-race-for-the-people-that-have-been-left-behind/
ALPERSON-NAPOLEON-BRACY-JR,Napoleon Bracy Jr.,2010,public_education,support,"Later campaign made education one of three principal policy areas; no detailed 2010 platform was recovered.",2023-11-16,post_election,medium,https://aldailynews.com/bracy-jr-in-al-2-race-for-the-people-that-have-been-left-behind/
ALPERSON-NAPOLEON-BRACY-JR,Napoleon Bracy Jr.,2010,business_economic_development,workforce_development,"Later emphasized workforce development and economic investment in communities left behind.",2023-11-16,post_election,high,https://aldailynews.com/bracy-jr-in-al-2-race-for-the-people-that-have-been-left-behind/
ALPERSON-ANDREW-ANDY-BETTERTON,"Andrew ""Andy"" Betterton",2014,public_education,support,"Supported investment in public education.",2014-08-12,pre_election,high,https://abetterton.com/issues/
ALPERSON-ANDREW-ANDY-BETTERTON,"Andrew ""Andy"" Betterton",2014,school_choice,oppose_private_diversion,"Opposed directing public tax dollars to private schools.",2014-08-12,pre_election,high,https://abetterton.com/issues/
ALPERSON-ANDREW-ANDY-BETTERTON,"Andrew ""Andy"" Betterton",2014,healthcare_medicaid,support_expansion,"Supported Alabama Medicaid expansion.",2014-08-12,pre_election,high,https://abetterton.com/issues/
ALPERSON-ANTHONY-DANIELS,Anthony Daniels,2014,business_economic_development,business_friendly,"Received the bipartisan Alabama RetailPAC endorsement.",2014-04-16,pre_election,high,https://alabamaretail.org/news/initial-2014-endorsements/
ALPERSON-ANTHONY-DANIELS,Anthony Daniels,2014,healthcare_medicaid,support_expansion,"Later advocated Medicaid expansion and mental-health support in schools; no 2014 platform recovered.",2024-04-09,post_election,medium,https://alabamareflector.com/2024/04/09/2nd-congressional-district-anthony-daniels-focuses-on-economic-development/
ALPERSON-ANTHONY-DANIELS,Anthony Daniels,2014,abortion,abortion_rights,"Later joined the Democratic walkout against Alabama's 2019 abortion ban.",2019-05-14,post_election,medium,https://alabamareflector.com/2024/04/09/2nd-congressional-district-anthony-daniels-focuses-on-economic-development/
ALPERSON-ANTHONY-DANIELS,Anthony Daniels,2014,guns,gun_regulation,"Later criticized repeal of Alabama's concealed-carry permit requirement.",2024-04-15,post_election,medium,https://apnews.com/article/54c3a1ef42316c3931f503a3d1c63292
ALPERSON-ANTHONY-DANIELS,Anthony Daniels,2014,labor_unions,aligned,"Pre-election education-association leadership is documented retrospectively.",2010-01-01,retrospective_preexisting_record,medium,https://blackburninstitute.sa.ua.edu/wp-content/uploads/sites/17/2018/01/Full-Packet-jsh.pdf
ALPERSON-BARBARA-A-DRUMMOND,Barbara A. Drummond,2014,labor_unions,aligned,"Received Alabama Education Association campaign support before the general election.",2014-10-28,pre_election,medium,https://publicunionfacts.com/union/QUxBQkFNQSBFRFVDQVRJT04gQVNTT0NJQVRJT04%3D/alabama-education-association/state-candidates/all-contributions
ALPERSON-BARBARA-A-DRUMMOND,Barbara A. Drummond,2014,healthcare_medicaid,support_expansion,"Later publicly advocated Medicaid expansion.",2019-05-15,post_election,medium,https://www.wsfa.com/2019/05/15/ala-house-democrats-vow-continue-fight-expand-medicaid/
ALPERSON-BARBARA-A-DRUMMOND,Barbara A. Drummond,2014,guns,gun_regulation,"Later opposed permitless carry and called for repeal.",2022-04-01,post_election,medium,https://drummondformayor.com/issues/
ALPERSON-BEDDINGFIELD,David Beddingfield,2014,labor_unions,aligned,"Received Alabama Education Association campaign support.",2014-10-14,pre_election,medium,https://publicunionfacts.com/union/QUxBQkFNQSBFRFVDQVRJT04gQVNTT0NJQVRJT04%3D/alabama-education-association/state-candidates/all-contributions
ALPERSON-BEDDINGFIELD,David Beddingfield,2014,public_education,school_governance_record,"Served as Fort Payne City Board of Education president; no detailed platform recovered.",2008-01-01,pre_election,high,https://mail.acaletics.com/Directories/Directories/Working%20Files/AL/SDE_Directory.pdf
