roll_call_id,bill_number,reviewed_issue,substantive_final_passage,suitable_as_issue_anchor,yea_policy_direction,ideological_valence,summary_sufficient_for_coding,human_confidence,review_status,human_review_note
182375,SB396,taxes_budget,true,false,"indeterminate omnibus appropriations package",indeterminate,false,high,reviewed,"Rejected as a candidate-position anchor because the omnibus supplemental appropriations package prevents attribution of the vote to its Corrections Department provision."
862047,HB380,criminal_justice,true,true,"restructures parole administration and imposes more standardized criteria and oversight on parole decisions",conservative,true,medium,reviewed,"Accepted as a conservative criminal-justice anchor concerning parole restriction and oversight; provision-level claims require full text."
473455,SB41,"criminal_justice;taxes_budget",true,true,"removes the protected Tutwiler women's-prison earmark and gives ADOC greater flexibility to reallocate correctional funds",conservative,true,medium,reviewed,"Accepted as marginally conservative on criminal/social justice and conservative on budget policy. Supporters emphasized administrative flexibility during the General Fund crisis; opponents emphasized protection of funding, inmate conditions, and legislative oversight. Context sources are partly retrospective rather than a direct floor-debate transcript."
1335966,SB198,criminal_justice,true,true,"increases penalties for attempted, solicited, and conspired Class C felonies; expands habitual-offender enhancements to Class D felonies; and permits longer incarceration instead of mandatory split sentences",conservative,true,high,reviewed,"The enrolled text shows a predominantly punitive measure. Limited mitigating and procedural provisions do not outweigh felony reclassification, habitual-offender enhancements, expanded revocation grounds, and judicial authority to impose longer incarceration."
1300210,SB1,criminal_justice,true,true,"substantially reduces correctional incentive-time credits, lengthens the time required to reach higher earning classifications, and expands circumstances for forfeiting credits",conservative,true,high,reviewed,"Reclassified from economic development to criminal justice. Yea favors longer effective prison terms and more restrictive good-time eligibility."
87065,SB477,business_economic_development,true,true,"supports discretionary and transferable tariff tax credits for industrial projects investing at least $100 million and creating at least 100 qualifying jobs",mixed,true,high,reviewed,"Accepted as a targeted-industrial-policy and large-project-subsidy anchor, not as generic pro-business or free-market conservatism. The bill included wage and job thresholds, reporting, clawbacks, a sunset, and broad executive discretion."
155386,HB159,business_economic_development,true,true,"supports and constitutionally validates a discretionary program allowing approved companies to retain a portion of employee income-tax withholding for qualifying job-creation and retention projects",mixed,true,high,reviewed,"Accepted as a targeted-industrial-policy anchor. HB159 constitutionalizes and shields the HB160 incentive program; a Yea favors state-directed incentives and executive flexibility, while a Nay may reflect free-market, fiscal, constitutional, or corporate-subsidy concerns. Do not assign a simple liberal-conservative score."
535684,HB169,business_economic_development,true,true,"requires a municipality or municipal public authority abating county taxes for economic development to abate the corresponding municipal tax at the same rate",conservative,true,medium,reviewed,"Accepted as a secondary, marginally conservative signal of local fiscal restraint and intergovernmental accountability. The measure limits municipalities' ability to grant abatements involving another local government's revenue without sharing the concession; it is not opposition to industrial incentives generally."
152482,HB154,business_economic_development,true,true,"expands long-term ad valorem and construction-related transaction-tax abatements for qualifying data centers and logistics facilities while reducing the data-center employment threshold",mixed,true,high,reviewed,"Accepted as a targeted-industrial-policy anchor, not a general economic-conservatism measure. The enrolled act permits sector-specific abatements lasting up to 30 years, preserves education taxes, establishes capital and employment thresholds, and includes protections against counting certain replacement jobs as new employment."
1336165,SB261,"anti_esg_governance;environment_energy;guns;abortion;lgbtq;business_regulation",true,true,"prohibits governmental entities from using covered public contracts or other governmental pressure to advance economic boycotts targeting a bundle of protected industries, environmental and corporate-governance choices, firearms activity, and refusals to facilitate abortion or gender-transition care",conservative,true,high,reviewed,"Accepted as a bundled conservative anti-ESG governance anchor. It is suitable as an overall ideological signal but not as a clean anchor for any single component issue; a vote should not be interpreted as separately establishing the legislator's position on every protected activity."
183986,HB608,"taxes_budget;environment_energy",true,true,"redirects the entire net proceeds of the scrap-tire environmental fee from dedicated remediation, enforcement, and program uses to the State General Fund for fiscal years 2013 and 2014",conservative,true,high,reviewed,"Accepted with dual coding. Yea favors temporary General Fund flexibility over dedicated environmental revenue and deprioritizes scrap-tire remediation and enforcement funding for two years. Treat as a moderately strong, time-limited budget-priority signal rather than evidence of broad environmental hostility."
539157,SB106,wildlife_regulation,true,false,"expands the wildlife-collection permit law to all protected wild invertebrate and vertebrate species and their eggs, creates tiered $10 to $100 permits, and sets the misdemeanor fine at three times the applicable permit fee",indeterminate,true,high,reviewed,"Accepted as substantive factual state-issue evidence but excluded from ideological scoring. The regulatory and fee changes were technical and overwhelmingly bipartisan, so coding them as progressive would overstate their ideological content."
733845,HB416,environment_energy,true,false,"supports coordinated water-resource planning, conservation credits, and restrictions on water allocation under specified conditions",indeterminate,true,medium,reviewed,"Accepted as conservation-oriented factual state-issue evidence but excluded from ideological scoring. Near-unanimous bipartisan support indicates technical water-resource management rather than a discriminating ideological position; full text was not required for this limited coding."
541985,SB103,"rural_hunting;fees_user_funding",true,false,"raises the annual waterfowl-hunting stamp from $5 to $10 and authorizes future Consumer Price Index adjustments through the existing hunting- and fishing-license process",indeterminate,true,high,reviewed,"Accepted as a meaningful rural and hunting constituency position but not a conventional left-right ideological anchor. Yea supports a higher inflation-indexed hunter user fee; Nay prioritizes keeping the direct cost to waterfowl hunters lower."
87114,SB136,ethics_government,true,true,"requires more frequent electronic campaign-finance reporting, expands reporting requirements for Section 527 organizations and large contributions, and establishes a state electronic disclosure database",indeterminate,true,medium,reviewed,"Accepted as a campaign-finance transparency and government-reform position. It is suitable for the ethics/government matrix but has no reliable conventional left-right direction; association with Alabama's 2011 Republican reform agenda should not be mistaken for inherent conservative valence."
90957,HB58,ethics_government,true,true,"requires disclosure to the Ethics Commission of the names and compensation of public officials and their spouses who are employed by or contract with the state or a local government",indeterminate,true,medium,reviewed,"Accepted as a pro-transparency and conflict-of-interest disclosure anchor. It is suitable for the ethics/government matrix but has no reliable conventional left-right direction; its 2011 partisan context does not make the underlying disclosure policy inherently conservative."
731215,SB267,ethics_government,true,true,"expands the category of minor ethics violations eligible for consent-based administrative resolution, raises the maximum administrative fine from $1,000 to $6,000, and makes an approved administrative resolution preclude later state or local criminal prosecution",indeterminate,true,high,reviewed,"Accepted as a mixed ethics-enforcement reform with a net movement toward less criminal treatment of lower-dollar or mitigating violations. The final act omitted the introduced bill's investigation rewrite. It measures administrative proportionality versus stricter criminal exposure, not a conventional left-right position."
722179,HB346,ethics_government,true,true,"requires all covered campaign-finance reports to be filed electronically without the prior exceptions",indeterminate,true,high,reviewed,"Accepted as a clean pro-transparency and administrative-modernization position with low comparative value because support was nearly unanimous. Retain as factual issue evidence but do not treat as a conventional left-right signal."
270611,SB7,"social_services;gambling_cultural",true,true,"restricts public-assistance purchases of alcohol, tobacco, and lottery tickets and restricts benefit use or withdrawal at specified establishments",conservative,true,high,reviewed,"Conservative benefit-use and moral-regulation anchor. Treat as predecessor and corroboration for SB116 rather than an independent equally weighted signal."
350873,SB116,"social_services;gambling_cultural",true,true,"restricts public-assistance purchases and use at specified establishments, provides benefit sanctions, permits third-party receipt for children, and adds ATM blocking and eligibility checks",conservative,true,high,reviewed,"Primary conservative benefit-use restriction anchor. Substantially overlaps SB7, which should not be double-weighted."
85995,SB419,"public_employee_benefits;labor_unions",true,true,"increases retiree PEEHIP cost-sharing through service- and retirement-age-based premiums, permits spousal-coverage surcharges, caps employer contributions, and eases board voting requirements for changing costs",conservative,true,high,reviewed,"Conservative public-employee-benefit retrenchment anchor. The act retains income-based assistance for households at or below 300 percent of the federal poverty level."
84439,SB309,public_employee_benefits,true,true,"requires at least 10 years of creditable coverage for state retiree health benefits, increases cost-sharing through sliding-scale premiums, permits spousal-coverage surcharges, and eases board voting requirements for changing costs",conservative,true,high,reviewed,"Conservative state-employee-benefit retrenchment anchor with income-based assistance retained for lower-income participants."
476199,HB12,healthcare_medicaid_finance,true,true,"imposes a temporary annual secondary nursing-facility privilege assessment of $401.28 per bed contingent on a minimum General Fund Medicaid appropriation",mixed,true,high,reviewed,"Specialized Medicaid-financing anchor rather than a general tax vote. The provider assessment was treated as an allowable Medicaid reimbursement cost, making its conventional left-right valence mixed."
618976,HB96,"assisted_dying;cultural_healthcare",true,true,"prohibits deliberately providing aid in dying and establishes civil and criminal penalties",conservative,true,high,reviewed,"Clear socially conservative assisted-suicide prohibition anchor."
619669,HB95,healthcare_conscience,true,true,"authorizes health care providers to decline services that violate their conscience and provides remedies against adverse consequences",conservative,true,high,reviewed,"Clear conservative health-care conscience-rights anchor."
538859,SB175,public_procurement,true,false,"raises the maximum bid guarantee for covered public-works bids from $10,000 to $50,000",indeterminate,true,high,reviewed,"Technical procurement and contractor-responsibility measure. Retain as factual evidence but exclude from ideological scoring."
644761,SB82,criminal_justice,true,true,"creates a Class C felony when a person causes a death while knowingly violating a non-DUI vehicle-operation law and that violation is the proximate cause",conservative,true,high,reviewed,"Conservative punitive criminal-justice anchor. The enrolled text requires a knowing traffic violation and proximate causation and excludes the separate DUI statute."
538769,SB92,"infrastructure_delivery;public_private_partnerships",true,true,"authorizes public-private design, finance, ownership, operation, and maintenance arrangements for road, bridge, and tunnel projects costing at least $100 million",conservative,true,high,reviewed,"Moderately conservative pro-market infrastructure-delivery anchor. The act also requires project-selection procedures and permits best-value rather than price-only procurement."
604266,HB214,highway_administration,true,false,"allows safe removal of drivable vehicles after crashes without apparent serious injury or death and authorizes state personnel to assist with limited immunity",indeterminate,true,high,reviewed,"Technical highway-administration and incident-clearance measure. Retain as factual evidence but exclude from ideological scoring."
717771,SB159,"labor_unions;public_education",true,true,"requires school districts to give all professional educator associations the same level of access to public-school employees",conservative,true,high,reviewed,"Conservative labor and association-competition anchor that reduces the incumbent AEA's potential preferential access and benefits competing educator organizations."
725596,HB490,"occupational_licensing;public_education",true,true,"exempts locally approved members of the public from interpreter or transliterator licensing for emergency or incidental services to public-school students",conservative,true,medium,reviewed,"Narrow deregulatory and local-control anchor. Weight below broader ideological measures because the exception may also address practical interpreter availability."
91541,HB57,taxes_budget,true,true,"caps annual Education Trust Fund appropriations and establishes budget-stabilization and capital funds",conservative,true,high,reviewed,"Strong conservative fiscal-restraint and reserve-policy anchor."
473436,SB24,tax_administration,true,false,"requires nongovernmental tax-exempt persons and companies to obtain annual exemption certificates and requires specified exempt-transaction reporting",indeterminate,true,high,reviewed,"Tax-compliance and administrative-reporting measure without reliable conventional left-right valence. Retain as factual evidence but exclude from ideological scoring."
188686,HB140,business_economic_development,true,true,"extends the claim period and permits one- to four-year carryforwards for capital tax credits tied to qualifying new or expanding business projects",mixed,true,high,reviewed,"Targeted-industrial-policy and business-incentive anchor with mixed conventional left-right valence."
476213,HB20,"tax_administration;vehicle_sales",true,false,"applies Alabama tax rules to certain vehicles removed for out-of-state registration while capping Alabama tax at the amount due in the destination state",indeterminate,true,high,reviewed,"Technical reciprocal vehicle-sales-tax and revenue-administration measure. Retain as factual evidence but exclude from ideological scoring."
