anonymous_case_id,election_cycle,evidence_date,dimension,evidence_summary,source_type,confidence,temporally_eligible,reviewer_code,reviewer_confidence,reviewer_note
CASE-132CFEE89E,2010,2026-08-15,localism_personal_vote,"the candidate's current professional biography says he opened an Ashland law practice in 2000 and represented individuals, small businesses, family farms, and local governments across east Alabama. This documents a pre-election local professional base retrospectively but cannot establish how prominently it figured in the 2010 campaign.",retrospective_professional_biography,medium,False,,,
CASE-1BB9FDBAC6,2018,2018-09-14,economic_ideology,the candidate's campaign focused on public education and health care serving all Alabamians.,contemporary_state_reporting,high,True,,,
CASE-1BB9FDBAC6,2018,2018-09-14,localism_personal_vote,Her campaign emphasized availability and listening to constituent concerns; she also had extensive local civic-board experience.,contemporary_state_reporting,medium,True,,,
CASE-1EC5602ADB,2022,2022-09-14,abortion_position,"After Dobbs, the candidate described reproductive rights as something voters wanted protected and said they wanted legislators willing to listen to women and preserve those choices. The statement supports an abortion-rights code, while its indirect wording warrants a mild rather than strong score.",contemporary_candidate_interview,high,True,,,
CASE-1EC5602ADB,2022,2022-09-14,economic_ideology,"During the campaign the candidate said Alabama needed to move education beyond years of stagnation and identified education as the district's highest priority. This is evidence for a mildly progressive public-investment orientation, not a complete economic platform.",contemporary_candidate_interview,high,True,,,
CASE-1EC5602ADB,2022,2022-01-31,localism_personal_vote,"At campaign launch the candidate emphasized lifelong Madison County residence, building local businesses, supporting schools and community organizations, and prior Chamber of Commerce leadership. Contemporary profiles identify her as the first Black woman to chair the Huntsville/Madison County Chamber.",contemporary_candidate_interview,high,True,,,
CASE-25EED9A96C,2014,2014-01-31,economic_ideology,"the candidate centered his comeback campaign on public education, educator pay, job creation, and support for small and local businesses.",contemporary_state_reporting,high,True,,,
CASE-25EED9A96C,2014,2014-10-16,labor_position,"Alabama Education Association contribution records show major late-cycle support for the candidate; this is organizational alignment evidence, not a roll-call position.",interest_group_finance_record,medium,True,,,
CASE-25EED9A96C,2014,2014-01-31,localism_personal_vote,the candidate had represented the area for 14 years before seeking a 2014 comeback.,contemporary_state_reporting,high,True,,,
CASE-29D86F0B63,2014,2018-10-30,economic_ideology,"the candidate paired a conservative identity with full public-school funding, pre-K and teacher raises, opposition to charter schools and the Accountability Act, Medicaid expansion, and public mental-health funding.",retrospective_candidate_interview,medium,False,,,
CASE-29D86F0B63,2014,2020-12-11,guns_position,"Vote Smart reports a 92 percent NRA candidate-position rating and a 100 percent Gun Owners of America positions rating, confirming a strongly pro-gun component of the candidate's later public profile.",interest_group_rating_archive,medium,False,,,
CASE-29D86F0B63,2014,2014-11-04,overall_ideological_valence,the candidate's Shor-McCarty score of -0.152 placed him near the 89th conservative percentile of the contemporary Alabama Democratic House caucus; the score is based on service before the election.,academic_ideal_point_dataset,high,True,,,
CASE-29D86F0B63,2014,2018-10-30,party_independence,"After leaving the Democratic Party, the candidate said his policy disagreements were with the national party and described himself as aligned with conservative principles and willing to vote independently of party.",retrospective_candidate_interview,medium,False,,,
CASE-2E5602F68F,2014,2014-08-12,economic_ideology,"the candidate's issues page supports public education, opposes directing public tax dollars to private schools, and supports Medicaid expansion. The site's WordPress API records the page as published August 12, 2014 and last modified August 21, before the general election.",contemporaneous_candidate_platform,high,True,,,
CASE-327A02E177,2014,2024-04-09,abortion_position,Reporting notes the candidate joined the Democratic walkout against Alabama's 2019 abortion ban.,contemporary_state_reporting,medium,False,,,
CASE-327A02E177,2014,2014-04-16,business_alignment,"The Alabama Retail Association's PAC endorsed the candidate in 2014. Because the association endorsed candidates of both parties, this supports a cross-institutional or business-friendly coalition signal rather than a conventional ideological code.",contemporary_interest_group_endorsement,high,True,,,
CASE-327A02E177,2014,2024-04-09,economic_ideology,the candidate advocated federally supported Medicaid expansion and additional mental-health support in education.,contemporary_state_reporting,medium,False,,,
CASE-327A02E177,2014,2024-04-15,guns_position,the candidate criticized repeal of the concealed-carry permit requirement during his congressional primary debate.,associated_press,medium,False,,,
CASE-327A02E177,2014,2018-01-01,labor_position,"A later University of Alabama program biography reports that the candidate chaired the NEA Student Program, chaired the Huntsville Education Association legislative committee in 2009, and joined the Alabama Education Association state board in 2010. The underlying roles predate the election but the surviving source is retrospective, so this code is excluded from the pre-election index.",later_institutional_biography,medium,False,,,
CASE-3F2CCBB5FA,2014,2014-11-04,campaign_resources,"The project finance data show an extreme spending disadvantage for the candidate relative to the Republican, whereas the candidate enjoyed a large Democratic spending advantage. Resource adjustment reduces the the candidate-the candidate CMO gap from about 24.7 to 13.2 points.",project_data,high,True,,,
CASE-3F2CCBB5FA,2014,2014-01-23,economic_ideology,"the candidate emphasized public education and criticized the closed-process passage of the Alabama Accountability Act, aligning him with the economic-populist side of the Democratic coalition.",contemporary_local_reporting,high,True,,,
CASE-3F2CCBB5FA,2014,2014-01-23,labor_position,"the candidate was a longtime business representative for the United Association of Plumbers and Pipefitters and framed his campaign around working families, making organized labor central to his political identity.",contemporary_local_reporting,high,True,,,
CASE-3F2CCBB5FA,2014,2014-10-27,opponent_quality_context,"One week before the election, a complaint alleged that the candidate filed his required statement of economic interests months late and questioned his ballot eligibility. The Secretary of State said the name was already on the ballot; the report did not establish a final adjudication.",contemporary_local_reporting,high,True,,,
CASE-3F2CCBB5FA,2014,2014-01-23,party_independence,"the candidate emphasized compromise, negotiation, transparency, and representing the district rather than a national partisan message.",contemporary_local_reporting,medium,True,,,
