roll_call_id,human_issue_code,policy_direction_of_yea,substantive_vote,ideological_valence,summary_sufficient_for_coding,human_confidence,review_status,source_basis,human_review_note
542204,abortion,"prohibits dilation-and-evacuation abortions except for serious maternal health risk",true,conservative,true,high,reviewed,legiscan_synopsis,"Clear final-passage motion and specific synopsis."
619077,abortion,"affirms a constitutional commitment to the right to life of unborn children",true,conservative,true,high,reviewed,legiscan_synopsis,"Clear constitutional-amendment synopsis."
500169,abortion,"regulates disposition and use of fetal remains and creates criminal penalties",true,conservative,true,high,reviewed,legiscan_synopsis,"Clear final-passage synopsis; precise applications should be checked against text."
513197,abortion,"requires specified ultrasound information and penalties for violations",true,conservative,true,high,reviewed,legiscan_synopsis,"Clear final-passage synopsis."
863723,abortion,"prohibits abortion under most circumstances and creates felony penalties",true,conservative,true,high,reviewed,legiscan_synopsis,"Clear final-passage synopsis."
409509,criminal_justice,"requires execution by electrocution under specified conditions",true,conservative,true,high,reviewed,legiscan_synopsis,"Clear death-penalty policy direction."
862047,criminal_justice,"restructures parole administration and imposes more standardized criteria and oversight on parole decisions",true,conservative,true,medium,reviewed,legiscan_synopsis,"Accepted as a conservative criminal-justice anchor; provision-level claims require full text."
1335966,criminal_justice,"increases penalties for attempted, solicited, and conspired Class C felonies; expands habitual-offender enhancements to Class D felonies; and permits longer incarceration instead of mandatory split sentences",true,conservative,true,high,reviewed,enrolled_bill_text,"Predominantly punitive. The judicial-discretion provision permits longer incarceration rather than operating as a sentencing-reform measure."
1300210,criminal_justice,"substantially reduces correctional incentive-time credits, lengthens the time required to reach higher earning classifications, and expands circumstances for forfeiting credits",true,conservative,true,high,reviewed,introduced_bill_text,"Reclassified from economic development to criminal justice. Yea favors longer effective prison terms and more restrictive good-time eligibility."
87065,business_economic_development,"supports discretionary and transferable tariff tax credits for industrial projects investing at least $100 million and creating at least 100 qualifying jobs",true,mixed,true,high,reviewed,engrossed_bill_text,"Targeted-industrial-policy and large-project-subsidy anchor. Do not interpret as generic pro-business or free-market conservatism."
473455,criminal_justice,"removes protected funding for the Tutwiler women's prison and permits reallocation within the corrections system",true,conservative,true,medium,reviewed,user_context_and_legiscan_synopsis,"Marginally conservative social-justice signal: supporters emphasized administrative flexibility, while opponents emphasized vulnerable inmates, federal scrutiny, facility conditions, and legislative accountability."
473455,taxes_budget,"removes a facility-specific corrections earmark and expands ADOC discretion to allocate existing funds during the General Fund crisis",true,conservative,true,medium,reviewed,user_context_and_legiscan_synopsis,"Conservative budget signal favoring administrative flexibility, fewer earmarks, and management of the budget shortfall without relying entirely on new taxes."
155386,business_economic_development,"supports and constitutionally validates a discretionary program allowing approved companies to retain a portion of employee income-tax withholding for qualifying job-creation and retention projects",true,mixed,true,high,reviewed,engrossed_bill_text,"Targeted-industrial-policy anchor based on HB159 and its companion HB160. Yea favors state-directed incentives and executive flexibility; Nay is ideologically ambiguous. Do not interpret as generic pro-business or assign a simple liberal-conservative score."
