person_id,election_cycle,display_candidate,chamber,district,identity_assessment,summary,offices_and_public_service,profession_and_employment,education,community_and_local_ties,political_profile,important_caveats,source_urls_used,memo_path,model,invalid_source_urls,review_status
ALPERSON-ALAN-HARPER,2010,Alan Harper,house,61,confirmed_alabama,"Alan Harper was an incumbent Democrat representing Alabama House District 61 in the 2010 election. He recorded approximately +24.1 OOF CMO as a candidate and later switched to the Republican Party in 2012, becoming part of the state's GOP supermajority.","[""Alabama House District 61 (Incumbent Democrat)""]",[],[],[],"[""Democrat"", ""Republican""]","[""The memo notes that his party switch in 2012 is not pre-election evidence for the 2010 vote."", ""Harper's Shor-McCarty score was -0.105, placing him at the 71st conservative percentile of the active Alabama Democratic House caucus.""]","[""https://doi.org/10.7910/DVN/GZJOT3"", ""https://yellowhammernews.com/rep-alan-harper-of-aliceville-announces-switch-to-alabama-gop/"", ""https://www.alreporter.com/2012/02/07/statement-from-house-minority-leader-craig-ford-regarding-rep-alan-harper-switching-parties/""]",research\cmo_ideology\candidate_memos\alan_harper.md,qwen3.5:9b,[],draft_sourced
ALPERSON-BARBARA-BIGSBY-BOYD,2010,Barbara Bigsby Boyd,house,32,confirmed_alabama,"Barbara Bigsby Boyd served as an incumbent Democratic representative for Alabama House District 32 starting from 1994, defeating Republican Ron Struzik in the 2010 election. She worked in education for over 45 years and was recognized by a legislative commendation as an advocate for education, children, seniors, and local communities.","[""Alabama House District 32 Representative (from 1994)""]","[""Education worker""]",[],"[""Local communities in Alabama"", ""Educator and community networks""]","[""Democratic Party member (2010)"", ""Progressive caucus member within the Democratic party (approx. 32nd conservative percentile)""]",[],"[""https://doi.org/10.7910/DVN/GZJOT3"", ""https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2026RS/HJR307-int.pdf""]",research\cmo_ideology\candidate_memos\barbara_boyd.md,qwen3.5:9b,[],draft_sourced
ALPERSON-BILLY-BEASLEY,2010,Billy Beasley,senate,28,confirmed_alabama,"Billy Beasley was a multi-term state representative who ran for the Alabama Senate District 28 seat in the 2010 election. He defeated former Tuskegee mayor Johnny Ford in a Democratic runoff before facing Republican Kim West, and he moved from the House to an open Senate district that year.","[""Alabama state representative"", ""Alabama senate district 28 candidate""]",[],[],[],"[""moderately conservative within the Democratic caucus (Shor\u2013McCarty score -0.217)""]","[""The Shor-McCarty data is from his pre-election House service."", ""His recognition may be influenced by prior officeholding and primary coalition rather than just ideology.""]","[""https://doi.org/10.7910/DVN/GZJOT3"", ""https://www.wsfa.com/story/12784074/district-28-candidate-takes-voting-complaint-to-president/"", ""https://www.sos.alabama.gov/sites/default/files/voter-pdfs/2010-sample-ballots/Lee-2010-Sample.pdf""]",research\cmo_ideology\candidate_memos\billy_beasley.md,qwen3.5:9b,[],draft_sourced
ALPERSON-DRAMA-BRELAND,2010,Drama Breland,house,8,confirmed_alabama,"Drama Breland ran for the Alabama House District 8 seat in the 2010 election. She was a Democratic candidate who narrowly lost to Republican Terri Collins during that year's wave. Her campaign platform focused on public education, college affordability, senior citizens' needs, and job development. The official Morgan County ballot verified her identity as the nominee for this district.",[],[],[],"[""wife of longtime Decatur municipal judge David Breland"", ""part of a locally prominent judicial family""]","[""Democratic nominee for House District 8 in the open race against Terri Collins (2010)"", ""narrowly lost during Republican wave election""]","[""Positions on guns, abortion, and other polarizing state issues remain unknown"", ""Later official family biography identifies her as wife of David Breland; this is retrospective evidence""]","[""https://www.sos.alabama.gov/sites/default/files/voter-pdfs/2010-sample-ballots/Morgan-2010-Sample.pdf"", ""https://www.hartselleenquirer.com/2010/06/17/dems-appoint-breland-as-candidate/"", ""https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2025RS/SJR90-int.pdf""]",research\cmo_ideology\candidate_memos\drama_breland.md,qwen3.5:9b,[],draft_sourced
ALPERSON-GREG-VARNER,2010,Greg Varner,senate,13,confirmed_alabama,"Greg Varner ran for the Alabama Senate District 13 seat in the 2010 election. He was an attorney from Ashland who represented individuals, small businesses, family farms, and local governments prior to his campaign. His primary economic platform focused on strengthening small businesses through tax breaks similar to those offered to larger industries. Varner lost the general election by approximately one point to Gerald Dial.",[],"[""Attorney"", ""Ashland attorney""]",[],"[""Ashland, Alabama (attorney practice)""]","[""Democrat (implied by challenging a Democrat who switched parties)"", ""Small-business advocate""]","[""Varner's cultural and social-issue positions remain unknown."", ""His broader 2010 ideological valence cannot be established solely from the recovered economic position.""]","[""https://www.annistonstar.com/news/varner-grabs-nomination-for-senate-district-13/article_3a96e165-43d9-5661-b0eb-3fda921be686.html"", ""https://www.gregvarnerlaw.com/gregory-varner/"", ""https://www.therandolphleader.com/2010/06/01/laird-varner-advance-toward-legislature/""]",research\cmo_ideology\candidate_memos\greg_varner.md,qwen3.5:9b,[],draft_sourced
ALPERSON-JAMES-C-FIELDS-JR,2010,James C. Fields Jr.,house,12,confirmed_alabama,"James C. Fields Jr. was a Democratic incumbent representing Alabama House District 12 in the 2010 election, where he recorded approximately +15.6 out-of-fold Cook-McCarty (CMO) scores before losing by roughly eight margin points against Republican Mac Buttram. He grew up in and represented Cullman County, worked for the Alabama Department of Industrial Relations, served as a Methodist minister, and won a special election there in 2008. His campaign featured an issue profile that included advocating immediate passage of a half-cent sales tax for schools (January 2009) and sponsoring HB532 in 2010 to create conditions for certain first-time offenders serving life without parole to seek sentence reduction after at least 20 years.","[""Alabama House District 12, Democratic incumbent (pre-2010 election)"", ""Cullman County Commission member""]","[""Worked for the Alabama Department of Industrial Relations"", ""Methodist minister""]",[],"[""Grew up in Cullman County, Alabama"", ""Served as a Methodist minister with local religious ties""]","[""Democratic incumbent (2010)"", ""Shor-McCarty score of -0.131 around the 64th conservative percentile of the contemporary Alabama Democratic House caucus""]",[],"[""https://doi.org/10.7910/DVN/GZJOT3"", ""https://www.co.cullman.al.us/assets/PDFs/minutes/2009/01_27_09.pdf"", ""https://www.nytimes.com/2010/02/28/magazine/28Alabama-t.html"", ""https://wantedalabamademocrats.blogspot.com/2010/10/"", ""https://www.apr.org/2008-01-29/special-election-today-to-fill-house-seat-in-cullman-county""]",research\cmo_ideology\candidate_memos\james_fields.md,qwen3.5:9b,[],draft_sourced
ALPERSON-JERRY-L-FIELDING,2010,Jerry Fielding,senate,11,confirmed_alabama,"Jerry Fielding won the 2010 Alabama Senate District 11 election as a Democrat, recording approximately +18.2 out-of-fold CMOs. He served for 26 years prior to this race as a Talladega County district and circuit judge, which provided him with strong local recognition independent of party affiliation. Fielding switched from the Democratic Party to the Republican Party in 2012, presenting himself as culturally conservative after his election.","[""Talladega County District Judge"", ""Alabama State Senator""]","[""Circuit Judge (Retired)""]",[],"[""Talladega County""]","[""Democrat in 2010 election"", ""Republican after 2012 party switch""]","[""No reliable campaign-time issue platform or pre-election legislative record recovered for the 2010 race."", ""His ideological valence remains unknown from the 2010 period; later cultural positions (opposing same-sex marriage, abortion, gun control) came almost two years after the election and amid redistricting changes.""]","[""https://www.apr.org/2010-09-07/ala-gop-picks-robbins-to-replace-sen-preuitt"", ""https://www.apr.org/2010-09-01/veteran-state-senator-calls-it-quits"", ""https://www.alreporter.com/2012/10/05/senator-fielding-welcomed-in-senate-republican-caucus-mark-kennedy-calls-him-a-liar/"", ""https://www.sspba.org/gen/articles/2010_ALPBA_Elected_Candidates_101.jsp"", ""https://www.govinfo.gov/content/pkg/USCOURTS-almd-2_12-cv-00691/pdf/USCOURTS-almd-2_12-cv-00691-5.pdf""]",research\cmo_ideology\candidate_memos\jerry_fielding.md,qwen3.5:9b,[],draft_sourced
ALPERSON-MARC-KEAHEY,2010,Marc Keahey,senate,22,confirmed_alabama,"George Marc Keahey was the Democratic candidate for Alabama Senate District 22 in the 2010 election. Prior to this, he represented Alabama House District 65 after his 2006 election and won a special election for Senate District 22 in 2009. He is an attorney with degrees from the University of Alabama business program and Cumberland School of Law J.D., having worked as a public defender, assistant district attorney, and private lawyer. His legislative committee work covered agriculture and conservation, business and labor, fiscal responsibility, and judiciary.","[""Alabama House District 65 (2006 election)"", ""Alabama Senate District 22 special election winner (2009)""]","[""Attorney"", ""Public defender"", ""Assistant district attorney"", ""Private lawyer""]","[""University of Alabama business degree"", ""Cumberland School of Law J.D.""]",[],"[""Democratic candidate for Senate District 22 in 2010""]",[],"[""https://www.apr.org/2009-06-03/keahey-apparent-winner-in-special-senate-election"", ""https://www2.alabamavotes.gov/downloads/election/2010/general/2010GeneralElection-AmendedResults-ALSenateandHouse.pdf"", ""https://en.wikipedia.org/wiki/Marc_Keahey""]",research\cmo_ideology\candidate_memos\marc_keahey.md,qwen3.5:9b,[],draft_sourced
ALPERSON-NAPOLEON-BRACY-JR,2010,Napoleon Bracy Jr.,house,98,confirmed_alabama,"Napoleon Bracy Jr. was a candidate for the Alabama House District 98 seat in the 2010 election, winning with approximately +20.7 out-of-fold CMO and a fundraising-adjusted score of roughly +12.9. He entered the race with six years of service on the Prichard City Council, where he was selected as council president. His campaign raised about $100,000 compared to his Republican opponent's ~$12,000. No pre-election issue platform or roll-call record has been recovered for him in 2010; thus, no ideology can be assigned based on later legislative service.","[""Prichard City Council (6 years prior to election)"", ""Council President of Prichard""]",[],[],"[""Prichard""]","[""Democratic candidate"", ""House District 98, Alabama (2010)""]","[""No pre-election issue platform or roll-call record recovered for the 2010 election."", ""Ideology cannot be classified based on later legislative service.""]","[""https://almonline.org/Assets/Files/Alabama%20Municipal%20Journal/JournalArchive/2010/Dec-2010.pdf"", ""https://sites.google.com/mcldoffice.com/mcldoffice/meet-the-legislators""]",research\cmo_ideology\candidate_memos\napoleon_bracy.md,qwen3.5:9b,[],draft_sourced
ALPERSON-NATHANIEL-LEDBETTER,2010,Nathaniel Ledbetter,house,24,confirmed_alabama,"Nathaniel Ledbetter was the Democratic candidate for Alabama House District 24 in the 2010 election. He later switched parties and won the same seat as a Republican in 2014, eventually becoming Speaker of the Alabama House.","[""Rainsville City Council"", ""Mayor""]",[],[],"[""Deep municipal roots in Rainsville area""]","[""Culturally conservative Democrat (2010)"", ""Republican after party switch (post-2013)""]","[""Evidence of conservatism comes from a 2013 retrospective memorandum, not pre-election voter encounters.""]","[""https://southerntorch.com/wp-content/uploads/2014/02/NATHANIEL-LEDBETTER.pdf"", ""https://apnews.com/article/d3f2441992b128fd6cc80e4207d53278""]",research\cmo_ideology\candidate_memos\nathaniel_ledbetter.md,qwen3.5:9b,[],draft_sourced
