person_id,candidate,election_cycle,legiscan_people_id,bill_id,bill_number,session_year,session_name,sponsorship_role,sponsorship_timing,activity_timing,history_order,action_date,action,chamber,importance,committee_event_type,first_floor_passage_order,pre_first_floor_passage,floor_passage_observed,individual_member_action_observed,inference_limit,bill_url,bill_title,bill_description,subject_names
ALPERSON-ALAN-HARPER,Alan Harper,2010,3381,96241,HB1,2010,Regular Session 2010,joint_sponsor,pre_or_during_election,pre_or_during_election,1,2010-01-12,Read for the first time and referred to the House of Representatives committee on Education Appropriations,,1,referral,4.0,True,True,False,Event concerns a sponsored bill; source does not identify the candidate's committee vote or conduct.,https://legiscan.com/AL/bill/HB1/2010,"State income tax, federal deduction limited for individual taxpayers, state sales tax on food removed, Amendment 225 (Section 211.04, Recompiled Constitution of Alabama of 1901, as amended), repealed, const. amend.","State income tax, federal deduction limited for individual taxpayers, state sales tax on food removed, Amendment 225 (Section 211.04, Recompiled Constitution of Alabama of 1901, as amended), repealed, const. amend.",Constitutional Amendments
ALPERSON-ALAN-HARPER,Alan Harper,2010,3381,96398,HB158,2010,Regular Session 2010,joint_sponsor,pre_or_during_election,pre_or_during_election,1,2010-01-12,Read for the first time and referred to the House of Representatives committee on Government Appropriations,,1,referral,,True,False,False,Event concerns a sponsored bill; source does not identify the candidate's committee vote or conduct.,https://legiscan.com/AL/bill/HB158/2010,"Senior Services Department, United We Ride Commission, established to provide transportation for individuals with disabilities, the elderly, and individuals with low incomes, members, terms, duties, annual report to Governor","Senior Services Department, United We Ride Commission, established to provide transportation for individuals with disabilities, the elderly, and individuals with low incomes, members, terms, duties, annual report to Governor",Senior Services Department
ALPERSON-ALAN-HARPER,Alan Harper,2010,3381,96419,HB179,2010,Regular Session 2010,joint_sponsor,pre_or_during_election,pre_or_during_election,1,2010-01-12,Read for the first time and referred to the House of Representatives committee on Government Operations,,1,referral,3.0,True,True,False,Event concerns a sponsored bill; source does not identify the candidate's committee vote or conduct.,https://legiscan.com/AL/bill/HB179/2010,"Motor vehicles, new and used vehicles clarified, titles, fees for certain records further provided for, exemption from titling of vehicles authorized, inspections, alternative method of lien release authorized when lienholder no longer in business, Secs. 32-8-2, 32-8-6, 32-8-31, 32-8-32, 32-8-36, 32-8-64 am'd.","Motor vehicles, new and used vehicles clarified, titles, fees for certain records further provided for, exemption from titling of vehicles authorized, inspections, alternative method of lien release authorized when lienholder no longer in business, Secs. 32-8-2, 32-8-6, 32-8-31, 32-8-32, 32-8-36, 32-8-64 am'd.",Motor Vehicles
ALPERSON-ALAN-HARPER,Alan Harper,2010,3381,96420,HB180,2010,Regular Session 2010,joint_sponsor,pre_or_during_election,pre_or_during_election,1,2010-01-12,Read for the first time and referred to the House of Representatives committee on County and Municipal Government,,1,referral,3.0,True,True,False,Event concerns a sponsored bill; source does not identify the candidate's committee vote or conduct.,https://legiscan.com/AL/bill/HB180/2010,"Water and sewer services, municipal corporation boards of directors, and municipal and county boards of directors of water, sewer, and fire protection authorities, compensation increased, Prichard excepted, Secs. 11-50-15, 11-50-313, 11-88-6 am'd.","Water and sewer services, municipal corporation boards of directors, and municipal and county boards of directors of water, sewer, and fire protection authorities, compensation increased, Prichard excepted, Secs. 11-50-15, 11-50-313, 11-88-6 am'd.","Water, Sewer, and Fire Protection Authorities"
ALPERSON-ALAN-HARPER,Alan Harper,2010,3381,96503,HB263,2010,Regular Session 2010,joint_sponsor,pre_or_during_election,pre_or_during_election,1,2010-01-14,Read for the first time and referred to the House of Representatives committee on Judiciary,,1,referral,,True,False,False,Event concerns a sponsored bill; source does not identify the candidate's committee vote or conduct.,https://legiscan.com/AL/bill/HB263/2010,"Driving or operating a vehicle as defined (including vessels) under the influence of alcohol or drugs, criminal negligent homicide or assault in the first degree amended to include, Secs. 13A-6-4, 13A-6-20 am'd.","Driving or operating a vehicle as defined (including vessels) under the influence of alcohol or drugs, criminal negligent homicide or assault in the first degree amended to include, Secs. 13A-6-4, 13A-6-20 am'd.",Crimes and Offenses
ALPERSON-ALAN-HARPER,Alan Harper,2010,3381,96504,HB264,2010,Regular Session 2010,joint_sponsor,pre_or_during_election,pre_or_during_election,1,2010-01-14,Read for the first time and referred to the House of Representatives committee on Commerce,,1,referral,3.0,True,True,False,Event concerns a sponsored bill; source does not identify the candidate's committee vote or conduct.,https://legiscan.com/AL/bill/HB264/2010,"Alabama Residential Energy Code Board changed to Alabama Energy and Residential Codes Board, Model Energy Code replaced with Alabama Energy and Residential Codes, adoption of modern building and energy codes in compliance with federal law to be implemented by counties and municipalities, board members increased, certain farm structures excluded, sprinkler systems provided for, Secs. 41-23-80, 41-23-81, 41-23-82, 41-23-83, 41-23-84, 41-23-85 am'd.","Alabama Residential Energy Code Board changed to Alabama Energy and Residential Codes Board, Model Energy Code replaced with Alabama Energy and Residential Codes, adoption of modern building and energy codes in compliance with federal law to be implemented by counties and municipalities, board members increased, certain farm structures excluded, sprinkler systems provided for, Secs. 41-23-80, 41-23-81, 41-23-82, 41-23-83, 41-23-84, 41-23-85 am'd.",Energy
ALPERSON-ALAN-HARPER,Alan Harper,2010,3381,96509,HB269,2010,Regular Session 2010,joint_sponsor,pre_or_during_election,pre_or_during_election,1,2010-01-14,Read for the first time and referred to the House of Representatives committee on Education Appropriations,,1,referral,3.0,True,True,False,Event concerns a sponsored bill; source does not identify the candidate's committee vote or conduct.,https://legiscan.com/AL/bill/HB269/2010,"Eagles' Wings, Inc., exempt from state, county, and municipal sales and use tax","Eagles' Wings, Inc., exempt from state, county, and municipal sales and use tax",Taxation
ALPERSON-ALAN-HARPER,Alan Harper,2010,3381,97097,HJR50,2010,Regular Session 2010,joint_sponsor,pre_or_during_election,pre_or_during_election,1,2010-01-14,Introduced and referred to the House of Representatives committee on Rules,,1,referral,,True,False,False,Event concerns a sponsored bill; source does not identify the candidate's committee vote or conduct.,https://legiscan.com/AL/bill/HJR50/2010,"Lieutenant Governor's Commission on Public-Private Partnership Projects, extended","Lieutenant Governor's Commission on Public-Private Partnership Projects, extended","Resolutions, Legislative"
ALPERSON-ALAN-HARPER,Alan Harper,2010,3381,96546,HB306,2010,Regular Session 2010,joint_sponsor,pre_or_during_election,pre_or_during_election,1,2010-01-19,Read for the first time and referred to the House of Representatives committee on Public Safety,,1,referral,3.0,True,True,False,Event concerns a sponsored bill; source does not identify the candidate's committee vote or conduct.,https://legiscan.com/AL/bill/HB306/2010,"Motor vehicles, accident response service fee imposed by law enforcement officer or agency on or from insurance company or driver or owner of motor vehicle, prohibited","Motor vehicles, accident response service fee imposed by law enforcement officer or agency on or from insurance company or driver or owner of motor vehicle, prohibited",Motor Vehicles
ALPERSON-ALAN-HARPER,Alan Harper,2010,3381,96547,HB307,2010,Regular Session 2010,joint_sponsor,pre_or_during_election,pre_or_during_election,1,2010-01-19,Read for the first time and referred to the House of Representatives committee on Commerce,,1,referral,4.0,True,True,False,Event concerns a sponsored bill; source does not identify the candidate's committee vote or conduct.,https://legiscan.com/AL/bill/HB307/2010,"Motor vehicles, used motor vehicle dealer or motor vehicle wholesaler, licensure and regulation, additional training required for new applicants, Revenue Department to enforce, Secs. 40-12-390, 40-12-391 am'd.","Motor vehicles, used motor vehicle dealer or motor vehicle wholesaler, licensure and regulation, additional training required for new applicants, Revenue Department to enforce, Secs. 40-12-390, 40-12-391 am'd.",Motor Vehicles
