focal_person_id,focal_candidate,election_cycle,comparison_candidate,dimension,evidence_summary,source_type,source_url,confidence,source_perspective,review_status
ALPERSON-RICHARD-LINDSEY,Richard Lindsey,2014,John Robinson,local_tenure,"Lindsey had represented HD-39 since 1983 and previously chaired the Education Finance and Appropriations Committee.",contemporary_reporting,https://www.alreporter.com/2014/09/24/heath-jones-running-as-republican-in-house-district-39/,high,news_report,verified
ALPERSON-LINDA-MEIGS,Linda Meigs,2018,,candidate_background,"Meigs was a retired Grissom High School teacher and local Democratic activist but a first-time candidate. Her occupational credibility may have helped, while she lacked the long personal electoral network of the rural incumbents.",contemporary_candidate_voter_guide,https://media.al.com/news_impact/other/Huntsville%20Times%202018%20midterm%20guide.pdf,medium,candidate_response_in_news_voter_guide,provisional
ALPERSON-LINDA-MEIGS,Linda Meigs,2018,,resource_sensitivity,"Meigs's Total OOF CMO is about +15.1 and her resource-adjusted OOF CMO about +9.7, indicating that modeled campaign resources explain part, but not all, of the residual.",project_data,research/cmo_ideology/candidate_cycle_analysis.csv,high,derived_project_measure,verified
ALPERSON-KIM-CAUDLE-LEWIS,Kim Caudle Lewis,2022,Tom Butler,local_network,"Lewis was a lifelong Madison County resident, local technology-business founder, and the first Black woman to chair the Huntsville/Madison County Chamber of Commerce. Contemporary observers described unusually strong civic standing for a Democratic legislative nominee.",contemporary_reporting,https://256today.com/butler-vs-lewis-state-senate-race-most-competitive/,high,news_report_with_named_observers,provisional
ALPERSON-KIM-CAUDLE-LEWIS,Kim Caudle Lewis,2022,Tom Butler,fundraising_base,"Contemporary reporting said most of Lewis's roughly $95,000 came from individual donors, while most of Butler's much larger total came from PACs. Lewis explicitly presented this as evidence of community support.",contemporary_candidate_interview,https://www.alreporter.com/2022/09/14/in-competitive-districts-some-democratic-candidates-may-find-success/,high,news_report_and_candidate_interpretation,provisional
ALPERSON-KIM-CAUDLE-LEWIS,Kim Caudle Lewis,2022,Tom Butler,resource_sensitivity,"Lewis's resource-adjusted OOF CMO remains close to the Total OOF score, so the model's observed resource control does not explain away her positive residual.",project_data,research/cmo_ideology/candidate_cycle_analysis.csv,high,derived_project_measure,verified
ALPERSON-JAMES-C-FIELDS-JR,James C. Fields Jr.,2010,Mac Buttram,local_network,"Fields was a Cullman County native, Methodist minister, and longtime state employment-service worker who had already won the 98-percent-white district in a 2008 special election. Contemporary voter quotations emphasized that he was regarded as locally embedded rather than socially distant.",contemporary_national_profile,https://www.nytimes.com/2010/02/28/magazine/28Alabama-t.html,high,news_profile_with_voter_interviews,provisional
ALPERSON-JAMES-C-FIELDS-JR,James C. Fields Jr.,2010,Mac Buttram,opponent_attack,"The Alabama Republican Party attacked Fields over HB532 as trying to release murderers. Contemporary reporting described the claim as dubious; the bill created a tightly conditioned path to parole consideration for a small class of first-time offenders after at least 20 years. The attack may have reduced Fields's result and makes his positive CMO more notable, but the partisan defense requires caution.",contemporary_partisan_reporting,https://wantedalabamademocrats.blogspot.com/2010/10/,medium,openly_pro_democratic_source,provisional
ALPERSON-REX-CHEATHAM,Rex Cheatham,2014,Terri Collins,education_labor_network,"Cheatham had worked for the Alabama Education Association, taught in Morgan County schools for ten years, and led a gubernatorial education-reform committee. These education networks offer a concrete organizational and occupational mechanism separate from general left-right ideology.",contemporary_institutional_profile,https://www.una.edu/alumni/benefits/files/mags/UNAmagazineSpring%20Vol-20%20No%201-2012SM.pdf,high,institutional_alumni_profile,provisional
ALPERSON-REX-CHEATHAM,Rex Cheatham,2014,Terri Collins,resource_sensitivity,"Cheatham raised about $87,000 to Collins's $273,000 in the FollowTheMoney summaries. His Total OOF CMO is about +16.7, resource-adjusted CMO +16.0, and fundraising-adjusted CMO +17.7; modeled resources therefore do not explain his positive residual.",project_data,research/cmo_ideology/candidate_cycle_analysis.csv,high,derived_project_measure,verified
ALPERSON-NAPOLEON-BRACY-JR,Napoleon Bracy Jr.,2010,,local_network,"Bracy entered the House after six years on the Prichard City Council, including council presidency. The local-office base is a plausible personal-vote mechanism in HD98, although the best surviving biography was published just after election day.",contemporary_post_election_profile,https://almonline.org/Assets/Files/Alabama%20Municipal%20Journal/JournalArchive/2010/Dec-2010.pdf,high,contemporary_profile_of_preexisting_fact,provisional
ALPERSON-NAPOLEON-BRACY-JR,Napoleon Bracy Jr.,2010,,fundraising_advantage,"FollowTheMoney summaries report about $100,000 for Bracy versus $12,000 for the Republican. Total OOF CMO is about +20.7 but fundraising-adjusted CMO falls to about +12.9, indicating that resources explain a meaningful minority of the residual.",project_data,research/cmo_ideology/candidate_cycle_analysis.csv,high,derived_project_measure,verified
ALPERSON-GREG-VARNER,Greg Varner,2010,Gerald Dial,fundraising_advantage,"FollowTheMoney summaries report about $1.14 million for Varner versus $404,000 for Dial. Varner's Total OOF CMO is about +15.5 and fundraising-adjusted CMO about +8.4, so the modeled fundraising advantage explains nearly half of the residual.",project_data,research/cmo_ideology/candidate_cycle_analysis.csv,high,derived_project_measure,verified
ALPERSON-GREG-VARNER,Greg Varner,2010,Gerald Dial,opponent_party_switch,"Dial had represented the district for years as a Democrat before running as a Republican in 2010. Varner's near tie therefore occurred against an opponent with both long tenure and a preexisting Democratic personal vote, complicating any ideology-based interpretation.",contemporary_local_reporting,https://www.therandolphleader.com/2010/06/01/laird-varner-advance-toward-legislature/,high,news_report,verified
