claim_id,draft_section,claim,authoritative_source,verification_status,publication_note
C01,Method,"CMO is an out-of-fold two-party margin-overperformance measure rather than wins added.",project_docs/model/CMO_MODEL_CARD.md,verified,"Retain explicit noncausal language."
C02,Means,"Larry Means moved from approximately -6 CMO in 2010 to +29 in 2014.",research/cmo_ideology/article_repeat_candidate_trajectories.csv,verified,"Round to whole points."
C03,Letson,"Letson's legislative margin stayed near -1 in 2010 and -5 in 2014 while the statewide baseline fell from roughly -15 to -33.",research/cmo_ideology/article_repeat_candidate_trajectories.csv,verified,"Present as descriptive realignment, not causal effect."
C04,Ledbetter,"Ledbetter posted about +22 CMO as a Democrat in 2010 and won the same district as a Republican in 2014.",research/cmo_ideology/candidate_cohort.csv,verified,"Party-switch ideology evidence is retrospective."
C05,Beddingfield,"Beddingfield posted about +23 CMO and was out-raised by more than two-to-one.",research/cmo_ideology/candidate_cohort.csv;https://southerntorch.com/16630/,verified_as_reported,"Finance story reports about $60k versus $145k."
C06,Boyd,"Barbara Boyd was near the progressive side of her caucus and posted about +40 CMO in 2010.",research/cmo_ideology/shor_mccarty_matches.csv;research/cmo_ideology/candidate_cycle_analysis.csv,verified,"Describe percentile rather than ideological label alone."
C07,Figures,"Figures was around the 23rd conservative percentile and sponsored 2010 firearm safe-storage legislation.",research/cmo_ideology/shor_mccarty_matches.csv;https://www.legislature.state.al.us/pdf/SearchableInstruments/2010RS/EndOfDay/StatusSheet.pdf,verified,"Bill summary establishes direction; do not imply enactment."
C08,Daniels,"Daniels's production CMO is about +56 and geography-refit range is about +48 to +56.",research/cmo_ideology/cmo_geography_sensitivity.csv,verified,"Always display the range with the headline value."
C09,Drummond,"Drummond's production CMO is about +30 and geography-refit range is about +13 to +30.",research/cmo_ideology/cmo_geography_sensitivity.csv,verified,"Always display the range with the headline value."
C10,Systematic,"Among 52 clean through-2018 matches Spearman CMO versus Shor score is about -0.03 with clustered interval roughly [-0.32,+0.25].",research/cmo_ideology/article_ideology_sensitivity.csv,verified,"Descriptive selected sample; not causal."
C11,Cycles,"Cycle correlations are about -0.48 in 2010 and +0.55 in 2014.",research/cmo_ideology/article_ideology_sensitivity.csv,verified,"Only three clean 2018 matches."
C12,Pairs,"Among five scored pairs the higher-CMO candidate is more conservative once, more progressive twice, and broadly similar twice.",research/cmo_ideology/matched_pair_evidence.csv,verified,"State pair-selection limitations."
C13,Tenure,"Simple legislative service years have near-zero rank relationship with CMO.",research/cmo_ideology/SYNTHESIS_01.md,verified_derived,"Add a generated tenure exhibit before publication."
C14,Betterton,"Betterton's economically progressive issue page was published and last modified before the 2014 general election.",research/cmo_ideology/candidate_memos/andy_betterton.md,verified,"WordPress publication metadata makes the code temporally eligible; retain local tenure as a competing explanation."
C15,Uncertainty,"2014 geographic allocation materially changes several headline CMO estimates.",research/cmo_ideology/article_baseline_geography_sensitivity.csv,verified,"Use interval glyphs rather than exact rank ordering."
C16,Suburbs,"Linda Meigs recorded about +15.1 Total OOF CMO and +9.7 resource-adjusted CMO while supporting Medicaid expansion and an education lottery.",research/cmo_ideology/candidate_memos/linda_meigs.md,verified,"Keep the platform and resource-adjustment claims distinct."
C17,Suburbs,"Kim Caudle Lewis recorded about +15.0 Total OOF CMO and +15.8 resource-adjusted CMO while combining education and reproductive-rights positioning with business and chamber credentials.",research/cmo_ideology/candidate_memos/kim_caudle_lewis.md,verified,"Describe chamber and business service as competing valence evidence."
C18,Fields,"James Fields recorded about +15.6 CMO and a 34-point raw gap over the statewide baseline; his roll-call score was mildly conservative while he supported new school revenue.",research/cmo_ideology/candidate_memos/james_fields.md,verified,"Lead with mixed ideology and cross-racial local membership."
C19,Cheatham,"Rex Cheatham recorded about +16.7 CMO that survives resource adjustment; pre-election evidence establishes strong education-labor alignment but not cultural positions.",research/cmo_ideology/candidate_memos/rex_cheatham.md,verified,"Leave guns and abortion unknown."
C20,Unresolved,"Napoleon Bracy's +20.7 CMO falls to about +12.9 after fundraising adjustment; his later roll-call score is temporally ineligible for 2010.",research/cmo_ideology/candidate_memos/napoleon_bracy.md,verified,"Do not backcast post-election ideology."
C21,Unresolved,"Greg Varner's +15.5 CMO falls to about +8.4 after fundraising adjustment and his opponent Gerald Dial brought prior Democratic tenure.",research/cmo_ideology/candidate_memos/greg_varner.md,verified,"Treat as finance and opponent-identity evidence."
C22,Fielding,"Jerry Fielding recorded about +18.2 CMO after a 26-year judicial career and faced a Republican replacement selected roughly eight weeks before Election Day; later cultural positions are not valid 2010 codes.",research/cmo_ideology/candidate_memos/jerry_fielding.md,verified,"Separate demonstrated local/opponent mechanisms from later ideology."
C23,HD-24,"David Beddingfield recorded about +23 CMO despite a two-to-one fundraising disadvantage and entered the race with years as Fort Payne school-board president.",research/cmo_ideology/candidate_memos/david_beddingfield.md,verified,"Treat local education credibility as demonstrated; full ideology remains unknown."
C24,Comparison,"Dennis Stephens signed an anti-corruption pledge but faced a Republican nominee with demonstrated primary strength; his substantive ideology remains unknown.",research/cmo_ideology/candidate_memos/dennis_stephens.md,verified_uncertainty,"Do not infer issue positions from the unrecovered interview."
C25,McLaughlin,"Jeff McLaughlin recorded about +37.7 CMO despite an approximately eight-to-one fundraising disadvantage; his pre-election roll-call score was on the conservative side of his Democratic caucus while his campaign stressed education, infrastructure, TVA, and clean government.",research/cmo_ideology/candidate_memos/jeff_mclaughlin.md,verified,"Describe the ideological bundle and prior-service mechanism rather than reducing it to one dimension."
C26,Matched comparison,"Richard Lindsey and John Robinson occupied the same broad conservative Democratic ideology band and both had AEA support, yet their 2014 CMO differed by about 36 points; resource adjustment explains only about five points of the gap.",research/cmo_ideology/matched_pair_evidence.csv;research/cmo_ideology/candidate_memos/richard_lindsey.md;research/cmo_ideology/candidate_memos/john_robinson.md,verified,"Use as the principal within-era evidence against an ideology-only explanation."
C27,Matched comparison,"The production Drummond-Alexander CMO gap is about 22.5 points, but geography sensitivity narrows its lower bound below one point; both ideology scores are post-election and opponent resources strongly differ.",research/cmo_ideology/article_matched_pair_decomposition.csv;research/cmo_ideology/candidate_memos/louise_alexander.md,verified,"Do not treat this pair as causal evidence that progressive ideology increased CMO."
C28,Matched comparison,"Henry White exceeded Jennifer Marsden by about 53 CMO points, but White's own CMO changed by roughly 34 points against the same opponent; Marsden faced a twenty-year incumbent who shared conditional support for Medicaid expansion and she approximately matched the prior Democrat's vote share.",research/cmo_ideology/candidate_memos/henry_white.md;research/cmo_ideology/candidate_memos/jennifer_marsden.md;research/cmo_ideology/candidate_cycle_analysis.csv,verified,"Use the pair as evidence that ideology, opponent incumbency, and local roots cannot be separated by the matched score alone."
C29,Morrow,"Johnny Mack Morrow recorded about +28 CMO in the 2014 House race and +31 in the 2018 Senate race; direct 2014 evidence establishes armed-school-security policy, public-school investment, and constituency service, while the explicit pro-life and pro-Second Amendment campaign framing is documented in 2018.",research/cmo_ideology/candidate_memos/johnny_mack_morrow.md;research/cmo_ideology/candidate_cycle_analysis.csv;research/cmo_ideology/evidence_ledger.csv,verified,"Keep the election-specific chronology explicit and do not backdate the 2018 abortion language."
C30,Matched comparison,"Larry Means exceeded Darrell Turner by about 25 CMO points, but resource adjustment reduces the gap to about 13; both emphasized working families and public education, while Turner's cultural positions remain unobserved.",research/cmo_ideology/candidate_memos/larry_means.md;research/cmo_ideology/candidate_memos/darrell_turner_comparison.md;research/cmo_ideology/matched_pair_evidence.csv,verified,"Present as compatible with cultural differentiation, not as an estimate of its effect."
C31,Method,"Independent identity-redacted review produced exact agreement on 40 of 46 candidate-dimension codes; all six disagreements concerned intensity rather than direction, and all six were explicitly adjudicated.",research/cmo_ideology/blind_code_review_results.csv;research/cmo_ideology/blind_review_adjudication.csv;research/cmo_ideology/BLIND_REVIEW_PROTOCOL.md,verified,"Report raw agreement and the adjudication process; do not describe the codes as unanimously validated."
