amendment_id,person_id,candidate,election_cycle,bill_number,issue,stance_code,position_summary,revision_direction,ideological_valence,evidence_date,temporal_status,confidence,source_url,local_text,review_note,linked_bill_number,header_bill_number,bill_link_status
49103,ALPERSON-VIVIAN-DAVIS-FIGURES,Vivian Davis Figures,2010,SB301,criminal_justice,amendment_support,"Narrowed image-distribution liability by requiring intent to harass, threaten, coerce, or intimidate; added a statutory nudity definition; and allowed sentencing courts to exempt counseled juveniles adjudicated under the Alabama Child Pornography Act from the chapter. Large deleted passages cannot be characterized without the referenced bill version.",mixed_narrowing_and_discretion,indeterminate,2017-04-13,post_election,medium,https://legiscan.com/AL/amendment/SB301/id/49103,data\processed\legislative\focal_amendment_text\49103.txt,"Reviewed against the amendment PDF text. Known insertions narrow intent requirements and add juvenile judicial discretion, but deletions of referenced lines prevent a complete directional characterization.",SB301,SB301,matched
49016,ALPERSON-VIVIAN-DAVIS-FIGURES,Vivian Davis Figures,2010,HB24,lgbtq_cultural,amendment_support,"Proposed barring any state-funded child-placing agency from discriminating on the basis of race, color, religion, national origin, ethnicity, sex, sexual orientation, gender identity or expression, disability, or age.",adds_nondiscrimination_requirement,progressive,2017-04-18,post_election,high,https://legiscan.com/AL/amendment/HB24/id/49016,data\processed\legislative\focal_amendment_text\49016.txt,"The amendment adds a complete, self-contained nondiscrimination section to HB24. Both model reviews agree on the operative effect; the amendment text independently supports it.",HB24,HB24,matched
49275,ALPERSON-VIVIAN-DAVIS-FIGURES,Vivian Davis Figures,2010,HB98,abortion,amendment_support,Proposed making the state responsible for all reasonable costs through majority for a child whose mother certified that she otherwise would have obtained an abortion.,adds_state_child_support_obligation,progressive,2017-04-20,post_election,medium,https://legiscan.com/AL/amendment/HB98/id/49275,data\processed\legislative\focal_amendment_text\49275.txt,"The operative fiscal provision is explicit. It appears to be a pro-choice accountability amendment to HB98, but the position summary states only the proposal itself because rhetorical intent cannot be established from amendment text alone.",HB98,HB98,matched
50080,ALPERSON-BARBARA-BIGSBY-BOYD,Barbara Bigsby Boyd,2010,HB50,criminal_justice,amendment_support,"Proposed statewide collection of all excessive-force allegations, including officer and victim race and case outcomes, with annual reporting to legislative oversight committees.",substitutes_police_force_reporting_system,progressive,2017-04-18,post_election,high,https://legiscan.com/AL/amendment/HB50/id/50080,data\processed\legislative\focal_amendment_text\50080.txt,"This is a complete substitute for HB50 rather than a line fragment. Its findings, mandatory data fields, and reporting duties directly establish a police-accountability and transparency position.",HB50,HB50,matched
50937,ALPERSON-VIVIAN-DAVIS-FIGURES,Vivian Davis Figures,2010,HB528,occupational_licensing,amendment_support,"Proposed streamlined, no-fee exemptions from ordinary Mobile County food-service regulation for intermittent cultural-event vendors, church fundraisers, and certain crawfish boils while retaining basic food-safety conditions.",creates_conditional_local_regulatory_exemptions,conservative,2017-05-17,post_election,high,https://legiscan.com/AL/amendment/HB528/id/50937,data\processed\legislative\focal_amendment_text\50937.txt,The complete substitute explicitly reduces regulatory burdens for intermittent and community food vendors. The conservative valence is limited to regulatory relief; its local cultural-event focus is also recorded in the position summary.,HB528,HB528,matched
52583,ALPERSON-VIVIAN-DAVIS-FIGURES,Vivian Davis Figures,2010,HB136,ethics_government,amendment_support,Proposed excluding Class 2 municipalities—Mobile—from HB136's authorization for municipalities to change council size and election structure.,exempts_class_2_municipality,indeterminate,2017-05-03,post_election,high,https://legiscan.com/AL/amendment/HB136/id/52583,data\processed\legislative\focal_amendment_text\52583.txt,"The archived introduced HB136 establishes the referenced council-composition changes. Read together, the amendment clearly preserves a separate rule for Mobile, but the text does not support a left-right ideological interpretation.",HB136,HB136,matched
52712,ALPERSON-VIVIAN-DAVIS-FIGURES,Vivian Davis Figures,2010,SB190,ethics_government,amendment_support,"Proposed assigning local boards of registrars responsibility for rejected-absentee-ballot notices and records, and requiring sheriffs to collect rejected ballots within 10 days after an election.",reassigns_rejected_absentee_ballot_notice,indeterminate,2017-04-06,post_election,high,https://legiscan.com/AL/amendment/SB190/id/52712,data\processed\legislative\focal_amendment_text\52712.txt,The amendment is explicit about election-administration duties. It supports a concrete administrative position but no defensible left-right valence.,SB190,SB190,matched
61640,ALPERSON-NATHANIEL-LEDBETTER,Nathaniel Ledbetter,2010,SB149,infrastructure_energy,amendment_support,"Proposed allowing state broadband grants to supplement federally funded projects only to extend service to otherwise unserved rural areas or raise service to at least 25/3 Mbps, capped at 40% of grant funds and 20% of project cost.",allows_capped_state_federal_broadband_coordination,indeterminate,2018-03-20,post_election,high,https://legiscan.com/AL/amendment/SB149/id/61640,data\processed\legislative\focal_amendment_text\61640.txt,The amendment both expands eligibility for coordinated state-federal projects and limits permissible uses and award size. It is strong evidence of a rural-broadband priority but not a simple ideological direction.,SB149,SB149,matched
61675,ALPERSON-NAPOLEON-BRACY-JR,Napoleon Bracy Jr.,2010,SB50,environment,amendment_support,"Proposed excluding vessels built before 1918 from SB50's regulated definition, shielding historic vessels from the bill's abandoned-or-derelict-vessel enforcement framework.",exempts_historic_vessels,indeterminate,2018-02-27,post_election,high,https://legiscan.com/AL/amendment/SB50/id/61675,data\processed\legislative\focal_amendment_text\61675.txt,The exemption is explicit. The archived bill description supplies the abandoned/derelict-vessel context; the amendment shows a narrow historic-vessel priority without a left-right valence.,SB50,SB50,matched
74853,ALPERSON-BILLY-BEASLEY,Billy Beasley,2010,SB220,gambling,amendment_support,"Proposed removing mobile, Internet-based, and monitor-based interactive games from SB220's express lottery exclusions while specifying that bingo and pari-mutuel wagering were not video lottery.",broadens_lottery_format_and_protects_existing_gambling,indeterminate,2019-04-25,post_election,high,https://legiscan.com/AL/amendment/SB220/id/74853,data\processed\legislative\focal_amendment_text\74853.txt,"The amendment must be read with the archived introduced SB220. Contrary to one model summary, deleting the phrase broadens rather than narrows permissible lottery formats; the added sentence separately protects bingo and pari-mutuel wagering from the video-lottery definition.",SB220,SB220,matched
