person_id,candidate,election_cycle,evidence_date,dimension,coded_value,evidence_summary,source_type,source_url,confidence,review_status
ALPERSON-HOLMES,Mike Holmes,2014,2014-02-05,party_identity,invalid,"Won the Republican special-election runoff; no Democrat qualified for the general election.",contemporary_reporting,https://www.alreporter.com/2014/02/05/mike-holmes-wins-in-house-district-31/,high,verified
ALPERSON-HOLMES,Mike Holmes,2014,2014-11-24,party_identity,invalid,"Certified general results list Holmes as the Republican candidate.",official_election_record,https://www.sos.alabama.gov/sites/default/files/voter-pdfs/2014/2014GeneralResults-WithWriteIn.pdf,high,verified
ALPERSON-BAKER,Alan Baker,2014,2014-11-24,party_identity,invalid,"Certified general results list Baker as the Republican candidate in HD-66.",official_election_record,https://www.sos.alabama.gov/sites/default/files/voter-pdfs/2014/2014GeneralResults-WithWriteIn.pdf,high,verified
ALPERSON-JOHNNY-MACK-MORROW,Johnny Mack Morrow,2018,2018-08-27,social_ideology,2,"Contemporary campaign profile explicitly described Morrow as a conservative Democrat with a pro-life and pro-family voting record.",contemporary_local_reporting,https://www.franklincountytimes.com/2018/08/27/rep-johnny-mack-morrow-kicks-off-campaign-for-state-senate-district-6/,high,provisional
ALPERSON-JOHNNY-MACK-MORROW,Johnny Mack Morrow,2018,2018-08-27,guns_position,2,"Contemporary campaign profile described his record as pro-Second Amendment.",contemporary_local_reporting,https://www.franklincountytimes.com/2018/08/27/rep-johnny-mack-morrow-kicks-off-campaign-for-state-senate-district-6/,high,provisional
ALPERSON-JOHNNY-MACK-MORROW,Johnny Mack Morrow,2018,2018-08-27,abortion_position,2,"Contemporary campaign profile described his voting record as pro-life.",contemporary_local_reporting,https://www.franklincountytimes.com/2018/08/27/rep-johnny-mack-morrow-kicks-off-campaign-for-state-senate-district-6/,high,provisional
ALPERSON-JOHNNY-MACK-MORROW,Johnny Mack Morrow,2018,2018-08-27,economic_ideology,-1,"The same profile emphasized defense of public education and the Retirement Systems of Alabama and opposition to charter-school funding shifts.",contemporary_local_reporting,https://www.franklincountytimes.com/2018/08/27/rep-johnny-mack-morrow-kicks-off-campaign-for-state-senate-district-6/,medium,provisional
ALPERSON-JOHNNY-MACK-MORROW,Johnny Mack Morrow,2018,2018-08-27,localism_personal_vote,2,"Profile emphasized Rural Caucus leadership, accessibility, constituency responsiveness, and rural advocacy.",contemporary_local_reporting,https://www.franklincountytimes.com/2018/08/27/rep-johnny-mack-morrow-kicks-off-campaign-for-state-senate-district-6/,medium,provisional
ALPERSON-JOHNNY-MACK-MORROW,Johnny Mack Morrow,2014,2013-03-07,guns_position,1,"Morrow sponsored legislation allowing trained school personnel and community volunteers to serve as armed reserve deputies or police reserves. This establishes support for an armed-school-security policy, but is narrower than a general Second Amendment rating.",associated_press_reporting,https://www.apr.org/politics-government/2013-03-07/ala-house-wont-override-school-safety-bill-veto,high,verified_narrow_position
ALPERSON-JOHNNY-MACK-MORROW,Johnny Mack Morrow,2014,2013-01-30,economic_ideology,-1,"Morrow advocated teacher and support-personnel pay increases, recruitment and retention programs, full AMSTI funding, classroom resources, and public investment rather than education deregulation.",contemporary_candidate_column,https://www.franklincountytimes.com/2013/01/30/invest-in-public-education/,high,verified
ALPERSON-JOHNNY-MACK-MORROW,Johnny Mack Morrow,2014,2014-11-04,localism_personal_vote,2,"Election-night reporting documented 24 years of representation and credited Morrow with school safety, industrial jobs, road work, veterans programming, TVA revenue for local groups, and constituent advocacy.",contemporary_local_reporting,https://www.franklincountytimes.com/2014/11/04/morrow-re-elected-to-house/,high,verified
ALPERSON-JERRY-L-FIELDING,Jerry Fielding,2010,2013-12-20,party_identity,verified_switcher,"Federal redistricting litigation records that Fielding was elected as a Democrat and switched to the Republican Party after approval of new districts.",federal_court_record,https://www.govinfo.gov/content/pkg/USCOURTS-almd-2_12-cv-00691/pdf/USCOURTS-almd-2_12-cv-00691-5.pdf,high,verified
ALPERSON-RICHARD-LINDSEY,Richard Lindsey,2014,2014-08-22,party_identity,verified,"Alabama Democratic Party certification lists Lindsey as its HD-39 candidate.",official_party_certification,https://www.sos.alabama.gov/sites/default/files/voter-pdfs/2014/statecert-demParty-candidates_2014-08-22.pdf,high,verified
ALPERSON-JEFF-MCLAUGHLIN,Jeff McLaughlin,2014,,overall_ideological_valence,2,"Contemporary campaign announcement described McLaughlin as a conservative who would resist extreme partisan politics.",contemporary_local_reporting,https://gadsdenmessenger.com/jeff-mclaughlin-announces-campaign-for-house-district/,medium,adjudicated_blind_review
ALPERSON-JEFF-MCLAUGHLIN,Jeff McLaughlin,2014,2010-10-06,party_independence,2,"His legislative identity centered on refusing campaign contributions and repeatedly sponsoring a ban on PAC-to-PAC transfers.",contemporary_reporting,https://en.wikipedia.org/wiki/Jeff_McLaughlin,medium,needs_primary_source
ALPERSON-RICHARD-LINDSEY,Richard Lindsey,2014,2017-11-14,localism_personal_vote,2,"Lindsey served HD-39 from 1983 through 2018 and spent a decade chairing the Education Finance and Appropriations Committee.",contemporary_state_reporting,https://www.alreporter.com/2017/11/14/longtime-democratic-state-rep-richard-lindsey-retire-house/,high,provisional
ALPERSON-ANTHONY-DANIELS,Anthony Daniels,2014,2024-04-09,economic_ideology,-1,"Daniels advocated federally supported Medicaid expansion and additional mental-health support in education.",contemporary_state_reporting,https://alabamareflector.com/2024/04/09/2nd-congressional-district-anthony-daniels-focuses-on-economic-development/,medium,post_election_evidence
ALPERSON-ANTHONY-DANIELS,Anthony Daniels,2014,2024-04-09,abortion_position,-1,"Reporting notes Daniels joined the Democratic walkout against Alabama's 2019 abortion ban.",contemporary_state_reporting,https://alabamareflector.com/2024/04/09/2nd-congressional-district-anthony-daniels-focuses-on-economic-development/,medium,post_election_evidence
