anonymous_case_id,person_id,candidate,election_cycle,dimension,coded_value,review_status
CASE-132CFEE89E,ALPERSON-GREG-VARNER,Greg Varner,2010,localism_personal_vote,1,retrospective_pre_election_biographical_fact
CASE-1BB9FDBAC6,ALPERSON-ALLI-SUMMERFORD,Alli Summerford,2018,economic_ideology,-1,provisional
CASE-1BB9FDBAC6,ALPERSON-ALLI-SUMMERFORD,Alli Summerford,2018,localism_personal_vote,1,provisional
CASE-1EC5602ADB,ALPERSON-KIM-CAUDLE-LEWIS,Kim Caudle Lewis,2022,abortion_position,-1,provisional
CASE-1EC5602ADB,ALPERSON-KIM-CAUDLE-LEWIS,Kim Caudle Lewis,2022,economic_ideology,-1,provisional
CASE-1EC5602ADB,ALPERSON-KIM-CAUDLE-LEWIS,Kim Caudle Lewis,2022,localism_personal_vote,2,provisional
CASE-25EED9A96C,ALPERSON-JOHN-JODY-LETSON,John (Jody) Letson,2014,economic_ideology,-1,provisional
CASE-25EED9A96C,ALPERSON-JOHN-JODY-LETSON,John (Jody) Letson,2014,labor_position,-1,provisional
CASE-25EED9A96C,ALPERSON-JOHN-JODY-LETSON,John (Jody) Letson,2014,localism_personal_vote,2,provisional
CASE-29D86F0B63,ALPERSON-CRAIG-FORD,Craig Ford,2014,economic_ideology,-1,retrospective_profile
CASE-29D86F0B63,ALPERSON-CRAIG-FORD,Craig Ford,2014,guns_position,2,retrospective_profile
CASE-29D86F0B63,ALPERSON-CRAIG-FORD,Craig Ford,2014,overall_ideological_valence,1,verified
CASE-29D86F0B63,ALPERSON-CRAIG-FORD,Craig Ford,2014,party_independence,2,retrospective_profile
CASE-2E5602F68F,ALPERSON-ANDREW-ANDY-BETTERTON,"Andrew ""Andy"" Betterton",2014,economic_ideology,-1,verified
CASE-327A02E177,ALPERSON-ANTHONY-DANIELS,Anthony Daniels,2014,abortion_position,-1,post_election_evidence
CASE-327A02E177,ALPERSON-ANTHONY-DANIELS,Anthony Daniels,2014,business_alignment,1,verified
CASE-327A02E177,ALPERSON-ANTHONY-DANIELS,Anthony Daniels,2014,economic_ideology,-1,post_election_evidence
CASE-327A02E177,ALPERSON-ANTHONY-DANIELS,Anthony Daniels,2014,guns_position,-1,post_election_evidence
CASE-327A02E177,ALPERSON-ANTHONY-DANIELS,Anthony Daniels,2014,labor_position,-2,retrospective_pre_election_biographical_fact
CASE-3F2CCBB5FA,ALPERSON-DARRELL-TURNER,Darrell Turner,2014,campaign_resources,,verified
CASE-3F2CCBB5FA,ALPERSON-DARRELL-TURNER,Darrell Turner,2014,economic_ideology,-1,verified
CASE-3F2CCBB5FA,ALPERSON-DARRELL-TURNER,Darrell Turner,2014,labor_position,-2,verified
CASE-3F2CCBB5FA,ALPERSON-DARRELL-TURNER,Darrell Turner,2014,opponent_quality_context,,verified_allegation_not_adjudication
CASE-3F2CCBB5FA,ALPERSON-DARRELL-TURNER,Darrell Turner,2014,party_independence,1,verified
CASE-511C11F86D,ALPERSON-NATHANIEL-LEDBETTER,Nathaniel Ledbetter,2010,party_identity,verified_democrat,verified
CASE-511C11F86D,ALPERSON-NATHANIEL-LEDBETTER,Nathaniel Ledbetter,2010,social_ideology,2,post_election_retrospective
CASE-602E4C7D32,ALPERSON-TAMMY-L-IRONS,Tammy Irons,2010,economic_ideology,-1,verified
CASE-602E4C7D32,ALPERSON-TAMMY-L-IRONS,Tammy Irons,2010,economic_ideology,-1,post_election_corroboration
CASE-602E4C7D32,ALPERSON-TAMMY-L-IRONS,Tammy Irons,2010,labor_position,-1,verified_context
