ontology_version,review_id,election_year,normalized_option,question,option_text,decision,primary_domain,policy_domains_json,policy_key,effects_json,confidence,reviewer_notes,consensus_status,direction_resolutions_json,review_source
2.0.1,00E29D9275119611,2014,do you support the national common core state standards initiative?,,a) Do you support the national Common Core State Standards initiative?,adjudicated,education,"[""education""]",,"[{""axis"":""market_governance"",""pole"":""intervention"",""strength"":""secondary"",""rationale"":""secondary""},{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""secondary"",""rationale"":""secondary""},{""axis"":""education_governance"",""pole"":""public_system"",""strength"":""primary"",""rationale"":""The Common Core State Standards initiative is implemented through a public system of education standards, indicating that the policy mechanism prioritizes public provision over market choice.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,02D41D0EE82A0C47,2018,do you support the use of an independent and/or bipartisan commission for redistricting?,,c) Do you support the use of an independent AND/OR bipartisan commission for redistricting?,adjudicated,government_reform,"[""government_reform"",""welfare""]",,"[{""axis"":""market_governance"",""pole"":""intervention"",""strength"":""secondary"",""rationale"":""secondary""},{""axis"":""childcare_delivery"",""pole"":""employer_incentive"",""strength"":""secondary"",""rationale"":""The policy option suggests supporting the use of an independent and/or bipartisan commission for redistricting. However, this does not directly relate to childcare delivery mechanisms.""}]",medium,,direction_conflict,"{""welfare_policy"": ""not_applicable""}",focused_ministral_direction_adjudication
2.0.1,0A7E855D50CFD5BB,2010,do you support limits on the number of terms for alabama state legislators?,c) Do you support limits on the following types of contributions to candidates for state government?,b) Do you support limits on the number of terms for Alabama state legislators?,adjudicated,business,"[""business"",""welfare""]",,"[{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""secondary"",""rationale"":""This policy directly limits the number of terms for state legislators. This is a restriction on the amount of time that individuals can hold office.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,1157CF820E036BA6,2010,should a minor accused of a violent crime be prosecuted as an adult?,,e) Should a minor accused of a violent crime be prosecuted as an adult?,adjudicated,criminal_justice,"[""criminal_justice""]",,"[{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""secondary"",""rationale"":""The policy is a restriction on the use of discretion in criminal justice.""},{""axis"":""criminal_punishment"",""pole"":""punitive"",""strength"":""secondary"",""rationale"":""The policy suggests a punitive approach to criminal punishment for minors accused of violent crimes.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,12E4E8D5CD254CBA,2010,do you support limits on the number of terms for alabama governors?,c) Do you support limits on the following types of contributions to candidates for state government?,a) Do you support limits on the number of terms for Alabama governors?,adjudicated,business,"[""business"",""welfare""]",,"[{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""secondary"",""rationale"":""limits on the number of terms for state government officials could be seen as a restriction on the amount of time that individuals can hold office.""},{""axis"":""business_scale_alignment"",""pole"":""small_business"",""strength"":""primary"",""rationale"":""limits on the number of terms for state government officials could be seen as a restriction on the amount of time that individuals can hold office.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,13FD10F7D2EA7EDF,2006,support funding for open space preservation.,Indicate which principles you support (if any) regarding the environment and energy.,e) Support funding for open space preservation.,adjudicated,environment,"[""environment""]",,"[{""axis"":""conservation_preservation"",""pole"":""preserve"",""strength"":""secondary"",""rationale"":""The policy explicitly supports preserving existing open spaces.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,180C8F52DAB2611C,2002,increase state funding for additional security of critical infrastructure against terrorist attacks.,Indicate which principles you support (if any) to address crime.,n) Increase state funding for additional security of critical infrastructure against terrorist attacks.,adjudicated,business,"[""business"",""welfare""]",,"[{""axis"":""market_governance"",""pole"":""intervention"",""strength"":""secondary"",""rationale"":""secundary""},{""axis"":""welfare_policy"",""pole"":""expansion"",""strength"":""secondary"",""rationale"":""By increasing funding for critical infrastructure security against terrorist attacks, the policy aims to expand welfare by ensuring public safety and stability.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,18ABEFFD72C25EB3,2010,do you support interstate health insurance compacts?,,c) Do you support interstate health insurance compacts?,adjudicated,healthcare,"[""healthcare"",""welfare""]",,"[{""axis"":""welfare_policy"",""pole"":""expansion"",""strength"":""primary"",""rationale"":""Focused Ministral pole adjudication""}]",medium,,direction_conflict,"{""welfare_policy"": ""expansion""}",focused_ministral_direction_adjudication
2.0.1,1DB016295DEA536F,2014,"do you support a universally-accessible, publicly-administered health insurance option?",,"a) Do you support a universally-accessible, publicly-administered health insurance option?",adjudicated,welfare,"[""welfare""]",,"[{""axis"":""welfare_policy"",""pole"":""expansion"",""strength"":""secondary"",""rationale"":""secondary""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,1E3ECB4021F8516D,2002,increase state funding for training health workers to recognize and respond to the release of biological agents.,Indicate which principles you support (if any) regarding health issues.,h) Increase state funding for training health workers to recognize and respond to the release of biological agents.,adjudicated,healthcare,"[""healthcare"",""welfare""]",,"[{""axis"":""welfare_policy"",""pole"":""expansion"",""strength"":""secondary"",""rationale"":""Expansion of public health services is a common policy goal.""},{""axis"":""business_scale_alignment"",""pole"":""small_business"",""strength"":""secondary"",""rationale"":""This option could be seen as favoring small businesses by increasing the capacity of public health services to respond to potential threats.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,22956EAC23197458,2010,do you support national education standards?,,a) Do you support national education standards?,adjudicated,education,"[""education""]",,"[{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""secondary"",""rationale"":""The question is about the support of national education standards. This implies a restriction on local control over education policy.""},{""axis"":""market_governance"",""pole"":""intervention"",""strength"":""secondary"",""rationale"":""National education standards imply some level of government intervention in the educational system.""},{""axis"":""education_governance"",""pole"":""public_system"",""strength"":""primary"",""rationale"":""Supporting national education standards suggests a preference for public governance over market choice in education.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,2394598F9C037D8B,2006,"use state funds to clean up former industrial and commercial sites that are contaminated, unused, or abandoned.",Indicate which principles you support (if any) regarding the environment and energy.,"c) Use state funds to clean up former industrial and commercial sites that are contaminated, unused, or abandoned.",adjudicated,environment,"[""environment""]",,"[{""axis"":""environmental_protection"",""pole"":""strengthen"",""strength"":""secondary"",""rationale"":""The policy directly addresses environmental contamination and resource management.""},{""axis"":""conservation_preservation"",""pole"":""preserve"",""strength"":""primary"",""rationale"":""The policy aims to prevent further environmental damage by cleaning up abandoned sites.""},{""axis"":""market_governance"",""pole"":""intervention"",""strength"":""primary"",""rationale"":""The policy involves state funds and direct action to clean up sites, indicating a high level of government intervention.""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,247810B71479C610,2010,do you support increased spending on infrastructure projects for the purpose of job creation?,,e) Do you support increased spending on infrastructure projects for the purpose of job creation?,adjudicated,economy,"[""economy"",""welfare""]",,"[{""axis"":""welfare_policy"",""pole"":""expansion"",""strength"":""secondary"",""rationale"":""economic growth""},{""axis"":""business_scale_alignment"",""pole"":""large_business"",""strength"":""primary"",""rationale"":""job creation""}]",medium,,compatible_additive,{},small_model_additive_consensus
2.0.1,271781AA3B5B00AD,2010,should the alabama ethics commission have the power of subpoena?,c) Do you support limits on the following types of contributions to candidates for state government?,f) Should the Alabama Ethics Commission have the power of subpoena?,adjudicated,business,"[""business"",""welfare""]",,"[{""axis"":""welfare_policy"",""pole"":""restriction"",""strength"":""secondary"",""rationale"":""The policy restricts the power of the Alabama Ethics Commission to subpoena. This is a form of intervention in campaign finance.""},{""axis"":""market_governance"",""pole"":""intervention"",""strength"":""secondary"",""rationale"":""The question is about campaign finance regulations, which fall under market governance.""}]",medium,,compatible_additive,{},small_model_additive_consensus
