election_year,section,question,option_text,policy_key,dimension,affirmative_direction,coding_confidence,response_mode,coding_status,candidates_observed,selected_responses,normalized_option,policy_family
2014.0,Abortion & Reproductive Issues:,,a) Do you generally support pro-choice or pro-life legislation?,abortion_general_pro_life,abortion_position,1.0,high,binary,rule_mapped,5,4,do you generally support pro-choice or pro-life legislation?,abortion_reproductive
2014.0,Abortion & Reproductive Issues:,,b) Should abortions be illegal after the first trimester of pregnancy?,abortion_after_first_trimester_ban,abortion_position,1.0,medium,binary,rule_mapped,5,4,should abortions be illegal after the first trimester of pregnancy?,abortion_reproductive
2014.0,Abortion & Reproductive Issues:,,c) Should abortion be legal when the pregnancy resulted from incest or rape?,abortion_rape_incest_exception,abortion_position,-1.0,medium,binary,rule_mapped,5,4,should abortion be legal when the pregnancy resulted from incest or rape?,abortion_reproductive
2014.0,Abortion & Reproductive Issues:,,d) Should abortion be legal when the life of the woman is endangered?,abortion_life_exception,abortion_position,-1.0,medium,binary,rule_mapped,5,4,should abortion be legal when the life of the woman is endangered?,abortion_reproductive
2014.0,Abortion & Reproductive Issues:,,e) Do you support requiring parental notification before an abortion is performed on a minor?,abortion_parental_notification,abortion_position,1.0,high,binary,rule_mapped,5,4,do you support requiring parental notification before an abortion is performed on a minor?,abortion_reproductive
2014.0,Abortion & Reproductive Issues:,,f) Do you support requiring parental consent before an abortion is performed on a minor?,abortion_parental_consent,abortion_position,1.0,high,binary,rule_mapped,5,4,do you support requiring parental consent before an abortion is performed on a minor?,abortion_reproductive
2014.0,Abortion & Reproductive Issues:,,g) Do you support the prohibition of public funds for abortion procedures?,abortion_public_funding_prohibition,abortion_position,1.0,high,binary,rule_mapped,5,4,do you support the prohibition of public funds for abortion procedures?,abortion_reproductive
2014.0,Abortion & Reproductive Issues:,,h) Do you support the prohibition of public funds for organizations that perform abortions?,abortion_public_funding_prohibition,abortion_position,1.0,high,binary,rule_mapped,5,4,do you support the prohibition of public funds for organizations that perform abortions?,abortion_reproductive
2014.0,Abortion & Reproductive Issues:,,i) Other or expanded principles:,,,,,,unmapped,2,0,other or expanded principles:,abortion_reproductive
2014.0,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",a) Education (higher),spending_higher_education,education_position,-1.0,high,ordinal,rule_mapped,5,5,education (higher),fiscal_tax_budget
2014.0,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",b) Education (K-12),spending_k12_education,education_position,-1.0,high,ordinal,rule_mapped,5,5,education (k-12),fiscal_tax_budget
2014.0,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",c) Environment,spending_environment,environment_position,-1.0,high,ordinal,rule_mapped,5,5,environment,fiscal_tax_budget
2014.0,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",d) Health care,spending_healthcare,healthcare_position,-1.0,high,ordinal,rule_mapped,5,5,health care,fiscal_tax_budget
2014.0,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",e) Law enforcement/corrections,,,,,,unmapped,5,5,law enforcement/corrections,fiscal_tax_budget
2014.0,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",f) Transportation/infrastructure,,,,,,unmapped,5,5,transportation/infrastructure,fiscal_tax_budget
2014.0,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",g) Welfare,spending_welfare,economic_ideology,-1.0,high,ordinal,rule_mapped,5,5,welfare,fiscal_tax_budget
2014.0,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",a) Alcohol taxes,tax_alcohol,economic_ideology,-1.0,medium,ordinal,rule_mapped,5,5,alcohol taxes,fiscal_tax_budget
2014.0,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",b) Cigarette taxes,tax_cigarette,economic_ideology,-1.0,medium,ordinal,rule_mapped,5,5,cigarette taxes,fiscal_tax_budget
2014.0,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",c) Corporate taxes,tax_corporate,economic_ideology,-1.0,high,ordinal,rule_mapped,5,5,corporate taxes,fiscal_tax_budget
2014.0,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",d) Gas/Oil taxes,,,,,,unmapped,5,5,gas/oil taxes,fiscal_tax_budget
2014.0,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",e) Property taxes,tax_property,economic_ideology,-1.0,medium,ordinal,rule_mapped,5,5,property taxes,fiscal_tax_budget
2014.0,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",f) Sales taxes,tax_sales,economic_ideology,-1.0,medium,ordinal,rule_mapped,5,5,sales taxes,fiscal_tax_budget
2014.0,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",g) Income taxes (low-income families),tax_income_low_family,economic_ideology,-1.0,high,ordinal,rule_mapped,5,5,income taxes (low-income families),fiscal_tax_budget
2014.0,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",h) Income taxes (mid-income families),,,,,,unmapped,5,5,income taxes (mid-income families),fiscal_tax_budget
2014.0,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",i) Income taxes (high-income families),tax_income_high_family,economic_ideology,-1.0,high,ordinal,rule_mapped,5,5,income taxes (high-income families),fiscal_tax_budget
2014.0,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",j) Other or expanded principles:,,,,,,unmapped,4,0,other or expanded principles:,fiscal_tax_budget
2014.0,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.","a) Tapping into Alabama's ""rainy day"" fund",budget_rainy_day,position_only,,high,binary,position_only,5,5,"tapping into alabama's ""rainy day"" fund",fiscal_tax_budget
2014.0,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",b) Increasing tuition rates at public universities,economic_public_university_tuition_increase,economic_ideology,1.0,medium,binary,rule_mapped,5,5,increasing tuition rates at public universities,fiscal_tax_budget
2014.0,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",c) Reducing or eliminating public worker collective bargaining,labor_collective_bargaining,labor_position,-1.0,high,binary,rule_mapped,5,5,reducing or eliminating public worker collective bargaining,fiscal_tax_budget
2014.0,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",d) Reducing state employee salaries AND/OR pensions,,,,,,unmapped,5,5,reducing state employee salaries and/or pensions,fiscal_tax_budget
2014.0,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",e) Instituting mandatory furloughs AND/OR layoffs for state employees,,,,,,unmapped,5,5,instituting mandatory furloughs and/or layoffs for state employees,fiscal_tax_budget
2014.0,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",f) Reducing benefits for Medicaid recipients,economic_medicaid_benefit_reduction,economic_ideology,1.0,high,binary,rule_mapped,5,5,reducing benefits for medicaid recipients,fiscal_tax_budget
2014.0,Campaign Finance & Government Reform Issues:,a) Do you support limits on the following types of contributions for state candidates?,1) Individual,campaign_contribution_limits_individual,position_only,,high,binary,position_only,5,5,individual,campaign_elections_government
2014.0,Campaign Finance & Government Reform Issues:,a) Do you support limits on the following types of contributions for state candidates?,2) Political Action Committee,,,,,,unmapped,5,5,political action committee,campaign_elections_government
2014.0,Campaign Finance & Government Reform Issues:,a) Do you support limits on the following types of contributions for state candidates?,3) Corporate,campaign_contribution_limits_corporate,position_only,,high,binary,position_only,5,5,corporate,campaign_elections_government
2014.0,Campaign Finance & Government Reform Issues:,a) Do you support limits on the following types of contributions for state candidates?,4) Political Party,,,,,,unmapped,5,5,political party,campaign_elections_government
2014.0,Campaign Finance & Government Reform Issues:,a) Do you support limits on the following types of contributions for state candidates?,b) Should candidates for state office be encouraged to meet voluntary spending limits?,,,,,,unmapped,5,5,should candidates for state office be encouraged to meet voluntary spending limits?,campaign_elections_government
2014.0,Campaign Finance & Government Reform Issues:,a) Do you support limits on the following types of contributions for state candidates?,c) Do you support requiring full and timely disclosure of campaign finance information?,campaign_finance_disclosure,position_only,,high,binary,position_only,5,5,do you support requiring full and timely disclosure of campaign finance information?,campaign_elections_government
2014.0,Campaign Finance & Government Reform Issues:,a) Do you support limits on the following types of contributions for state candidates?,d) Do you support the use of an independent AND/OR bipartisan commission for redistricting?,,,,,,unmapped,5,5,do you support the use of an independent and/or bipartisan commission for redistricting?,campaign_elections_government
2014.0,Campaign Finance & Government Reform Issues:,a) Do you support limits on the following types of contributions for state candidates?,e) Do you support requiring a government-issued photo identification in order to vote at the polls?,elections_photo_id,government_reform_position,1.0,high,binary,rule_mapped,5,5,do you support requiring a government-issued photo identification in order to vote at the polls?,campaign_elections_government
2014.0,Crime & Public Safety Issues:,,a) Do you support capital punishment for certain crimes?,crime_death_penalty,criminal_justice_position,1.0,high,binary,rule_mapped,5,5,do you support capital punishment for certain crimes?,criminal_justice
