ontology_version,review_id,election_year,section,question,option_text,candidate_count,initial_models_agree,escalated,initial_effect_signature,human_review_required
2.0.1,00E29D9275119611,2014,Education Issues:,,a) Do you support the national Common Core State Standards initiative?,3,False,True,,True
2.0.1,02D41D0EE82A0C47,2018,Campaign Finance & Government Reform Issues:,,c) Do you support the use of an independent AND/OR bipartisan commission for redistricting?,18,False,True,,True
2.0.1,086F985BEC634E5D,2002,Employment and Affirmative Action Issues,"Employment: Indicate which principles you support (if any) concerning employment.Affirmative Action: Should race, ethnicity or gender be taken into account in state agencies' decisions on:",d) Provide tax credits for businesses that provide child care for their employees.,31,False,True,,True
2.0.1,09F1B16E2750CB09,1998,Abortion,Indicate which principles you support (if any) concerning abortion.,"h) Support ""buffer zones"" by requiring demonstrators to stay at least 15 feet away from abortion clinic doorways and driveways.",19,False,True,,True
2.0.1,0A7E855D50CFD5BB,2010,Campaign Finance and Government Reform Issues,c) Do you support limits on the following types of contributions to candidates for state government?,b) Do you support limits on the number of terms for Alabama state legislators?,20,False,True,,True
2.0.1,1157CF820E036BA6,2010,Crime and Public Safety Issues,,e) Should a minor accused of a violent crime be prosecuted as an adult?,19,False,True,,True
2.0.1,12E4E8D5CD254CBA,2010,Campaign Finance and Government Reform Issues,c) Do you support limits on the following types of contributions to candidates for state government?,a) Do you support limits on the number of terms for Alabama governors?,21,False,True,,True
2.0.1,13FD10F7D2EA7EDF,2006,Environment & Energy Issues,Indicate which principles you support (if any) regarding the environment and energy.,e) Support funding for open space preservation.,19,False,True,,True
2.0.1,180C8F52DAB2611C,2002,Crime Issues,Indicate which principles you support (if any) to address crime.,n) Increase state funding for additional security of critical infrastructure against terrorist attacks.,26,False,True,,True
2.0.1,18ABEFFD72C25EB3,2010,Health Issues,,c) Do you support interstate health insurance compacts?,19,False,True,,True
2.0.1,1DB016295DEA536F,2014,Health Issues:,,"a) Do you support a universally-accessible, publicly-administered health insurance option?",4,False,True,,True
2.0.1,1E3ECB4021F8516D,2002,Health Issues,Indicate which principles you support (if any) regarding health issues.,h) Increase state funding for training health workers to recognize and respond to the release of biological agents.,20,False,True,,True
2.0.1,22956EAC23197458,2010,Education Issues,,a) Do you support national education standards?,19,False,True,,True
2.0.1,2394598F9C037D8B,2006,Environment & Energy Issues,Indicate which principles you support (if any) regarding the environment and energy.,"c) Use state funds to clean up former industrial and commercial sites that are contaminated, unused, or abandoned.",15,False,True,,True
2.0.1,247810B71479C610,2010,Economic Issues,,e) Do you support increased spending on infrastructure projects for the purpose of job creation?,21,False,True,,True
2.0.1,271781AA3B5B00AD,2010,Campaign Finance and Government Reform Issues,c) Do you support limits on the following types of contributions to candidates for state government?,f) Should the Alabama Ethics Commission have the power of subpoena?,21,False,True,,True
2.0.1,2B0E533AEFC60615,1998,Welfare,Indicate which principles you support (if any) regarding welfare.,"g) Allow welfare recipients to remain eligible for benefits while saving money for education, starting a business, or buying a home.",17,False,True,,True
2.0.1,2B2DA101C222848F,2006,Crime Issues,Indicate which principles you support (if any) regarding crime.,n) Criminalize the employment of an undocumented immigrant in Alabama.,24,False,True,,True
2.0.1,2DC8998598026774,2006,Environment & Energy Issues,Indicate which principles you support (if any) regarding the environment and energy.,d) Increase funding for improvements to Alabama's power generating and transmission facilities.,13,False,True,,True
2.0.1,2E2B3DDA33D38BE7,2018,"Budget, Spending, & Tax Issues:",1) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.,a) Reducing state employee salaries AND/OR pensions?,17,False,True,,True
2.0.1,2F08B4F9818E6D93,2006,Crime Issues,Indicate which principles you support (if any) regarding crime.,f) Decriminalize the possession of small amounts of marijuana.,10,False,True,,True
2.0.1,308441A9ED2DA09A,2014,Health Issues:,,e) Do you support requiring individuals to purchase health care insurance?,3,True,True,"[[""welfare_policy"", ""restriction""]]",True
2.0.1,322CA7D48D04601A,2002,Welfare and Poverty Issues,Indicate which principles you support (if any) regarding welfare.,f) Eliminate government-funded welfare programs.,4,False,True,,True
2.0.1,368D7BAA6EFC1AA6,2002,Educational Issues,Indicate which principles you support (if any) regarding education.,l) Support a constitutional amendment giving communities control over local school funding and standards.,19,False,True,,True
2.0.1,36D1F14014E5B45B,2010,Environment and Energy Issues,,c) Do you support providing financial incentives to farms that produce biofuel crops?,20,False,True,,True
2.0.1,37789D41D1E3635D,2014,Campaign Finance & Government Reform Issues:,a) Do you support limits on the following types of contributions for state candidates?,2) Political Action Committee,4,False,True,,True
2.0.1,3BCAB0D1F59A2F3C,2014,Health Issues:,,c) Do you support interstate health insurance compacts?,4,False,True,,True
2.0.1,3DF013D73F0D40C0,2002,Crime Issues,Indicate which principles you support (if any) to address crime.,b) Support contracting with private sector firms to build and/or manage state prisons.,16,False,True,,True
2.0.1,3E200B09DAF92379,2014,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",e) Instituting mandatory furloughs AND/OR layoffs for state employees,4,False,True,,True
2.0.1,3FEF986C9A21BBA1,2006,Environment & Energy Issues,Indicate which principles you support (if any) regarding the environment and energy.,f) Enact environmental regulations even if they are stricter than federal law.,14,False,True,,True
2.0.1,40F0CB680D808788,2010,Health Issues,,b) Do you support expanding access to health care through commercial health insurance reform?,20,False,True,,True
2.0.1,42C5D23EEB4415CF,2006,Welfare and Poverty Issues,Indicate which principles you support (if any) regarding welfare.,g) Eliminate government-funded welfare programs.,4,False,True,,True
2.0.1,43626A90BE2A35E9,2010,Crime and Public Safety Issues,,d) Do you support increasing penalties for illegal cockfighting?,20,False,True,,True
2.0.1,4389BFFBF6BF5237,2010,Social Issues,,e) Do you support the state's use of affirmative action?,21,False,True,,True
2.0.1,4414F58653B9CA9C,2010,"Budget, Spending, and Tax Issues",1) State SpendingIndicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State TaxesIndicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget StabilizationIndicate which proposals you support (if any) for balancing Alabama's budget.,b) Regulating and taxing gaming proceeds,20,False,True,,True
2.0.1,504E31D8A695D80A,2018,Health Issues:,,c) Do you support requiring individuals to purchase health care insurance?,16,False,True,,True
2.0.1,535CB79330B5241C,1998,Health Issues,Indicate which principles you support (if any) regarding health issues.,e) Use state funds to continue some Medicaid coverage for legal immigrants.,13,False,True,,True
2.0.1,53A6A5F7E512C9BD,2018,Social Issues:,,c) Do you support greater efforts by Alabama state government in closing the pay gap between men and women?,19,False,True,,True
2.0.1,550A97458B9F11A9,2018,Education Issues:,,d) Do you support increasing funding for the state education budget?,19,False,True,,True
2.0.1,57E513C620CA44A1,1998,Welfare,Indicate which principles you support (if any) regarding welfare.,i) Eliminate government-funded welfare programs.,10,True,True,"[[""welfare_policy"", ""restriction""]]",True
2.0.1,599EFED63AC23D0D,2010,Campaign Finance and Government Reform Issues,c) Do you support limits on the following types of contributions to candidates for state government?,d) Should candidates for state office be encouraged to meet voluntary spending limits?,21,False,True,,True
2.0.1,5B2149A1C60F5703,1998,Health Issues,Indicate which principles you support (if any) regarding health issues.,d) Transfer more existing Medicaid recipients into managed care programs.,12,False,True,,True
2.0.1,603FD902D633DD46,2014,Environment & Energy Issues:,,"b) Do you support state funding for the development of traditional domestic energy sources (e.g. coal, natural gas, oil)?",4,False,True,,True
2.0.1,6132F9FB6E2EA24E,1998,Crime,Indicate which principles you support (if any) to address crime.,b) Support contracting with private sector firms to build and/or manage state prisons.,16,False,True,,True
2.0.1,63383E8D3ECED2DE,1998,Welfare,Indicate which principles you support (if any) regarding welfare.,d) Provide tax incentives to businesses that hire welfare recipients.,47,False,True,,True
2.0.1,644206883C74EA1A,2002,Crime Issues,Indicate which principles you support (if any) to address crime.,l) Ban the use of racial profiling by law enforcement officers.,18,False,True,,True
2.0.1,652DFD9FD6D61608,2014,Economic Issues:,,d) Do you support providing financial incentives to the private sector for the purpose of job creation?,4,False,True,,True
2.0.1,675D5E71D85475BC,2010,"Budget, Spending, and Tax Issues",1) State SpendingIndicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State TaxesIndicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget StabilizationIndicate which proposals you support (if any) for balancing Alabama's budget.,e) Instituting mandatory furloughs and layoffs for state employees,19,False,True,,True
2.0.1,67A1A9458B0C5345,2002,Welfare and Poverty Issues,Indicate which principles you support (if any) regarding welfare.,c) Provide tax incentives to businesses that hire welfare recipients.,29,False,True,,True
2.0.1,680B83C545612D27,2010,Environment and Energy Issues,,d) Do you support state funding for improvements to Alabama's energy infrastructure?,18,False,True,,True
2.0.1,69FBB4116F95F5A5,1998,Crime,Indicate which principles you support (if any) to address crime.,i) Decriminalize the use of marijuana for medicinal purposes.,6,False,True,,True
2.0.1,6E103B2BADA84DB2,2014,Environment & Energy Issues:,,c) Do you support state funding for improvements to Alabama's energy infrastructure?,4,False,True,,True
2.0.1,6E8C2C3510B78831,2006,Health Issues,Indicate which principles you support (if any) regarding health.,c) Limit the amount of punitive damages that can be awarded in medical malpractice lawsuits.,18,False,True,,True
2.0.1,6F2F07CB8ACCADC4,2006,Crime Issues,Indicate which principles you support (if any) regarding crime.,k) Increase state funding for state and local emergency agencies to prevent or respond to terrorism.,23,False,True,,True
2.0.1,7316C27BE82BA07E,2002,Crime Issues,Indicate which principles you support (if any) to address crime.,"k) Require that crimes based on gender, sexual orientation or disability be prosecuted as hate crimes.",11,False,True,,True
2.0.1,767A9519A76D2C79,2014,Health Issues:,,d) Do you support Medicaid expansion under the Affordable Care Act?,4,False,True,,True
2.0.1,769166C67EE826C8,2010,Crime and Public Safety Issues,,f) Should a minor who sends sexually-explicit or nude photos by cell phone face criminal charges?,20,False,True,,True
2.0.1,79788219C2D42312,2014,Gun Issues:,,c) Should citizens be allowed to carry concealed guns?,3,False,True,,True
2.0.1,7C88115BF8597BFE,2014,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",h) Income taxes (mid-income families),4,False,True,,True
2.0.1,7D3BFAF4AB67E2B6,2014,Crime & Public Safety Issues:,,f) Do you support the enforcement of federal immigration laws by state and local police?,3,False,True,,True
2.0.1,7EB52696081DFCF1,2010,Campaign Finance and Government Reform Issues,c) Do you support limits on the following types of contributions to candidates for state government?,2) Political Action Committee,21,False,True,,True
2.0.1,7F56AA668C1DD545,2014,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",e) Law enforcement/corrections,4,False,True,,True
2.0.1,7FE6E08148272D4E,2014,"Budget, Spending, & Tax Issues:","1) State Spending:Using the key, indicate what state funding levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.2) State Taxes:Using the key, indicate what state tax levels (#1-6) you support for the following general categories. Select one level per category; you may use a number more than once.3) Budget Stabilization:Indicate which proposals you support (if any) for balancing Alabama's budget.",d) Reducing state employee salaries AND/OR pensions,4,False,True,,True
2.0.1,850172B3EBD601E2,1998,Economy and Employment,Indicate which principles you support (if any) concerning the economy and employment.,e) Provide increased funding for agricultural and forestry research.,43,False,True,,True
