group_id,normalized_option,representative_section,representative_question,representative_option_text,item_count,years,selected_response_count,candidate_count_sum
B53B7CCFCF746470,provide tax credits for businesses that provide child care for their employees.,Social Issues,Indicate which principles you support (if any) regarding social issues.,b) Provide tax credits for businesses that provide child care for their employees.,2,1998.0;2002.0,91,136
1BACBFEAD1E1FBD8,provide tax incentives to businesses that hire welfare recipients.,Welfare,Indicate which principles you support (if any) regarding welfare.,d) Provide tax incentives to businesses that hire welfare recipients.,2,1998.0;2002.0,83,136
3863E155F2AE9C89,provide tax incentives to small businesses that provide health care to their employees.,Health Issues,Indicate which principles you support (if any) regarding health issues.,a) Provide tax incentives to small businesses that provide health care to their employees.,2,1998.0;2000.0,60,75
7560FE4980AE4AB6,deny or suspend state-issued permits and licenses to parents who are delinquent in paying court-ordered child support.,Social Issues,Indicate which principles you support (if any) regarding social issues.,d) Deny or suspend state-issued permits and licenses to parents who are delinquent in paying court-ordered child support.,1,1998.0,53,74
1FC74A1B68F899F6,do you support the inclusion of sexual orientation in alabama's anti-discrimination laws?,Social Issues,,f) Do you support the inclusion of sexual orientation in Alabama's anti-discrimination laws?,5,2010.0;2014.0;2018.0;2022.0;nan,52,56
E9A927D1C962C4CD,do you support the inclusion of gender identity in alabama's anti-discrimination laws?,Social Issues,,g) Do you support the inclusion of gender identity in Alabama's anti-discrimination laws?,5,2010.0;2014.0;2018.0;2022.0;nan,50,56
8231A3647F2408C3,do you support the enforcement of federal immigration laws by state and local police?,Crime and Public Safety Issues,,g) Do you support the enforcement of federal immigration laws by state and local police?,5,2010.0;2014.0;2018.0;2022.0;nan,49,56
DBC2BE2449D3C1B6,support state-funded merit scholarships for alabama students to attend college in alabama.,Education,Indicate which principles you support (if any) regarding education.,j) Support state-funded merit scholarships for Alabama students to attend college in Alabama.,1,1998.0,48,74
DAB7B121DB77844F,provide increased funding for agricultural and forestry research.,Economy and Employment,Indicate which principles you support (if any) concerning the economy and employment.,e) Provide increased funding for agricultural and forestry research.,1,1998.0,46,74
0BA9898E4F8BE7A1,support contracting with private sector firms to build and/or manage state prisons.,Crime Issues,Indicate which principles you support (if any) to address crime.,b) Support contracting with private sector firms to build and/or manage state prisons.,2,1998.0;2002.0,44,136
280BE146CCC8D0AD,should a minor accused of a violent crime be prosecuted as an adult?,Crime and Public Safety Issues,,e) Should a minor accused of a violent crime be prosecuted as an adult?,4,2010.0;2014.0;2018.0;nan,41,50
40CDA2B3D460F7AF,emergency preparedness,Budget and Tax Issues,State Budget: Indicate the funding levels (#1-6) you will support for the following general categories. Select one level per category.State Taxes: Indicate the tax levels (#1-6) you will support. Select one level per tax.,c) Emergency preparedness,1,2006.0,39,42
D3A659F9906FA181,should fee increases be used to balance the state budget?,Budget and Tax Issues,State Budget: Indicate the funding levels (#1-6) you will support for the following general categories. Select one level per category.State Taxes: Indicate the tax levels (#1-6) you will support. Select one level per tax.,n) Should fee increases be used to balance the state budget?,1,2006.0,39,42
CD32E257835C5EE4,eliminate government-funded welfare programs.,Welfare,Indicate which principles you support (if any) regarding welfare.,i) Eliminate government-funded welfare programs.,3,1998.0;2002.0;2006.0,36,178
4674F9A6B7BF4593,redirect welfare funding to faith-based and community-based private organizations.,Welfare and Poverty Issues,Indicate which principles you support (if any) regarding welfare.,g) Redirect welfare funding to faith-based and community-based private organizations.,2,2002.0;2006.0,31,104
89DB92B923C9038A,decriminalize the use of marijuana for medicinal purposes.,Crime Issues,Indicate which principles you support (if any) to address crime.,g) Decriminalize the use of marijuana for medicinal purposes.,3,1998.0;2000.0;2002.0,30,137
2A4EE550D27BA09C,support the lower .08 blood-alcohol-content limit defining drunk driving.,Crime Issues,Indicate which principles you support (if any) to address crime.,i) Support the lower .08 blood-alcohol-content limit defining drunk driving.,1,2002.0,30,62
586D6FBC4623BA7F,political action committee,Campaign Finance and Government Reform Issues,c) Do you support limits on the following types of contributions to candidates for state government?,2) Political Action Committee,3,2010.0;2014.0;nan,29,30
D87E4EB913899959,political party,Campaign Finance and Government Reform Issues,c) Do you support limits on the following types of contributions to candidates for state government?,4) Political Party,3,2010.0;2014.0;nan,29,30
7870C7A4CCCACD4B,should candidates for state office be encouraged to meet voluntary spending limits?,Campaign Finance and Government Reform Issues,c) Do you support limits on the following types of contributions to candidates for state government?,d) Should candidates for state office be encouraged to meet voluntary spending limits?,3,2010.0;2014.0;nan,29,30
9F8C3EF1A6DB5775,"do you support alternatives to incarceration for certain non-violent offenders, such as mandatory counseling or substance abuse treatment?",Crime and Public Safety Issues,,"b) Do you support alternatives to incarceration for certain non-violent offenders, such as mandatory counseling or substance abuse treatment?",3,2010.0;2014.0;nan,29,30
5F41B8E8B52AEE5D,do you support providing financial incentives to the private sector for the purpose of job creation?,Economic Issues,,d) Do you support providing financial incentives to the private sector for the purpose of job creation?,3,2010.0;2014.0;nan,29,30
D74176E7AE0FEFA8,should illegal immigrants who graduate from alabama high schools be eligible for in-state tuition at public universities?,Education Issues,,f) Should illegal immigrants who graduate from Alabama high schools be eligible for in-state tuition at public universities?,3,2010.0;2014.0;nan,29,30
DCA225C991908177,do you support allowing doctors to prescribe marijuana to their patients for medicinal purposes?,Health Issues,,g) Do you support allowing doctors to prescribe marijuana to their patients for medicinal purposes?,3,2010.0;2014.0;nan,29,30
46BC828449A20BB1,restructure the electric utility industry to allow consumers to choose their power company.,Environment & Energy,Indicate which principles you support (if any) regarding the environment and energy.,h) Restructure the electric utility industry to allow consumers to choose their power company.,1,1998.0,29,74
B85892520B3B1096,do you support the state government providing college students with financial aid?,Education Issues,,e) Do you support the state government providing college students with financial aid?,3,2010.0;2014.0;nan,28,30
8E67A5CE777C2C9C,do you support state funding for the development of alternative energy?,Environment and Energy Issues,,a) Do you support state funding for the development of alternative energy?,3,2010.0;2014.0;nan,28,30
EC40EFCC07B0AC2A,"do you support state funding for the development of traditional domestic energy sources (e.g. coal, natural gas, oil)?",Environment and Energy Issues,,"b) Do you support state funding for the development of traditional domestic energy sources (e.g. coal, natural gas, oil)?",3,2010.0;2014.0;nan,28,30
49382D23E36A55DF,"do you support a universally-accessible, publicly-administered health insurance option?",Health Issues,,"a) Do you support a universally-accessible, publicly-administered health insurance option?",3,2010.0;2014.0;nan,28,30
