ontology_version,review_id,election_year,option_text,primary_domain,policy_key,response_mode,adjudication_authority,axis,pole,strength,rationale
2.0.1,00E29D9275119611,2014,a) Do you support the national Common Core State Standards initiative?,education,,,model_consensus_provisional,market_governance,intervention,secondary,secondary
2.0.1,00E29D9275119611,2014,a) Do you support the national Common Core State Standards initiative?,education,,,model_consensus_provisional,welfare_policy,restriction,secondary,secondary
2.0.1,00E29D9275119611,2014,a) Do you support the national Common Core State Standards initiative?,education,,,model_consensus_provisional,education_governance,public_system,primary,"The Common Core State Standards initiative is implemented through a public system of education standards, indicating that the policy mechanism prioritizes public provision over market choice."
2.0.1,02D41D0EE82A0C47,2018,c) Do you support the use of an independent AND/OR bipartisan commission for redistricting?,government_reform,,,model_consensus_provisional,market_governance,intervention,secondary,secondary
2.0.1,02D41D0EE82A0C47,2018,c) Do you support the use of an independent AND/OR bipartisan commission for redistricting?,government_reform,,,model_consensus_provisional,childcare_delivery,employer_incentive,secondary,"The policy option suggests supporting the use of an independent and/or bipartisan commission for redistricting. However, this does not directly relate to childcare delivery mechanisms."
2.0.1,0A7E855D50CFD5BB,2010,b) Do you support limits on the number of terms for Alabama state legislators?,business,,,model_consensus_provisional,welfare_policy,restriction,secondary,This policy directly limits the number of terms for state legislators. This is a restriction on the amount of time that individuals can hold office.
2.0.1,1157CF820E036BA6,2010,e) Should a minor accused of a violent crime be prosecuted as an adult?,criminal_justice,,,model_consensus_provisional,welfare_policy,restriction,secondary,The policy is a restriction on the use of discretion in criminal justice.
2.0.1,1157CF820E036BA6,2010,e) Should a minor accused of a violent crime be prosecuted as an adult?,criminal_justice,,,model_consensus_provisional,criminal_punishment,punitive,secondary,The policy suggests a punitive approach to criminal punishment for minors accused of violent crimes.
2.0.1,12E4E8D5CD254CBA,2010,a) Do you support limits on the number of terms for Alabama governors?,business,,,model_consensus_provisional,welfare_policy,restriction,secondary,limits on the number of terms for state government officials could be seen as a restriction on the amount of time that individuals can hold office.
2.0.1,12E4E8D5CD254CBA,2010,a) Do you support limits on the number of terms for Alabama governors?,business,,,model_consensus_provisional,business_scale_alignment,small_business,primary,limits on the number of terms for state government officials could be seen as a restriction on the amount of time that individuals can hold office.
2.0.1,13FD10F7D2EA7EDF,2006,e) Support funding for open space preservation.,environment,,,model_consensus_provisional,conservation_preservation,preserve,secondary,The policy explicitly supports preserving existing open spaces.
2.0.1,180C8F52DAB2611C,2002,n) Increase state funding for additional security of critical infrastructure against terrorist attacks.,business,,,model_consensus_provisional,market_governance,intervention,secondary,secundary
2.0.1,180C8F52DAB2611C,2002,n) Increase state funding for additional security of critical infrastructure against terrorist attacks.,business,,,model_consensus_provisional,welfare_policy,expansion,secondary,"By increasing funding for critical infrastructure security against terrorist attacks, the policy aims to expand welfare by ensuring public safety and stability."
2.0.1,18ABEFFD72C25EB3,2010,c) Do you support interstate health insurance compacts?,healthcare,,,model_consensus_provisional,welfare_policy,expansion,primary,Focused Ministral pole adjudication
2.0.1,1DB016295DEA536F,2014,"a) Do you support a universally-accessible, publicly-administered health insurance option?",welfare,,,model_consensus_provisional,welfare_policy,expansion,secondary,secondary
2.0.1,1E3ECB4021F8516D,2002,h) Increase state funding for training health workers to recognize and respond to the release of biological agents.,healthcare,,,model_consensus_provisional,welfare_policy,expansion,secondary,Expansion of public health services is a common policy goal.
2.0.1,1E3ECB4021F8516D,2002,h) Increase state funding for training health workers to recognize and respond to the release of biological agents.,healthcare,,,model_consensus_provisional,business_scale_alignment,small_business,secondary,This option could be seen as favoring small businesses by increasing the capacity of public health services to respond to potential threats.
2.0.1,22956EAC23197458,2010,a) Do you support national education standards?,education,,,model_consensus_provisional,welfare_policy,restriction,secondary,The question is about the support of national education standards. This implies a restriction on local control over education policy.
2.0.1,22956EAC23197458,2010,a) Do you support national education standards?,education,,,model_consensus_provisional,market_governance,intervention,secondary,National education standards imply some level of government intervention in the educational system.
2.0.1,22956EAC23197458,2010,a) Do you support national education standards?,education,,,model_consensus_provisional,education_governance,public_system,primary,Supporting national education standards suggests a preference for public governance over market choice in education.
2.0.1,2394598F9C037D8B,2006,"c) Use state funds to clean up former industrial and commercial sites that are contaminated, unused, or abandoned.",environment,,,model_consensus_provisional,environmental_protection,strengthen,secondary,The policy directly addresses environmental contamination and resource management.
2.0.1,2394598F9C037D8B,2006,"c) Use state funds to clean up former industrial and commercial sites that are contaminated, unused, or abandoned.",environment,,,model_consensus_provisional,conservation_preservation,preserve,primary,The policy aims to prevent further environmental damage by cleaning up abandoned sites.
2.0.1,2394598F9C037D8B,2006,"c) Use state funds to clean up former industrial and commercial sites that are contaminated, unused, or abandoned.",environment,,,model_consensus_provisional,market_governance,intervention,primary,"The policy involves state funds and direct action to clean up sites, indicating a high level of government intervention."
2.0.1,247810B71479C610,2010,e) Do you support increased spending on infrastructure projects for the purpose of job creation?,economy,,,model_consensus_provisional,welfare_policy,expansion,secondary,economic growth
2.0.1,247810B71479C610,2010,e) Do you support increased spending on infrastructure projects for the purpose of job creation?,economy,,,model_consensus_provisional,business_scale_alignment,large_business,primary,job creation
2.0.1,271781AA3B5B00AD,2010,f) Should the Alabama Ethics Commission have the power of subpoena?,business,,,model_consensus_provisional,welfare_policy,restriction,secondary,The policy restricts the power of the Alabama Ethics Commission to subpoena. This is a form of intervention in campaign finance.
2.0.1,271781AA3B5B00AD,2010,f) Should the Alabama Ethics Commission have the power of subpoena?,business,,,model_consensus_provisional,market_governance,intervention,secondary,"The question is about campaign finance regulations, which fall under market governance."
