canonical_candidate_id,ideology_v3_environment_resources,ideology_v3_institutional_reform,ideology_v3_labor_capital,ideology_v3_market_government_direction,ideology_v3_material_support,ideology_v3_order_justice,ideology_v3_social_liberty_equality
AL-1998-house-1-D-STARKEY,,,,,0.8125,,-0.125
AL-1998-house-1-R-BEER,,,,,0.0,,-0.16666666666666666
AL-1998-house-10-R-HANEY,,,,,0.2,,-0.6
AL-1998-house-105-D-STRAUB,,,,,-0.125,,-0.23076923076923078
AL-1998-house-105-R-CRIGLER,,,,,0.6,,-0.2
AL-1998-house-11-D-WHITE,,,,,0.8571428571428571,,0.3333333333333333
AL-1998-house-11-R-ODEN,,,,,0.375,,-0.6666666666666666
AL-1998-house-12-D-MORRISON,,,,,0.8333333333333334,,-0.2727272727272727
AL-1998-house-13-D-HOGAN,,,,,0.8888888888888888,,-0.2222222222222222
AL-1998-house-14-R-WALLACE,,,,,0.35714285714285715,,-0.6363636363636364
AL-1998-house-16-R-WALDON,,,,,0.4375,,-0.06666666666666667
AL-1998-house-17-R-JOHNSON,,,,,-0.25,,-0.6
AL-1998-house-18-D-MORROW,,,,,0.4375,,0.0
AL-1998-house-2-R-TATUM,,,,,1.0,,-0.6
AL-1998-house-21-D-JONES,,,,,0.6428571428571429,,0.06666666666666667
AL-1998-house-21-R-CLEMONS,,,,,0.5714285714285714,,-0.2857142857142857
AL-1998-house-22-D-HALL,,,,,0.8571428571428571,,-0.3333333333333333
AL-1998-house-22-R-HOLLINGSWORTH,,,,,0.125,,-1.0
AL-1998-house-23-R-SHELTON,,,,,-0.5,,-0.5555555555555556
AL-1998-house-25-R-FINLEY,,,,,0.5,,-0.6363636363636364
AL-1998-house-26-R-JOHNSTON,,,,,0.0,,-0.5
AL-1998-house-27-D-MURPHREE,,,,,0.35714285714285715,,-0.38461538461538464
AL-1998-house-28-R-STEPHENS,,,,,,,0.1111111111111111
AL-1998-house-29-R-MALONE,,,,,0.6428571428571429,,-0.6363636363636364
AL-1998-house-3-R-SMALLWOOD,,,,,0.0,,-0.75
AL-1998-house-30-D-GALLIHER,,,,,0.5,,-0.45454545454545453
AL-1998-house-30-R-HOLLAND,,,,,-0.5,,-0.6363636363636364
AL-1998-house-31-D-VENABLE,,,,,0.7,,-0.42857142857142855
AL-1998-house-31-R-BOWEN,,,,,0.25,,-0.8
AL-1998-house-32-D-BOYD,,,,,0.6111111111111112,,0.8
AL-1998-house-38-R-INGRAM,,,,,0.5,,-0.6666666666666666
AL-1998-house-42-R-PARNELL,,,,,-0.8333333333333334,,-0.6363636363636364
AL-1998-house-49-D-BLAIR,,,,,0.75,,0.2727272727272727
AL-1998-house-51-R-HUMPHRYES,,,,,-0.5,,-0.5
AL-1998-house-55-R-MORTON,,,,,0.6428571428571429,,-0.23076923076923078
AL-1998-house-6-R-JORGENSEN,,,,,0.875,,-0.4
AL-1998-house-62-D-TINGLE,,,,,0.8125,,0.17647058823529413
AL-1998-house-63-D-STANLEY,,,,,0.6875,,0.2727272727272727
AL-1998-house-67-R-DOBYNES,,,,,0.875,,0.6
AL-1998-house-80-R-DUNN,,,,,0.0,,-0.6363636363636364
AL-1998-house-84-R-HORNE,,,,,0.7142857142857143,,-0.1111111111111111
AL-1998-house-86-D-CAROTHERS,,,,,0.8888888888888888,,0.0
AL-1998-house-87-D-MATHIS,,,,,0.8125,,0.0
AL-1998-house-87-R-SEIBENHENER,,,,,0.42857142857142855,,-0.25
AL-1998-house-89-D-BOOTHE,,,,,0.875,,0.0
AL-1998-house-89-R-MEEKS,,,,,-0.6666666666666666,,-0.7777777777777778
AL-1998-house-91-R-MOORE,,,,,0.6666666666666666,,-0.25
AL-1998-house-95-D-PFEIFER,,,,,0.7857142857142857,,0.4
AL-1998-house-95-R-MCMILLAN,,,,,0.6666666666666666,,-0.14285714285714285
AL-1998-senate-1-D-DENTON,,,,,0.7857142857142857,,0.45454545454545453
AL-1998-senate-10-R-SMITH,,,,,0.7857142857142857,,-0.14285714285714285
AL-1998-senate-12-R-MARSH,,,,,0.7857142857142857,,-0.06666666666666667
AL-1998-senate-13-D-DIAL,,,,,0.8571428571428571,,-0.16666666666666666
AL-1998-senate-13-R-BRANCH,,,,,-0.25,,-0.75
AL-1998-senate-14-D-ROBINSON,,,,,0.9285714285714286,,-0.125
AL-1998-senate-16-D-JOHNS,,,,,0.7857142857142857,,0.5
AL-1998-senate-2-R-MCINNISH,,,,,-0.25,,-0.8
