ontology_version,evidence_id,canonical_candidate_id,person_id,candidate_name,election_cycle,evidence_date,temporal_status,source_type,source_provider,source_record_id,source_url,item_id,policy_family,policy_key,primitive_axis,policy_pole,candidate_stance,position_value,response_mode,family,family_direction,family_contribution,constituency_tags_json,confidence,adjudication_authority,evidence_weight,source_text,raw_answer
3.0.0,110180FADAEF6EF54379,AL-2010-house-1-D-GREG-BURDINE,ALPERSON-GREG-BURDINE,GREG BURDINE,2010,2010-session-sponsorship,pre_or_same_cycle_legislative_action,bill_sponsorship,Alabama Legislature via LegiScan,sponsorship:416031,,75DF1C93BCC9CDBF3B0C,campaign_finance_restrictions,campaign_finance_restrictions_HB14,campaign_finance_restrictions,strengthen,support,1.0,sponsorship,,,,[],high,frontier_luna_sponsorship:exact_ontology_v3_pair,1.2,Sponsored HB14,sponsor
3.0.0,6A82E69E8BD35BEC595C,AL-2010-house-2-D-MIKE-CURTIS,ALPERSON-MIKE-CURTIS,MIKE CURTIS,2010,2010-session-sponsorship,pre_or_same_cycle_legislative_action,bill_sponsorship,Alabama Legislature via LegiScan,sponsorship:96987,,B74ABB86019E1F6CEDD0,public_employee_compensation,public_employee_compensation_HB747,public_employee_compensation,protect,support,1.0,sponsorship,,,,[],high,frontier_luna_sponsorship:exact_ontology_v3_pair,1.2,Sponsored HB747,sponsor
3.0.0,2CEE955D639B6266E4EF,AL-2010-house-2-D-MIKE-CURTIS,ALPERSON-MIKE-CURTIS,MIKE CURTIS,2010,2010-session-sponsorship,pre_or_same_cycle_legislative_action,bill_sponsorship,Alabama Legislature via LegiScan,sponsorship:96653,,133FE9BBB8736E27F107,drug_criminalization,drug_criminalization_HB413,drug_criminalization,criminalize,support,1.0,sponsorship,order_justice,1.0,1.0,[],high,frontier_luna_sponsorship:exact_ontology_v3_pair,1.2,Sponsored HB413,sponsor
3.0.0,29532707C60DDDDB5FA0,AL-2010-house-2-D-MIKE-CURTIS,ALPERSON-MIKE-CURTIS,MIKE CURTIS,2010,2010-session-sponsorship,pre_or_same_cycle_legislative_action,bill_sponsorship,Alabama Legislature via LegiScan,sponsorship:96697,,722D7E04E47CB88B11B9,market_governance,market_governance_HB457,market_governance,intervention,support,1.0,sponsorship,market_government_direction,1.0,1.0,[],medium,frontier_luna_sponsorship:exact_ontology_v3_pair,1.2,Sponsored HB457,sponsor
3.0.0,0A6986EB18EE90FC8AD0,AL-2010-house-2-D-MIKE-CURTIS,ALPERSON-MIKE-CURTIS,MIKE CURTIS,2010,2010-session-sponsorship,pre_or_same_cycle_legislative_action,bill_sponsorship,Alabama Legislature via LegiScan,sponsorship:97101,,C57E9CF574BC98A02A35,constitutional_reform,constitutional_reform_HJR54,constitutional_reform,reform,support,1.0,sponsorship,,,,[],high,frontier_luna_sponsorship:exact_ontology_v3_pair,1.2,Sponsored HJR54,sponsor
3.0.0,544B77114FF4FFE19C00,AL-2010-house-2-D-MIKE-CURTIS,ALPERSON-MIKE-CURTIS,MIKE CURTIS,2010,2010-session-sponsorship,pre_or_same_cycle_legislative_action,bill_sponsorship,Alabama Legislature via LegiScan,sponsorship:96608,,2B64A96AE6DCD6E1EF5E,criminal_punishment,criminal_punishment_HB368,criminal_punishment,punitive,support,1.0,sponsorship,order_justice,1.0,1.0,[],high,frontier_luna_sponsorship:exact_ontology_v3_pair,1.2,Sponsored HB368,sponsor
3.0.0,FCFB26F9C95F9AB0EDA9,AL-2010-house-2-D-MIKE-CURTIS,ALPERSON-MIKE-CURTIS,MIKE CURTIS,2010,2010-session-sponsorship,pre_or_same_cycle_legislative_action,bill_sponsorship,Alabama Legislature via LegiScan,sponsorship:96504,,890F14B6AE96906956CB,environmental_protection,environmental_protection_HB264,environmental_protection,strengthen,support,1.0,sponsorship,environment_resources,1.0,1.0,[],medium,frontier_luna_sponsorship:exact_ontology_v3_pair,1.2,Sponsored HB264,sponsor
3.0.0,1EBFB9D8C3F7EA78ADF9,AL-2010-house-2-D-MIKE-CURTIS,ALPERSON-MIKE-CURTIS,MIKE CURTIS,2010,2010-session-sponsorship,pre_or_same_cycle_legislative_action,bill_sponsorship,Alabama Legislature via LegiScan,sponsorship:96773,,7535C0218B4BBF2CAB71,public_employee_compensation,public_employee_compensation_HB533,public_employee_compensation,protect,support,1.0,sponsorship,,,,[],medium,frontier_luna_sponsorship:exact_ontology_v3_pair,1.2,Sponsored HB533,sponsor
3.0.0,6F36636DCDA0AB0297AB,AL-2010-house-2-D-MIKE-CURTIS,ALPERSON-MIKE-CURTIS,MIKE CURTIS,2010,2010-session-sponsorship,pre_or_same_cycle_legislative_action,bill_sponsorship,Alabama Legislature via LegiScan,sponsorship:96837,,0CF9ECB3CEF64A0BF08D,government_ethics_transparency,government_ethics_transparency_HB597,government_ethics_transparency,strengthen,support,1.0,sponsorship,institutional_reform,1.0,1.0,[],medium,frontier_luna_sponsorship:exact_ontology_v3_pair,1.2,Sponsored HB597,sponsor
3.0.0,7649169C5C48185D79DB,AL-2010-house-2-D-MIKE-CURTIS,ALPERSON-MIKE-CURTIS,MIKE CURTIS,2010,2010-session-sponsorship,pre_or_same_cycle_legislative_action,bill_sponsorship,Alabama Legislature via LegiScan,sponsorship:96579,,B89437CE03951CB86EBC,market_governance,market_governance_HB339,market_governance,intervention,support,1.0,sponsorship,market_government_direction,1.0,1.0,[],medium,frontier_luna_sponsorship:exact_ontology_v3_pair,1.2,Sponsored HB339,sponsor
