poll_id,pollster,sponsors,start_date,end_date,created_at,sample_size,population,internal,partisan,subject,dem_pct,rep_pct,dem_margin_raw,dem_margin_two_party,url
gen202cygjt8f4fjs,Cygnal,,2024-12-09,2024-12-11,2024-12-16,1500.0,lv,False,,2026,44.6,48.4,-3.799999999999997,-4.086021505376341,https://www.cygn.al/poll-musk-most-effective-trump-surrogate-as-voters-rally-behind-doge-deportations-and-congressional-republicans/
gen202mcl59zqj4xe,McLaughlin & Associates,,2024-12-11,2024-12-16,2024-12-19,1000.0,lv,False,,2026,42.0,47.0,-5.0,-5.617977528089888,https://mclaughlinonline.com/2024/12/18/ma-poll-national-monthly-december-2024/
gen202cygqnc6obu6,Cygnal,,2025-01-09,2025-01-12,2025-01-16,1500.0,lv,False,,2026,44.6,46.8,-2.1999999999999957,-2.4070021881838026,https://www.cygn.al/voters-back-kingmaker-trumps-policies-on-economy-energy-and-health/
gen202rmg4ozl7t6b,RMG Research,Napolitan Institute,2025-01-15,2025-01-16,2025-01-20,1000.0,rv,False,,2026,44.0,51.0,-7.0,-7.368421052631579,https://napolitannews.org/posts/generic-ballot-gop-51-percent-dem-44
gen202qua30mem0sb,Quantus Insights,TrendingPolitics,2025-01-22,2025-01-23,2025-01-25,1000.0,rv,False,REP,2026,45.0,48.0,-3.0,-3.225806451612903,https://quantusinsights.org/f/trump%E2%80%99s-second-term-begins-what-voters-think
gen202mcl60gh0sr5,McLaughlin & Associates,,2025-01-22,2025-01-27,2025-01-30,1000.0,lv,False,,2026,40.0,48.0,-8.0,-9.090909090909092,https://mclaughlinonline.com/pols/wp-content/uploads/2025/01/National-January-Presentation-RELEASE-01-28-25.pdf
gen202fabe2zwvj7q,"Fabrizio, Lee & Associates/Impact Research",AARP,2025-01-27,2025-02-01,2025-02-11,3000.0,rv,False,,2026,43.0,43.0,0.0,0.0,https://www.aarp.org/content/dam/aarp/research/topics/voter-opinion-research/politics/federal-tax-package-legislative-priorities.doi.10.26419-2fres.00921.001.pdf
gen202cyg5abgxlqw,Cygnal,,2025-02-04,2025-02-05,2025-02-12,1500.0,lv,False,,2026,46.2,47.2,-1.0,-1.070663811563169,https://www.cygn.al/poll-trump-winning-over-black-men-dei-skeptics-and-border-hawks-as-democrats-lose-ground/
gen202clamw35tq8u,Clarity Campaign Labs,,2025-01-31,2025-02-06,2025-02-11,1102.0,rv,False,,2026,45.0,44.0,1.0,1.1235955056179776,https://static1.squarespace.com/static/61ae8d5e55be5c7314b4c83a/t/67aa57a7976e415c4d212706/1739216809584/Clarity+Omnibus+Overview+-+Jan_Feb+2025.pdf
gen202quasdivo0qp,Quantus Insights,TrendingPolitics,2025-02-10,2025-02-12,2025-02-13,1000.0,rv,False,REP,2026,44.0,48.0,-4.0,-4.3478260869565215,https://quantusinsights.org/f/quantus-insights-latest-national-survey---february-13-2025
gen202ech0mh719m0,Echelon Insights,,2025-02-10,2025-02-13,2025-02-13,1010.0,lv,False,,2026,46.0,47.0,-1.0,-1.075268817204301,https://echeloninsights.com/in-the-news/feb-2025-verified-voter-omnibus-2-2/
gen202co/gegk2uur,co/efficient,,2025-02-15,2025-02-17,2025-02-26,2063.0,lv,False,REP,2026,44.0,46.0,-2.0,-2.2222222222222223,https://coefficient.org/doge-part-2/
gen202mcl17umhafe,McLaughlin & Associates,,2025-02-11,2025-02-18,2025-02-24,1000.0,lv,False,,2026,41.0,48.0,-7.0,-7.865168539325842,https://mclaughlinonline.com/pols/wp-content/uploads/2025/02/National-February-Presentation-RELEASE-02-18-25.pdf
gen202youkoep0g85,YouGov,The Economist,2025-02-16,2025-02-18,2025-02-24,1603.0,a,False,,2026,35.0,37.0,-2.0,-2.7777777777777777,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_KfNmvTk.pdf
gen202youxm9gp3wb,YouGov,The Economist,2025-02-16,2025-02-18,2025-02-24,1451.0,rv,False,,2026,42.0,41.0,1.0,1.2048192771084338,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_OFVhPxp.pdf
gen202rmgio02rlo0,RMG Research,Napolitan Institute,2025-02-20,2025-02-21,2025-02-26,1000.0,rv,False,,2026,46.0,48.0,-2.0,-2.127659574468085,https://x.com/ScottWRasmussen/status/1894720317291114920
genconpubv3i0h704,Public Opinion Strategies,Paragon Health Institute,2025-02-25,2025-03-02,2025-03-26,1000.0,rv,False,,2026,44.0,46.0,-2.0,-2.2222222222222223,https://paragoninstitute.org/medicaid/paragon-health-policy-survey-2025/
gen202eme3uzn57et,Emerson College,,2025-03-02,2025-03-03,2025-03-03,1000.0,rv,False,,2026,44.4,41.4,3.0,3.4965034965034967,https://emersoncollegepolling.com/march-2025-national-poll/
gen202cyg8hz85otp,Cygnal,,2025-03-03,2025-03-05,2025-03-12,1500.0,lv,False,,2026,47.4,45.9,1.5,1.6077170418006432,https://www.cygn.al/wp-content/uploads/2025/03/22915-Cygnal-National-NVT-Mar25-Deck-Public.pdf
gen202mclhngt13y7,McLaughlin & Associates,America's New Majority Project,2025-03-04,2025-03-07,2025-04-05,2000.0,rv,False,REP,2026,43.7,45.7,-2.0,-2.237136465324385,https://americasnewmajorityproject.com/wp-content/uploads/2025/03/20250307-NationalANMP-Topline.pdf
gen202cla976max11,Clarity Campaign Labs,,2025-03-03,2025-03-09,2025-03-12,1036.0,rv,False,,2026,46.0,44.0,2.0,2.2222222222222223,https://static1.squarespace.com/static/61ae8d5e55be5c7314b4c83a/t/67d0921f11ba8d57a17670a9/1741722147070/Clarity+Omnibus+Overview+-+March+2025+PUBLIC.pdf
gen202har342tk60o,Hart Research Associates/Public Opinion Strategies,NBC News,2025-03-07,2025-03-11,2025-03-16,1000.0,rv,False,,2026,48.0,47.0,1.0,1.0526315789473684,https://www.nbcnews.com/politics/politics-news/democratic-party-hits-new-polling-low-voters-want-fight-trump-harder-rcna196161
gen202ech2d6zin7q,Echelon Insights,,2025-03-10,2025-03-13,2025-03-14,1007.0,lv,False,,2026,46.0,47.0,-1.0,-1.075268817204301,https://echelonin.wpenginepowered.com/wp-content/uploads/March-2025-Voter-Omnibus-Topline-External.pdf
gen202quaiwtcm3aw,Quantus Insights,,2025-03-25,2025-03-27,2025-03-28,1000.0,rv,False,,2026,45.4,46.3,-0.8999999999999986,-0.9814612868047968,https://quantusinsights.org/f/trump%E2%80%99s-standing-steadies-but-crosscurrents-remain-ahead-of-2026
gen202fabfbik5htr,"Fabrizio, Lee & Associates/Impact Research",The Wall Street Journal,2025-03-27,2025-04-01,2025-04-08,1500.0,rv,False,,2026,44.0,43.0,1.0,1.1494252873563218,https://prod-i.a.dj.com/public/resources/documents/March_2025_WSJPoll.pdf
gen202cyg94pl7ubt,Cygnal,,2025-04-01,2025-04-03,2025-04-08,1500.0,lv,False,,2026,48.0,47.0,1.0,1.0526315789473684,https://www.cygn.al/poll-democrats-continue-to-struggle-as-trump-maintains-strong-approval-even-in-light-of-tariffs/
gen202yalkd7y97xk,Yale University Institution for Social and Policy Studies,,2025-04-01,2025-04-03,2025-04-17,4100.0,rv,False,,2026,43.3,41.7,1.5999999999999943,1.882352941176464,https://docs.google.com/spreadsheets/d/1JhSWPVcKK6tdufsa52TeRk3JRwSsgtglVQP1ZAa8fg4/edit?gid=856853932#gid=856853932
gen202youc23q9p7i,YouGov,The Economist,2025-04-05,2025-04-08,2025-04-09,1735.0,a,False,,2026,39.0,36.0,3.0,4.0,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_pXJ0PxA.pdf#page31
gen202youop519jwx,YouGov,The Economist,2025-04-05,2025-04-08,2025-04-09,1558.0,rv,False,,2026,43.0,42.0,1.0,1.1764705882352942,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_pXJ0PxA.pdf#page31
gen202reaoc9iug5s,RealClear Opinion Research,,2025-04-10,2025-04-12,2025-04-21,1000.0,rv,False,,2026,40.0,39.0,1.0,1.2658227848101267,https://www.realclearpolitics.com/articles/2025/04/18/rcp_poll_voters_see_campus_bias_reject_trumps_tariff_pitch_152678.html
gen202hara7z5ongq,Hart Research Associates/Public Opinion Strategies,CNBC,2025-04-09,2025-04-13,2025-04-17,1000.0,a,False,,2026,48.0,46.0,2.0,2.127659574468085,https://www.cnbc.com/video/2025/04/17/tariffs-weight-on-trump-approval-cnbc-survey-finds.html
