build_run_id,state_code,election_cycle,plan_cycle,chamber,district,ambiguous_result_rows,ambiguous_two_party_votes,validation_status,note
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,1,0,0.0,passed,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,2,0,0.0,passed,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,3,0,0.0,passed,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,4,0,0.0,passed,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,5,2,2105.0,review,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,6,1,1549.0,review,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,7,1,1549.0,review,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,8,0,0.0,passed,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,9,1,618.0,review,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,10,1,326.0,review,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,11,1,326.0,review,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,12,0,0.0,passed,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,13,1,347.0,review,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,14,1,347.0,review,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,15,2,884.0,review,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,16,0,0.0,passed,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,17,0,0.0,passed,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,18,1,347.0,review,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,19,0,0.0,passed,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,20,0,0.0,passed,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,21,0,0.0,passed,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,22,2,884.0,review,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,23,1,709.0,review,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,24,1,1549.0,review,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,25,1,1549.0,review,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,26,1,618.0,review,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,27,5,6037.0,review,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,28,1,1549.0,review,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,29,0,0.0,passed,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,30,0,0.0,passed,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,31,8,3060.0,review,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,32,1,42.0,review,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,33,0,0.0,passed,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,34,4,1449.0,review,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,35,0,0.0,passed,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,36,0,0.0,passed,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,37,3,1697.0,review,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,38,1,1028.0,review,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,39,0,0.0,passed,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,40,1,1549.0,review,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,41,2,1143.0,review,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,42,0,0.0,passed,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,43,2,1582.0,review,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,44,0,0.0,passed,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,45,1,344.0,review,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,46,2,242.0,review,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,47,2,1075.0,review,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,48,2,1075.0,review,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,49,0,0.0,passed,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,50,0,0.0,passed,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,51,8,3060.0,review,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,52,3,3654.0,review,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,53,9,2154.0,review,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,54,0,0.0,passed,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,55,0,0.0,passed,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,56,4,5052.0,review,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,57,6,7691.0,review,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,58,6,8143.0,review,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
RUN-971118910F5E4DF68E316573C3AAABB2,MS,2012,2019,lower,59,0,0.0,passed,Passed means no unresolved 2012 result has a plausible donor geometry in this district.
