hypothesis_id,family,variable_or_construct,unit,temporal_status,causal_role,expected_cmo_relationship,current_status,current_field_or_source,preferred_test,priority
BASE-01,partisan_context,prior presidential Democratic margin,district-cycle,pre-election,confounder_or_effect_modifier,"More Democratic districts may permit different candidate coalitions; not assumed linear",implemented,prior_pres_dem_margin,"forward-cycle partial effect and nonlinear sensitivity",P0
BASE-02,partisan_context,prior presidential swing,district-cycle,pre-election,context,"Recent Democratic trend may raise legislative performance but can also mark realignment already missed by the state baseline",implemented,prior_pres_swing,"forward-cycle comparison with availability indicator",P1
BASE-03,partisan_context,same-cycle statewide office index,district-cycle,same-cycle_baseline,baseline_component,"Defines raw overperformance rather than independently explaining it",implemented,core_index_margin,"baseline sensitivity only; never regress its own residual on the component",P0
BASE-04,partisan_context,same-cycle governor margin,district-cycle,same-cycle_baseline,alternative_baseline,"Candidate performance may differ from a salient gubernatorial coalition",implemented,canonical_cmo_district_office_baselines.csv,"compare governor-relative outcome by cycle",P1
BASE-05,partisan_context,same-cycle other statewide-office margins,district-cycle,same-cycle_baseline,alternative_baseline,"Office mix may better represent local state partisanship than governor alone",implemented,canonical_cmo_district_office_baselines.csv,"leave-one-office-out and turnout-weighted baseline tests",P1
BASE-06,partisan_context,previous presidential margin,district-cycle,pre-election,alternative_baseline,"Captures national partisanship without same-cycle candidate contamination",implemented,prior_pres_dem_margin,"presidential-relative CMO sensitivity",P0
BASE-07,partisan_context,same-cycle U.S. House margin,district-cycle,same-cycle_post_treatment,alternative_baseline,"May better capture nationalized down-ballot voting after 2016",tested,historical_federal_district_baselines.csv,"era-specific forward baseline comparison",P1
BASE-08,partisan_context,same-cycle U.S. Senate margin,district-cycle,same-cycle_post_treatment,alternative_baseline,"May capture national environment where a contested Senate race exists",tested,historical_federal_district_baselines.csv,"coverage-aware era-specific comparison",P1
BASE-09,partisan_context,federal-state partisan gap,district-cycle,same-cycle_post_treatment,effect_modifier,"Culturally conservative Democrats may do best where federal Republican voting exceeds state Republican voting",tested,cmo_matched_ingredient_contrasts.csv,"interact candidate social ideology with gap by era",P0
BASE-10,partisan_context,federal baseline contested-vote coverage,district-cycle,same-cycle_post_treatment,measurement_quality,"Low federal contest coverage may distort nationalization measures",implemented,federal_contested_coverage,"weighted sensitivity and minimum-coverage gate",P1
