canonical_rollcall_id,unit_id,id,decision,primitive_axis,policy_pole,confidence,rationale,terminal_status,authority
JRC-3B88E2D215607E2A,455417C8D258E3BA,455417C8D258E3BA,exclude,,,high,"generic budget/tax label does not identify increase, decrease, distribution, or baseline",excluded_fiscal_baseline_insufficient,codex_terminal_rule
JRC-546A54FBF9721CA7,6621BD6559FF66CC,6621BD6559FF66CC,exclude,,,high,"generic budget/tax label does not identify increase, decrease, distribution, or baseline",excluded_fiscal_baseline_insufficient,codex_terminal_rule
SJRC-82B96095FAA2F477,1EAF677ABF4F37A3,1EAF677ABF4F37A3,exclude,,,high,"generic budget/tax label does not identify increase, decrease, distribution, or baseline",excluded_fiscal_baseline_insufficient,codex_terminal_rule
SJRC-AADCE0A0A79A35E4,67811B1E893BD5A1,67811B1E893BD5A1,exclude,,,high,"generic budget/tax label does not identify increase, decrease, distribution, or baseline",excluded_fiscal_baseline_insufficient,codex_terminal_rule
JRC-03DC3845913D4DCD,40232516E0CD5449,40232516E0CD5449,exclude,,,high,"generic budget/tax label does not identify increase, decrease, distribution, or baseline",excluded_fiscal_baseline_insufficient,codex_terminal_rule
JRC-06BA84F2CE1E0F0B,2B4776C60FF3A1EA,2B4776C60FF3A1EA,exclude,,,high,"generic budget/tax label does not identify increase, decrease, distribution, or baseline",excluded_fiscal_baseline_insufficient,codex_terminal_rule
JRC-4D54D796CE069B4C,C8FD995D63EBA0E0,C8FD995D63EBA0E0,exclude,,,high,"generic budget/tax label does not identify increase, decrease, distribution, or baseline",excluded_fiscal_baseline_insufficient,codex_terminal_rule
JRC-6DC5FCCDE521034E,D63B688F3AF54CF2,D63B688F3AF54CF2,exclude,,,high,"generic budget/tax label does not identify increase, decrease, distribution, or baseline",excluded_fiscal_baseline_insufficient,codex_terminal_rule
JRC-823539322222D1DD,C9D76BEBA50546B4,C9D76BEBA50546B4,exclude,,,high,"generic budget/tax label does not identify increase, decrease, distribution, or baseline",excluded_fiscal_baseline_insufficient,codex_terminal_rule
SJRC-5CF1F68FE5A8EA80,58BE22607F93E498,58BE22607F93E498,exclude,,,high,"generic budget/tax label does not identify increase, decrease, distribution, or baseline",excluded_fiscal_baseline_insufficient,codex_terminal_rule
SJRC-7BFECF2C642C4D16,DAF41CE670F933FF,DAF41CE670F933FF,exclude,,,high,"generic budget/tax label does not identify increase, decrease, distribution, or baseline",excluded_fiscal_baseline_insufficient,codex_terminal_rule
SJRC-A5AF249B7394D417,7DBF8C41ABBDC2FC,7DBF8C41ABBDC2FC,exclude,,,high,"generic budget/tax label does not identify increase, decrease, distribution, or baseline",excluded_fiscal_baseline_insufficient,codex_terminal_rule
SJRC-A99DDD2C2B22157A,BBC90A1FF0F5B305,BBC90A1FF0F5B305,exclude,,,high,"generic budget/tax label does not identify increase, decrease, distribution, or baseline",excluded_fiscal_baseline_insufficient,codex_terminal_rule
SJRC-E1D27278FC4E8FDB,DB9CB5883FFC5369,DB9CB5883FFC5369,exclude,,,high,"generic budget/tax label does not identify increase, decrease, distribution, or baseline",excluded_fiscal_baseline_insufficient,codex_terminal_rule
JRC-BE1299359471FB08,28EF9D8ABB09BCAD,28EF9D8ABB09BCAD,exclude,,,high,"generic budget/tax label does not identify increase, decrease, distribution, or baseline",excluded_fiscal_baseline_insufficient,codex_terminal_rule
JRC-D95B1A91E2D51EF5,CF3D6B82AB13A812,CF3D6B82AB13A812,exclude,,,high,"generic budget/tax label does not identify increase, decrease, distribution, or baseline",excluded_fiscal_baseline_insufficient,codex_terminal_rule
JRC-10ECBE7D949F5145,32856BD5DE200783,32856BD5DE200783,exclude,,,high,"generic budget/tax label does not identify increase, decrease, distribution, or baseline",excluded_fiscal_baseline_insufficient,codex_terminal_rule
JRC-58910E3A8F8FF082,B59E5382112A8463,B59E5382112A8463,exclude,,,high,"generic budget/tax label does not identify increase, decrease, distribution, or baseline",excluded_fiscal_baseline_insufficient,codex_terminal_rule
JRC-8505AF44F8502C96,3F2A5ABDDDC68E51,3F2A5ABDDDC68E51,exclude,,,high,"generic budget/tax label does not identify increase, decrease, distribution, or baseline",excluded_fiscal_baseline_insufficient,codex_terminal_rule
JRC-B4B7A4D4A26CABD2,1B968F95CB77253F,1B968F95CB77253F,exclude,,,high,"generic budget/tax label does not identify increase, decrease, distribution, or baseline",excluded_fiscal_baseline_insufficient,codex_terminal_rule
JRC-BF1101F658A4978E,77B74990323AF550,77B74990323AF550,exclude,,,high,"generic budget/tax label does not identify increase, decrease, distribution, or baseline",excluded_fiscal_baseline_insufficient,codex_terminal_rule
JRC-C493F39FCBB99B5D,32067AC9B534A207,32067AC9B534A207,exclude,,,high,"generic budget/tax label does not identify increase, decrease, distribution, or baseline",excluded_fiscal_baseline_insufficient,codex_terminal_rule
JRC-DA1999065544897F,0DF5DCA2C7285295,0DF5DCA2C7285295,exclude,,,high,"generic budget/tax label does not identify increase, decrease, distribution, or baseline",excluded_fiscal_baseline_insufficient,codex_terminal_rule
JRC-EC2E2358283DCE98,77B74990323AF550,77B74990323AF550,exclude,,,high,"generic budget/tax label does not identify increase, decrease, distribution, or baseline",excluded_fiscal_baseline_insufficient,codex_terminal_rule
JRC-EFBE76C96EFE15E7,7052B1B15EC1E7C1,7052B1B15EC1E7C1,exclude,,,high,"generic budget/tax label does not identify increase, decrease, distribution, or baseline",excluded_fiscal_baseline_insufficient,codex_terminal_rule
SJRC-176C6D63CA20C6EC,32856BD5DE200783,32856BD5DE200783,exclude,,,high,"generic budget/tax label does not identify increase, decrease, distribution, or baseline",excluded_fiscal_baseline_insufficient,codex_terminal_rule
