county_key,precinct_key,dem_votes,rep_votes,two_party_votes,pres_dem_margin
AUTAUGA,ABSENTEE VOTERS,312.0,987.0,1299.0,-51.96304849884527
AUTAUGA,AUTAUGAVILLE VOL_ FIRE DEPT_,474.0,334.0,808.0,17.326732673267326
AUTAUGA,BILLINGSLEY GOVERNMENT CENTER,46.0,359.0,405.0,-77.28395061728395
AUTAUGA,BOOTH VOL_ FIRE,169.0,461.0,630.0,-46.34920634920635
AUTAUGA,CAMELLIA BAPTIST CHURCH #1,408.0,992.0,1400.0,-41.714285714285715
AUTAUGA,CAMELLIA BAPTIST CHURCH #2,35.0,67.0,102.0,-31.372549019607842
AUTAUGA,CENTRAL AL ELECTRIC COOP BLDG_,276.0,124.0,400.0,38.0
AUTAUGA,CHURCH OF LIVING WATER #1,101.0,615.0,716.0,-71.7877094972067
AUTAUGA,CHURCH OF LIVING WATER #2,225.0,1183.0,1408.0,-68.03977272727273
AUTAUGA,INDEPENDENCE VOTING HOUSE,259.0,230.0,489.0,5.930470347648262
AUTAUGA,JONES COMMUNITY CENTER,131.0,177.0,308.0,-14.935064935064934
AUTAUGA,MARBURY COMMUNITY CENTER,106.0,538.0,644.0,-67.0807453416149
AUTAUGA,OLD KINGSTON VOTING SITE,402.0,347.0,749.0,7.343124165554072
AUTAUGA,PINE LEVEL FIRE STATION #1,212.0,1459.0,1671.0,-74.6259724715739
AUTAUGA,PINE LEVEL FIRE STATION #2,86.0,525.0,611.0,-71.8494271685761
AUTAUGA,PRATTMONT BAPTIST CHURCH,224.0,878.0,1102.0,-59.346642468239565
AUTAUGA,PRATTVILLE CHAMBER OF COMMERCE,612.0,298.0,910.0,34.505494505494504
AUTAUGA,PROVISIONAL,2.0,5.0,7.0,-42.857142857142854
AUTAUGA,SAFE HARBOR MINISTRIES #1,120.0,379.0,499.0,-51.90380761523046
AUTAUGA,SAFE HARBOR MINISTRIES #2,245.0,853.0,1098.0,-55.373406193078324
AUTAUGA,SAFE HARBOR MINISTRIES #3,298.0,974.0,1272.0,-53.144654088050316
AUTAUGA,TRINITY UNITED METHODIST #1,387.0,1625.0,2012.0,-61.53081510934393
AUTAUGA,TRINITY UNITED METHODIST #2,261.0,1182.0,1443.0,-63.82536382536382
AUTAUGA,TRINITY UNITED METHODIST #3,169.0,699.0,868.0,-61.05990783410138
AUTAUGA,UPPER KINGSTON COMM_ CNTR #1,274.0,1212.0,1486.0,-63.12247644683715
AUTAUGA,UPPER KINGSTON COMM_ CNTR #2,127.0,583.0,710.0,-64.22535211267606
AUTAUGA,WHITE CITY FIRE,132.0,317.0,449.0,-41.202672605790646
BALDWIN,ABSENTEE,795.0,2652.0,3447.0,-53.87293298520453
BALDWIN,BARWELL COMM CTR,261.0,1367.0,1628.0,-67.93611793611794
BALDWIN,BAY MINETTE CITY HALL CIVIC #1,245.0,895.0,1140.0,-57.01754385964912
BALDWIN,BAY MINETTE CITY HALL CIVIC #2,595.0,1830.0,2425.0,-50.92783505154639
BALDWIN,BELFOREST COMM CTR,132.0,737.0,869.0,-69.62025316455696
BALDWIN,BON SECOUR MORGANS CHAPEL,205.0,804.0,1009.0,-59.365708622398415
BALDWIN,BOSINTON UNITED METH CH,153.0,987.0,1140.0,-73.15789473684211
BALDWIN,BROMLEY CROSSROADS VOL FIRE,210.0,382.0,592.0,-29.054054054054053
BALDWIN,CLEARSPRGS FELLOWSHIP HALL,8.0,110.0,118.0,-86.44067796610169
BALDWIN,CROSSROADS DURANT CHAPEL,150.0,369.0,519.0,-42.19653179190752
BALDWIN,DAPHNE CIV CTR #1,560.0,1030.0,1590.0,-29.559748427672957
BALDWIN,DAPHNE CIV CTR #2,407.0,894.0,1301.0,-37.43274404304381
BALDWIN,DAPHNE CIV CTR #3,327.0,743.0,1070.0,-38.87850467289719
BALDWIN,DAPHNE CIV CTR #4,535.0,1556.0,2091.0,-48.82831181252989
BALDWIN,DAPHNE CIV CTR #5,870.0,1309.0,2179.0,-20.146856356126662
BALDWIN,DAPHNE HIGH SCH #1,0.0,0.0,0.0,
BALDWIN,DAPHNE HIGH SCH #2,608.0,1770.0,2378.0,-48.8645920941968
BALDWIN,DOUGLASVILLE COMM CTR,480.0,30.0,510.0,88.23529411764706
BALDWIN,EAST POINTE BAP CH #1,349.0,1696.0,2045.0,-65.8679706601467
BALDWIN,EAST POINTE BAP CH #2,153.0,796.0,949.0,-67.75553213909379
BALDWIN,ELBERTA CIVIC CTR,275.0,1141.0,1416.0,-61.15819209039548
BALDWIN,ELSANOR COMM CTR,104.0,703.0,807.0,-74.22552664188352
BALDWIN,FAIRHOPE CIVIC CTR #1,229.0,918.0,1147.0,-60.06974716652136
BALDWIN,FAIRHOPE CIVIC CTR #2,560.0,1692.0,2252.0,-50.266429840142095
BALDWIN,FAIRHOPE CIVIC CTR #3,614.0,1792.0,2406.0,-48.960931005818786
BALDWIN,FAIRHOPE CIVIC CTR #4,673.0,1864.0,2537.0,-46.945210878990935
BALDWIN,FAIRHOPE CIVIC CTR #5,745.0,2153.0,2898.0,-48.585231193926845
BALDWIN,FERGUSON STORE-LITTLE RIVER,53.0,101.0,154.0,-31.16883116883117
BALDWIN,FOLEY CIVIC CTR #1,324.0,654.0,978.0,-33.74233128834356
BALDWIN,FOLEY CIVIC CTR #2,500.0,1134.0,1634.0,-38.80048959608323
BALDWIN,FOLEY CIVIC CTR #3,532.0,1104.0,1636.0,-34.96332518337408
BALDWIN,FORT MORGAN VFD STA #2,89.0,295.0,384.0,-53.645833333333336
BALDWIN,GATESWOOD FIRE STA,27.0,168.0,195.0,-72.3076923076923
BALDWIN,GULF SHORES ACTIVITY #1,508.0,1784.0,2292.0,-55.67190226876091
BALDWIN,GULF SHORES ACTIVITY #2,460.0,1687.0,2147.0,-57.149510945505355
BALDWIN,GULF SHORES ACTIVITY #3,0.0,0.0,0.0,
BALDWIN,JOSEPHINE FIRE HOUSE,87.0,377.0,464.0,-62.5
BALDWIN,LILLIAN COMM #1,367.0,1066.0,1433.0,-48.77878576413119
BALDWIN,LILLIAN COMM #2,376.0,1070.0,1446.0,-47.994467496542185
BALDWIN,LOTTIE FIRE DEPT,18.0,120.0,138.0,-73.91304347826087
BALDWIN,LOXLEY TOWN HALL,155.0,828.0,983.0,-68.46388606307222
BALDWIN,LXLEY ELLISVILLE COMM CTR,202.0,233.0,435.0,-7.126436781609195
BALDWIN,MAGNOLIA SPRGS WESLEYAN #1,630.0,1539.0,2169.0,-41.90871369294606
