county_key,precinct_key,dem_votes,rep_votes,two_party_votes,pres_dem_margin
AUTAUGA,10 JONES COMMUNITY CTR,135,218,353,-23.51274787535411
AUTAUGA,100 TRINITY METHODIST,285,1801,2086,-72.67497603068072
AUTAUGA,110 CENTRAL AL ELECTRIC,203,120,323,25.69659442724458
AUTAUGA,140 AUTAUGAVILLE VFD,406,312,718,13.09192200557103
AUTAUGA,150 PRATTMONT BAPTIST CH,287,824,1111,-48.33483348334833
AUTAUGA,160 DOSTER COMMUNITY CTR,1356,3162,4518,-39.9734395750332
AUTAUGA,170 CAMELLIA BAPTIST CH,418,1013,1431,-41.57931516422082
AUTAUGA,180 OLD KINGSTON VFD,294,400,694,-15.27377521613833
AUTAUGA,20 HERITAGE BAPTIST,332,1758,2090,-68.22966507177034
AUTAUGA,220 UPPER KINGSTON,228,931,1159,-60.65573770491803
AUTAUGA,30 BILLINGSLEY GOVT_ BLDG,35,374,409,-82.88508557457213
AUTAUGA,40 E_MEMORIAL CHRISTIAN,765,1998,2763,-44.62540716612378
AUTAUGA,50 WHITE CITY VFD,138,356,494,-44.12955465587044
AUTAUGA,60 MARBURY MIDDLE SCH,76,641,717,-78.80055788005579
AUTAUGA,70 PINE LEVEL CULTURAL CT,346,2487,2833,-75.57359689375221
AUTAUGA,80 INDEPENDENCE VFD,201,210,411,-2.18978102189781
AUTAUGA,90 BOOTH VFD,161,547,708,-54.51977401129943
AUTAUGA,ABSENTEE,250,972,1222,-59.08346972176759
AUTAUGA,PROVISIONAL,20,48,68,-41.1764705882353
BALDWIN,ABSENTEE,946,3349,4295,-55.948777648428404
BALDWIN,BARNWELL VFD,232,1508,1740,-73.33333333333333
BALDWIN,BAY MINETTE CIVIC CENTER,704,2734,3438,-59.045956951716114
BALDWIN,BELFOREST COMM CTR,208,1326,1534,-72.88135593220339
BALDWIN,BON SECOUR MORGAN CHAPEL,181,994,1175,-69.19148936170212
BALDWIN,BROMLEY VFD SUBST,196,621,817,-52.01958384332925
BALDWIN,CLEAR SPG FELLOWSHIP,8,139,147,-89.1156462585034
BALDWIN,CROSSROADS DURANT,126,414,540,-53.333333333333336
BALDWIN,DAPHNE CIVIC CENTER,2782,6293,9075,-38.68870523415978
BALDWIN,DAPHNE HIGH SCHOOL,514,1662,2176,-52.75735294117647
BALDWIN,"DOUGLASVILLE, BOYKIN CTR",395,23,418,88.99521531100478
BALDWIN,ELBERTA CIVIC CENTER,210,1377,1587,-73.53497164461248
BALDWIN,ELLISVILLE COMM CENTER,173,313,486,-28.80658436213992
BALDWIN,ELSANOR COMMUNITY,62,868,930,-86.66666666666667
BALDWIN,FAIRHOPE - 3 CIRCLE CHURCH,881,4500,5381,-67.25515703400855
BALDWIN,FAIRHOPE CIVIC CENTER,2026,5021,7047,-42.500354760891156
BALDWIN,FOLEY CIVIC CENTER,1270,4016,5286,-51.9485433219826
BALDWIN,FT_ MORGAN VFD #1,79,305,384,-58.854166666666664
BALDWIN,GATESWOOD VFD,13,231,244,-89.34426229508196
BALDWIN,GULF SHORES CIVIC CENTER,977,4532,5509,-64.53076783445272
BALDWIN,JOSEPHINE VFD,51,391,442,-76.92307692307692
BALDWIN,LILLIAN COMMUNITY,538,2438,2976,-63.844086021505376
BALDWIN,LITTLE RIVER VFD,34,116,150,-54.666666666666664
BALDWIN,LOTTIE VFD,11,156,167,-86.82634730538922
BALDWIN,LOXLEY TOWN HALL,141,871,1012,-72.13438735177866
BALDWIN,MAG SPGS WESLEYAN CH,612,2204,2816,-56.53409090909091
BALDWIN,MARLOW VFD,298,1400,1698,-64.89988221436985
BALDWIN,MIFLIN COMMUNITY CTR,345,1708,2053,-66.39064783244034
BALDWIN,NEW LIFE ASSEMBLY OF GOD,758,2693,3451,-56.07070414372646
BALDWIN,ORANGE BEACH COMM,534,3673,4207,-74.61373900641787
BALDWIN,PERDIDO BEACH VFD,85,491,576,-70.48611111111111
BALDWIN,PERDIDO VOL FIRE DEPT,74,575,649,-77.19568567026194
BALDWIN,PINEGROVE VFD #1,185,744,929,-60.17222820236814
BALDWIN,PROVISIONAL,49,103,152,-35.526315789473685
BALDWIN,PT CLEAR ST FRANCIS,345,847,1192,-42.11409395973154
BALDWIN,RABUN VFD,38,502,540,-85.92592592592592
BALDWIN,ROBERTSDALE CITY HALL,385,2225,2610,-70.49808429118774
BALDWIN,ROSINTON METHODIST,115,1257,1372,-83.23615160349854
BALDWIN,SEMINOLE VFD,51,516,567,-82.01058201058201
BALDWIN,SILVERHILL COMMUNITY CENTER,290,1852,2142,-72.92250233426704
BALDWIN,SPANISH FORT CHURCH OF CHRIST,283,1431,1714,-66.97782963827305
BALDWIN,SPANISH FORT COMMUNITY CENTER,529,2626,3155,-66.46592709984152
BALDWIN,STAPLETON VFD,64,921,985,-87.00507614213198
BALDWIN,STOCKTON CIVIC BUILDING,26,412,438,-88.12785388127854
BALDWIN,SUMMERDALE COMM_,223,1571,1794,-75.13935340022296
BALDWIN,TENSAW VFD,96,40,136,41.1764705882353
BALDWIN,VAUGHN COMM CENTER,192,158,350,9.714285714285714
BALDWIN,WHITEHOUSE FORK VFD,123,736,859,-71.36204889406287
BARBOUR,ABSENTEE,353,316,669,5.530642750373692
BARBOUR,BAKERHILL TOWN HALL,152,240,392,-22.448979591836736
BARBOUR,BEVILL CENTER,197,783,980,-59.795918367346935
BARBOUR,BLUE SPRINGS CITY HALL,38,209,247,-69.23076923076923
BARBOUR,CLAYTON COURTHOUSE,542,306,848,27.830188679245282
BARBOUR,CLIO CITY HALL,233,244,477,-2.3060796645702304
BARBOUR,ELAMVILLE VOL_ FIRE,65,190,255,-49.01960784313726
BARBOUR,EUFAULA COMMUNITY CENTER,472,665,1137,-16.97449428320141
BARBOUR,EUFAULA WATER BOARD,486,289,775,25.419354838709676
BARBOUR,FELLOWSHIP BAPTIST,284,792,1076,-47.21189591078067
BARBOUR,GREENS CROSSROADS,54,73,127,-14.960629921259843
BARBOUR,LOUISVILLE CITY HALL,318,233,551,15.426497277676951
BARBOUR,MCCOO SCHOOL,772,284,1056,46.21212121212121
BARBOUR,MT_ ANDREW COMMUNITY CTR_,127,25,152,67.10526315789474
BARBOUR,PROVISIONAL,23,23,46,0.0
BARBOUR,SANFORD AVENUE GYM,467,448,915,2.0765027322404372
BARBOUR,SPRINGHILL VFD,218,130,348,25.28735632183908
BARBOUR,TEXASVILLE COMMUNITY CTR_,70,204,274,-48.90510948905109
BIBB,ABSENTEE,44,194,238,-63.02521008403362
BIBB,ALTERNATIVE SCHOOL,342,1439,1781,-61.59460976979225
BIBB,BRENT CITY HALL,580,293,873,32.87514318442153
BIBB,CENTREVILLE ROCK BLDG_,235,849,1084,-56.64206642066421
BIBB,EOLINE FIRE DEPARTMENT,71,523,594,-76.0942760942761
BIBB,GREENPOND FIRE DEPT_,116,1528,1644,-85.88807785888078
BIBB,LAWLEY COMMUNITY CTR_,55,376,431,-74.47795823665894
BIBB,NATIONAL GUARD ARMORY,277,886,1163,-52.36457437661221
BIBB,PROVISIONAL,0,5,5,-100.0
BIBB,SIX MILE COMMUNITY CENTER,154,645,799,-61.45181476846057
BLOUNT,ABSENTEE,102,630,732,-72.1311475409836
BLOUNT,ALLGOOD TOWN HALL,40,434,474,-83.12236286919831
BLOUNT,BLOUNT SPRINGS,27,272,299,-81.93979933110369
BLOUNT,BLOUNTSVILLE,158,1322,1480,-78.64864864864865
BLOUNT,BROOKSVILLE,33,409,442,-85.06787330316742
BLOUNT,CLEVELAND,121,1007,1128,-78.54609929078015
BLOUNT,DALLAS-SELFVILLE,71,1187,1258,-88.71224165341812
BLOUNT,HAYDEN,192,2418,2610,-85.28735632183908
BLOUNT,HOLLY SPRINGS,19,346,365,-89.58904109589041
BLOUNT,LOCUST FORK,96,1372,1468,-86.92098092643052
BLOUNT,MT_ HIGH,104,1747,1851,-88.76283090221501
BLOUNT,MURPHREE VALLEY,79,593,672,-76.48809523809524
BLOUNT,NECTAR,62,997,1059,-88.29084041548631
