county,precinct,dem_votes,rep_votes,two_party_votes,pres_dem_margin,source_format
Sumter,WHITFIELD TRAILER,83,5,88,88.63636363636364,standard_xlsx
Sumter,WARD COMMUNITY CENTER,177,67,244,45.08196721311475,standard_xlsx
Sumter,CUBA COMMUNITY CENTER,535,223,758,41.16094986807388,standard_xlsx
Sumter,YORK - SUMTER RESCUE SQUAD,1142,245,1387,64.67195385724585,standard_xlsx
Sumter,BELLAMY COMMUNITY CENTER,290,22,312,85.8974358974359,standard_xlsx
Sumter,COATOPA BEL FIRE DEPT.,163,110,273,19.413919413919412,standard_xlsx
Sumter,LIVINGSTON CIVIC CENTER,1271,596,1867,36.154258168184256,standard_xlsx
Sumter,BOYD TRAILER,146,37,183,59.56284153005465,standard_xlsx
Sumter,EMELLE SUMT. TOWN HALL,207,71,278,48.92086330935252,standard_xlsx
Sumter,EPES COMMUNITY CENTER,272,35,307,77.1986970684039,standard_xlsx
Sumter,GAINESVILLE COMMUNITY CENTER,334,30,364,83.51648351648352,standard_xlsx
Sumter,GEIGER TOWN HALL,161,23,184,75.0,standard_xlsx
Sumter,PANOLA TRAILER,231,32,263,75.66539923954373,standard_xlsx
Sumter,ABSENTEE,408,89,497,64.1851106639839,standard_xlsx
Sumter,PROVISIONAL,0,0,0,,standard_xlsx
Talladega,EASTABOGA COMMUNITY CENTER,235,474,709,-33.70944992947814,standard_xlsx
Talladega,LINCOLN OLD HIGH SCHOOL GYM,919,1618,2537,-27.5522270398108,standard_xlsx
Talladega,ANTIOCH BAPTIST CHURCH,629,1745,2374,-47.00926705981466,standard_xlsx
Talladega,IRONATON VOL. FIRE DEPARTMENT,133,512,645,-58.75968992248062,standard_xlsx
Talladega,BRECON RECREATION CENTER,794,649,1443,10.048510048510048,standard_xlsx
Talladega,SPRING STREET COMM. CENTER,575,1646,2221,-48.22152183701036,standard_xlsx
Talladega,BEMISTON RECREATION CENTER,64,280,344,-62.7906976744186,standard_xlsx
Talladega,B. N. MABRA CENTER,2441,303,2744,77.91545189504373,standard_xlsx
Talladega,KINGSTON BAPTIST CHURCH,251,79,330,52.121212121212125,standard_xlsx
Talladega,TALLADEGA CO. CENTRAL HS,269,82,351,53.27635327635328,standard_xlsx
Talladega,BETHEL BAPTIST CHURCH,545,132,677,61.00443131462334,standard_xlsx
