provider,source_url,retrieved_at_utc,retrieval_time_status,license_or_terms,source_family,authoritative_scope,local_path,sha256,bytes,geography_vintage,year,state,repository,github_blob_sha
"Carl Klarner, State Legislative Election Returns, 1967-2022",https://doi.org/10.7910/DVN/FJOGJB,2026-08-19T06:46:35.693224+00:00,filesystem_mtime_proxy,reuse terms not retained with local artifact; review required,klarner,"secondary candidate-contest state legislative general-election returns, 1967-2022",data/raw/historical_statewide_elections/dataverse_files.zip,b4c0913fa7bfb0aff4da2dbf67a22da696e9f07b45615f30e78127edd794a3e1,39807737,provider-reported district; plan vintage unverified,,,,
MIT Election Data and Science Lab,https://electionlab.mit.edu/data,2026-08-19T15:06:11.869176+00:00,filesystem_mtime_proxy,reuse terms not retained with local artifact; review required,medsl_national,standardized precinct-level 2018 general-election returns,data/raw/historical_statewide_elections/dataverse_files (3).zip,2ebfc6a2030180b1eecc4da0579869ed84fc54e541a0f75850b05b57ddb6c893,103620249,provider-reported district; plan vintage unverified,2018.0,,,
MIT Election Data and Science Lab,https://electionlab.mit.edu/data,2026-08-19T15:05:41.851686+00:00,filesystem_mtime_proxy,reuse terms not retained with local artifact; review required,medsl_national,standardized precinct-level 2020 general-election returns,data/raw/historical_statewide_elections/dataverse_files (2).zip,4f66ee178e76a238bf4192d9d74d738c82623cf268cfa7b4bf65df6f534e680e,82063505,provider-reported district; plan vintage unverified,2020.0,,,
MIT Election Data and Science Lab,https://electionlab.mit.edu/data,2026-08-19T06:51:02.359434+00:00,filesystem_mtime_proxy,reuse terms not retained with local artifact; review required,medsl_national,standardized precinct-level 2024 general-election returns,data/raw/historical_statewide_elections/dataverse_files (1).zip,b08cd3d051b9d57806045e486f3eee13745d0389b585125bc6d78a8a4655ad02,49723532,provider-reported district; plan vintage unverified,2024.0,,,
MIT Election Data and Science Lab,https://raw.githubusercontent.com/MEDSL/2022-elections-official/main/individual_states/2022-ky-local-precinct-general.zip,2026-08-30T17:14:44+00:00,observed,reuse terms not retained with local artifact; review required,medsl_github,standardized precinct-level legislative and ticket general-election returns,data/raw/historical_statewide_elections/medsl_github/2022/2022-ky-local-precinct-general.zip,af2e2ad9ee83268f3ccd22f6d3ad4e93db297dc80324750df66bd268d085a36d,1463761,provider-reported district; plan vintage unverified,2022.0,KY,MEDSL/2022-elections-official,50beca5a9f3580df0c6f50d9f3fe7623a7ae5c30
MIT Election Data and Science Lab,https://raw.githubusercontent.com/MEDSL/2022-elections-official/main/individual_states/2022-mo-local-precinct-general.zip,2026-08-30T17:14:45+00:00,observed,reuse terms not retained with local artifact; review required,medsl_github,standardized precinct-level legislative and ticket general-election returns,data/raw/historical_statewide_elections/medsl_github/2022/2022-mo-local-precinct-general.zip,f44de8fd7d2a11bfc0eed71b13ea7359bededd15174d71d48e85819c60f281e0,850650,provider-reported district; plan vintage unverified,2022.0,MO,MEDSL/2022-elections-official,1f33a25b7a4379ff71d4a99fddc747ea116efd24
MIT Election Data and Science Lab,https://raw.githubusercontent.com/MEDSL/2022-elections-official/main/individual_states/2022-ok-local-precinct-general.zip,2026-08-30T17:14:48+00:00,observed,reuse terms not retained with local artifact; review required,medsl_github,standardized precinct-level legislative and ticket general-election returns,data/raw/historical_statewide_elections/medsl_github/2022/2022-ok-local-precinct-general.zip,9526b85ec712c66e50ce039564166a0f34c39933f563cb20d949bba1d44ce7d9,2104706,provider-reported district; plan vintage unverified,2022.0,OK,MEDSL/2022-elections-official,d2b3675f23b9f1bf15f28484558f39a90bd6f9c1
MIT Election Data and Science Lab,https://raw.githubusercontent.com/MEDSL/2022-elections-official/main/individual_states/2022-sc-local-precinct-general.zip,2026-08-30T17:14:53+00:00,observed,reuse terms not retained with local artifact; review required,medsl_github,standardized precinct-level legislative and ticket general-election returns,data/raw/historical_statewide_elections/medsl_github/2022/2022-sc-local-precinct-general.zip,3f0ca616aa8768cd1126d8f372bab13161973c8c2af0eb466380d40175687a19,3455820,provider-reported district; plan vintage unverified,2022.0,SC,MEDSL/2022-elections-official,d33ec6c4eb78fd249381fe45a136292ceb9edb88
MIT Election Data and Science Lab,https://raw.githubusercontent.com/MEDSL/2024-elections-official/main/individual_states/ar24.zip,2026-08-30T17:14:54+00:00,observed,reuse terms not retained with local artifact; review required,medsl_github,standardized precinct-level legislative and ticket general-election returns,data/raw/historical_statewide_elections/medsl_github/2024/ar24.zip,22b54a19a514588c6f8b23f4975464baf659d6a22d469ba3b6b369461b9dce06,1358121,provider-reported district; plan vintage unverified,2024.0,AR,MEDSL/2024-elections-official,ca708cf019b5b7928cb8b93bb11a3316c01412d1
MIT Election Data and Science Lab,https://raw.githubusercontent.com/MEDSL/2024-elections-official/main/individual_states/ky24.zip,2026-08-30T17:14:56+00:00,observed,reuse terms not retained with local artifact; review required,medsl_github,standardized precinct-level legislative and ticket general-election returns,data/raw/historical_statewide_elections/medsl_github/2024/ky24.zip,6d23baa797cb794aa05e842558fc2b78314f4fef39ab9aafd9822833f73cefa9,886810,provider-reported district; plan vintage unverified,2024.0,KY,MEDSL/2024-elections-official,74c7a22055e774fb98968cb1735331b21dafecd5
