priority_rank,top_200,case_id,cycle,county_key,precinct_key,priority_activity,legislative_activity_proxy,turnout_proxy,observed_contests,physical_adjudication_candidate,administrative_likelihood,known_race_assignments,is_split_precinct,house_district_count,senate_district_count,suggested_donor_vtd_id,suggested_donor_name,name_match_score,name_match_margin,alias_evidence,adjacent_name_evidence,geocoder_query,geocoder_evidence,intervening_submission_numbers,doj_evidence,precinct_name_norm,precinct_split_base,donor_vintage,donor_vtd_id,donor_name,name_match_method,physical_precinct_count,donor_vtd_count,vtd_inventory_relation,iterative_match_round,frozen_one_to_one,intervening_doj_candidates,intervening_geometry_candidates
1,True,PCT-031EFBB353A0,1994,MADISON,W.O.W. HALL,3535.0,3535.0,3668.0,30,True,none,house-20|senate-7,False,1,1,VTD2000-089-82,New Hope City Hall,85.5,0.0,,1998:0870 BOBO W.O.W. HALL score=90.0 code_exact=0 base_exact=0 donor=VTD2000-089-81 || 1998:0640 TRIANA CITY HALL score=85.5 code_exact=0 base_exact=0 donor=VTD2000-089-60 || 1998:0740 GURLEY CITY HALL score=85.5 code_exact=0 base_exact=0 donor=[unresolved] || 1998:0750 MADISON HALL #1 score=85.5 code_exact=0 base_exact=0 donor=VTD2000-089-71 || 1998:0751 MADISON HALL #2 score=85.5 code_exact=0 base_exact=0 donor=VTD2000-089-71,,,,,W O W HALL,W O W HALL,2000,,,ambiguous_fuzzy_name,82,98,underflow,0,False,0,0
2,True,PCT-354AB50B326C,1998,SHELBY,024 VALLEY DALE,2596.0,2596.0,5259.0,40,True,none,house-40|senate-14,False,1,1,VTD2000-117-10,Harpersville,49.56521739130434,0.4743083003952577,,2002:VALLEYDALE BAPTIST CHURCH .1 score=72.0 code_exact=0 base_exact=0 donor=VTD2000-117-12 || 2002:VALLEYDALE BAPTIST CHURCH .2 score=72.0 code_exact=0 base_exact=0 donor=VTD2000-117-12 || 2006:VALLEYDALE BAPTIST CHURCH .1 score=72.0 code_exact=0 base_exact=0 donor=VTD2010-117-18 || 2006:VALLEYDALE BAPTIST CHURCH .2 score=72.0 code_exact=0 base_exact=0 donor=VTD2010-117-18,"VALLEY DALE, SHELBY County, Alabama","Valley St, Montevallo, Alabama, 35115 score=96.86 type=StreetName county=Shelby County lon=-86.862091286882 lat=33.102223794105 || Valley Ln, Pelham, Alabama, 35124 score=96.86 type=StreetName county=Shelby County lon=-86.789216561947 lat=33.332964179199 || Dale Dr, Alabaster, Alabama, 35007 score=95.13 type=StreetName county=Shelby County lon=-86.824259384578 lat=33.197928238079",,,VALLEY DALE,VALLEY DALE,2000,,,unmatched_name,40,22,overflow,0,False,4,0
3,True,PCT-953978901B45,2006,LEE,ALABAMA ARMY NATIONAL GUARD,2291.0,2291.0,2320.0,44,True,none,house-79|house-83|senate-27,True,2,1,VTD2010-081-0100,Marvyn,60.00000000000001,15.000000000000009,,,"ALABAMA ARMY NATIONAL GUARD, LEE County, Alabama",Alabama Army National Guard score=88.75 type=POI county=DeKalb County lon=-85.68413 lat=34.486861 || Alabama Army National Guard score=88.75 type=POI county=Marshall County lon=-86.529804 lat=34.31649 || Alabama Army National Guard score=88.75 type=POI county=Bullock County lon=-85.7233 lat=32.1379,,,ALABAMA ARMY NATIONAL GUARD,ALABAMA ARMY NATIONAL GUARD,2010,,,unmatched_name,23,15,overflow,0,False,0,0
4,True,PCT-7EE7070C1B63,1998,SHELBY,023 RIVERCHASE,2288.0,2288.0,4678.0,40,True,none,house-47|senate-16,False,1,1,VTD2000-117-14,Vandiver Community Center,48.85714285714285,1.488721804511265,1994:RIVERCHASE CHURCH score=81.4 conf=medium rel=one_to_one_candidate,2002:RIVERCHASE CHURCH OF CHRIST .1 score=85.5 code_exact=0 base_exact=0 donor=VTD2000-117-12 || 2002:RIVERCHASE CHURCH OF CHRIST .2 score=85.5 code_exact=0 base_exact=0 donor=VTD2000-117-12 || 2002:RIVERCHASE CHURCH OF CHRIST .3 score=85.5 code_exact=0 base_exact=0 donor=VTD2000-117-12 || 2006:RIVERCHASE CHURCH OF CHRIST .1 score=85.5 code_exact=0 base_exact=0 donor=VTD2010-117-19 || 2006:RIVERCHASE CHURCH OF CHRIST .2 score=85.5 code_exact=0 base_exact=0 donor=VTD2010-117-19,"RIVERCHASE, SHELBY County, Alabama","Roverchase score=96.62 type=POI county=Shelby County lon=-86.795506 lat=33.332639 || Riverchase Kia score=92.37 type=POI county=Shelby County lon=-86.792787 lat=33.337031 || Riverchase E, Birmingham, Alabama, 35244 score=89.33 type=StreetName county=Shelby County lon=-86.783924006565 lat=33.351319673685",,,RIVERCHASE,RIVERCHASE,2000,,,unmatched_name,40,22,overflow,0,False,4,0
5,True,PCT-0BB91AAF16E6,1998,SHELBY,033 ALABASTER,2120.0,2120.0,4290.0,40,True,none,house-40|senate-14,False,1,1,VTD2000-117-2,Spring Creek Water Authority,52.61538461538461,7.015384615384612,1994:ALABASTER HALL ANNEX score=80.9 conf=medium rel=one_to_one_candidate,1994:ALABASTER HALL ANNEX score=85.5 code_exact=0 base_exact=0 donor=[unresolved] || 2002:ALABASTER CITY HALL ANNEX .1 score=85.5 code_exact=0 base_exact=0 donor=[unresolved] || 2002:ALABASTER CITY HALL ANNEX .2 score=85.5 code_exact=0 base_exact=0 donor=[unresolved] || 2002:ALABASTER CITY HALL ANNEX .3 score=85.5 code_exact=0 base_exact=0 donor=[unresolved] || 2006:ALABASTER LIBERTY BAPTIST score=85.5 code_exact=0 base_exact=0 donor=VTD2010-117-25,"ALABASTER, SHELBY County, Alabama","Alabaster, Alabama score=100 type=Locality county=Shelby County lon=-86.816869 lat=33.244037 || Alabaster, Alabama score=100 type=Locality county=Shelby County lon=-86.81638 lat=33.24428 || Alabaster, Alabama score=100 type=Locality county=Shelby County lon=-86.84347 lat=33.22055",,,ALABASTER,ALABASTER,2000,,,unmatched_name,40,22,overflow,0,False,4,0
6,True,PCT-776691B2EBE3,2002,MADISON,COVE UNITED METHODIST CHURCH,2094.0,2094.0,2189.0,36,True,none,house-20|house-22|senate-7|senate-8|senate-9,True,2,3,VTD2000-089-11,Episcopal Church in the Cove,64.46428571428571,2.2229064039408826,,2006:COVE UNITED METHODIST CHURCH score=100.0 code_exact=0 base_exact=1 donor=VTD2010-089-11 || 2006:TONEY UNITED METHODIST CHURCH score=91.2 code_exact=0 base_exact=0 donor=VTD2010-089-65 || 2006:HAVEN BAPT_ CHURCH score=85.5 code_exact=0 base_exact=0 donor=VTD2010-089-61 || 2006:TRINITY UNITED METHODIST score=76.0 code_exact=0 base_exact=0 donor=VTD2010-089-17 || 2006:CHASE VALLEY UNITED METHODIST score=73.3 code_exact=0 base_exact=0 donor=VTD2010-089-87,,,,,COVE UNITED METHODIST CHURCH,COVE UNITED METHODIST CHURCH,2000,,,unmatched_name,91,98,underflow,0,False,0,0
7,True,PCT-CBF6259BDF67,2002,MONTGOMERY,AL INDUSTRIAL DEVEL. TRAINING,2086.0,2086.0,2147.0,31,True,none,house-76|senate-26,False,1,1,VTD2000-101-4-D,Hamner Hall Fire Station,46.15384615384615,2.7055702917771853,,,"AL INDUSTRIAL DEVEL TRAINING, MONTGOMERY County, Alabama","Industrial Dr, Montgomery, Alabama, 36108 score=81.76 type=StreetName county=Montgomery County lon=-86.378098631215 lat=32.38139127722 || Montgomery County, Alabama score=79.17 type=Locality county=Montgomery County lon=-86.207638817186 lat=32.220250989863 || Montgomery County, Alabama score=79.17 type=Locality county=Montgomery County lon=-86.20761 lat=32.22026",,,AL INDUSTRIAL DEVEL TRAINING,AL INDUSTRIAL DEVEL TRAINING,2000,,,unmatched_name,57,56,overflow,0,False,0,0
8,True,PCT-AD44F1CA727C,1998,TALLADEGA,0070 SPRING ST. COMM. CENTER #1,2044.0,2044.0,4067.0,32,True,none,house-35|senate-11,False,1,1,VTD2000-121-8,Sullivan Curry Comm Center,70.0,24.929577464788736,2002:SPRING ST_ COMMUNITY CENTER .1 score=85.6 conf=medium rel=split_or_merge_candidate || 2002:SPRING ST_ COMMUNITY CENTER .2 score=85.4 conf=medium rel=split_or_merge_candidate || 2002:SPRING ST_ COMMUNITY CENTER .3 score=77.6 conf=medium rel=split_or_merge_candidate,2002:SPRING ST_ COMMUNITY CENTER .1 score=75.4 code_exact=0 base_exact=1 donor=[unresolved] || 2006:SPRING ST_ COMMUNITY CENTER .1 score=75.4 code_exact=0 base_exact=1 donor=VTD2010-121-5 || 2002:SPRING ST_ COMMUNITY CENTER .2 score=72.1 code_exact=0 base_exact=1 donor=[unresolved] || 2002:SPRING ST_ COMMUNITY CENTER .3 score=72.1 code_exact=0 base_exact=1 donor=[unresolved] || 2006:SPRING ST_ COMMUNITY CENTER .2 score=72.1 code_exact=0 base_exact=1 donor=[unresolved],"SPRING SAINT COMMUNITY CENTER, TALLADEGA County, Alabama","Talladega County Community Education Center score=83.93 type=POI county=Talladega County lon=-86.196779 lat=33.319056 || Community Rd, Talladega, Alabama, 35160 score=83.54 type=StreetName county=Talladega County lon=-86.073381996748 lat=33.514468012617 || Talladega County, Alabama score=78.33 type=Locality county=Talladega County lon=-86.165902662344 lat=33.38008401821",,,SPRING SAINT COMMUNITY CENTER,SPRING SAINT COMMUNITY CENTER,2000,,,unmatched_name,31,15,overflow,0,False,1,0
9,True,PCT-B2EA733C8378,1994,SHELBY,VALLEYDALE BAPTIST,2011.0,2011.0,2026.0,31,True,none,house-40|senate-14,False,1,1,VTD2000-117-5,So Shades Crest Baptist Church,85.5,32.300000000000004,,2002:VALLEYDALE BAPTIST CHURCH .1 score=90.0 code_exact=0 base_exact=0 donor=VTD2000-117-12 || 2002:VALLEYDALE BAPTIST CHURCH .2 score=90.0 code_exact=0 base_exact=0 donor=VTD2000-117-12 || 2002:FIRST BAPTIST CHURCH BOX 1 .1 score=85.5 code_exact=0 base_exact=0 donor=VTD2000-117-1 || 2002:FIRST BAPTIST CHURCH BOX 1 .2 score=85.5 code_exact=0 base_exact=0 donor=VTD2000-117-1 || 2002:MEADOWBROOK BAPTIST CHURCH .1 score=85.5 code_exact=0 base_exact=0 donor=VTD2000-117-12,"VALLEYDALE BAPTIST, SHELBY County, Alabama","Valleydale Baptist Church score=94.84 type=POI county=Shelby County lon=-86.764685 lat=33.367072 || Valleydale Rd, Birmingham, Alabama, 35242 score=86.67 type=StreetName county=Shelby County lon=-86.724303980999 lat=33.389258503287 || Valleydale Rd, Birmingham, Alabama, 35242 score=86.67 type=StreetName county=Shelby County lon=-86.698313664508 lat=33.416559003533",,,VALLEYDALE BAPTIST,VALLEYDALE BAPTIST,2000,,,unmatched_name,39,22,overflow,0,False,4,0
10,True,PCT-5CF72FCD2D03,1994,SHELBY,ALABASTER HALL ANNEX,1962.0,1962.0,1984.0,31,True,none,house-40|senate-14,False,1,1,VTD2000-117-15,American Legion Hall,52.25,4.75,1998:033 ALABASTER score=80.9 conf=medium rel=one_to_one_candidate,2002:ALABASTER CITY HALL ANNEX .1 score=95.0 code_exact=0 base_exact=0 donor=[unresolved] || 2002:ALABASTER CITY HALL ANNEX .2 score=95.0 code_exact=0 base_exact=0 donor=[unresolved] || 2002:ALABASTER CITY HALL ANNEX .3 score=95.0 code_exact=0 base_exact=0 donor=[unresolved] || 1998:033 ALABASTER score=85.5 code_exact=0 base_exact=0 donor=[unresolved],"ALABASTER HALL ANNEX, SHELBY County, Alabama","Alabaster Blvd, Alabaster, Alabama, 35007 score=89.01 type=StreetName county=Shelby County lon=-86.79582352356 lat=33.238651432363 || Alabaster Gdns, Alabaster, Alabama, 35007 score=89.01 type=StreetName county=Shelby County lon=-86.824188675769 lat=33.245644888381 || Alabaster City Hall score=85.24 type=POI county=Shelby County lon=-86.825846 lat=33.232814",,,ALABASTER HALL ANNEX,ALABASTER HALL ANNEX,2000,,,unmatched_name,39,22,overflow,0,False,4,0
