feature,component_1_loading,component_2_loading
issue__abortion_access,-0.30235796106515994,-0.08677391112928502
issue__anti_discrimination,-0.11759247416677554,0.02039135347963561
issue__business_subsidy,-0.05173815114428337,-0.052909206665393504
issue__childcare_support,2.7755575615628914e-17,0.0
issue__civil_social_liberty,-0.30357204417196554,-0.11885088021598578
issue__criminal_punishment,0.26940405110285964,-0.045218850628344576
issue__education_access,-0.13088864934186017,0.25317502039748047
issue__education_accountability,2.168404344971009e-19,0.0
issue__education_market_choice,0.04450086851858857,-0.2638362439943577
issue__education_public_funding,-0.06742755226028775,0.28410148503275895
issue__environmental_protection,-0.28086555028118904,0.05716046432170011
issue__government_ethics_transparency,-0.1413304073975387,0.29593376665592763
issue__gun_access,0.18551798335806446,0.08706580146067686
issue__gun_purchase_regulation,-0.2175081892860554,0.2519190673650314
issue__healthcare_access,-0.01681361268408786,0.35552769982084403
issue__labor_capital_alignment,-0.13661559248503366,0.13662403456321726
issue__labor_rights,1.0097419586828951e-28,0.0
issue__market_governance,-0.3260886038413178,-0.1649399290177749
issue__marriage_equality,-0.14285617591156224,0.29092039336204006
issue__public_employee_compensation,0.03652997321197382,0.11721624449085764
issue__public_spending,-0.0,0.0
issue__racial_civil_rights,-0.0678885857353197,-0.10053143907746348
issue__religion_state,0.051420813380308815,-0.17102546368490687
issue__renewable_energy_support,-0.122541389911812,0.0526386703542039
issue__tax_burden,0.10624012511702774,0.17135777570242894
issue__voting_access,0.10677148268240537,0.11203304317927926
issue__welfare_conditionality,0.019343082435942918,-0.12622825684794128
issue__welfare_generosity,-0.1029021213746202,0.4034677178758518
ideal_point,0.32456707118016836,0.11629176008891644
party_loyalty_rate,-0.3061023880382071,-0.1256440688016392
cross_party_voting_rate,0.3480095508329757,0.18454993006786868
