bill_id,session_year,session_name,bill_number,title,description,rollcalls,mapped_rollcalls,current_axes,current_poles,authorities,taxonomy_warning,review_priority,text_documents,documents_present
1461946,2021,Regular Session 2021,SB249,"Call centers, certain terms further defined, to require employers relocating call centers to notify Secretary of Commerce Dept. rather than the Dept. of Economic and Community Affairs director, Act 2019-374, 2019 Reg. Sess., am'd; Sec. 41-23-230, 41-23-231, 41-23-235 am'd.","Call centers, certain terms further defined, to require employers relocating call centers to notify Secretary of Commerce Dept. rather than the Dept. of Economic and Community Affairs director, Act 2019-374, 2019 Reg. Sess., am'd; Sec. 41-23-230, 41-23-231, 41-23-235 am'd.",4,0,,,prior_v3_audit,,4,2,2
1405075,2021,Regular Session 2021,SB25,"Insurance Dept., Motor Vehicle Protection Products Act, fees deposited in Insurance Dept. Fund, expense related to exam by commissioner, paid by company examined, Sec. 8-33-14 added.","Insurance Dept., Motor Vehicle Protection Products Act, fees deposited in Insurance Dept. Fund, expense related to exam by commissioner, paid by company examined, Sec. 8-33-14 added.",4,0,,,prior_v3_audit,,4,2,2
1462149,2021,Regular Session 2021,SB250,"Elmore Co., constable, office abolished","Elmore Co., constable, office abolished",4,0,,,prior_v3_audit,,4,2,2
1462023,2021,Regular Session 2021,SB251,"Elmore Co., alcoholic beverages, draft or keg beer, sale authorized","Elmore Co., alcoholic beverages, draft or keg beer, sale authorized",4,0,,,prior_v3_audit,,4,2,2
1462319,2021,Regular Session 2021,SB252,"Elmore County, co. engineer, terms of employment by co. commission, provisions for employment at will deleted, Sec. 45-26-130 am'd.","Elmore County, co. engineer, terms of employment by co. commission, provisions for employment at will deleted, Sec. 45-26-130 am'd.",4,0,,,prior_v3_audit,,4,2,2
1462272,2021,Regular Session 2021,SB254,"Redevelopment Authorities, qualification for directors, Sec. 11-54A-7 am'd.","Redevelopment Authorities, qualification for directors, Sec. 11-54A-7 am'd.",2,0,,,prior_v3_audit,,4,1,1
1462136,2021,Regular Session 2021,SB256,"Motor vehicles, authorized volunteer firefighter vehicles, authorized to be equipped with emergency lights, certain operating privileges, provided, Sec. 32-5A-7.1 added.","Motor vehicles, authorized volunteer firefighter vehicles, authorized to be equipped with emergency lights, certain operating privileges, provided, Sec. 32-5A-7.1 added.",2,0,,,prior_v3_audit,,4,1,1
1462302,2021,Regular Session 2021,SB258,"Driver license, to provide additional circumstances in which an expert witness may give expert testimony, provide for add'l chemical tests that may be used to determine if a person was driving under the influence, to provide for who can draw blood, provide that a witness may provide testimony on the results of horizontal gaze nystagmus test, Secs. 12-21-160, 32-5-192, 32-5-200, 32-5A-194, 32-5A-300, 32-5A-301, 32-5A-302, 32-5A-303, 32-5A-304, 32-5A-306, 32-5A-307, 32-5A-308, 32-6-49.13 am'd.","Driver license, to provide additional circumstances in which an expert witness may give expert testimony, provide for add'l chemical tests that may be used to determine if a person was driving under the influence, to provide for who can draw blood, provide that a witness may provide testimony on the results of horizontal gaze nystagmus test, Secs. 12-21-160, 32-5-192, 32-5-200, 32-5A-194, 32-5A-300, 32-5A-301, 32-5A-302, 32-5A-303, 32-5A-304, 32-5A-306, 32-5A-307, 32-5A-308, 32-6-49.13 am'd.",5,0,,,prior_v3_audit,,4,3,3
1404771,2021,Regular Session 2021,SB26,"Insurance, property and casualty insurers, appointed actuary to provide annual opinion, exemption from insurance regulator in state where insurer domiciled, Sec. 27-3-26.1 am'd.","Insurance, property and casualty insurers, appointed actuary to provide annual opinion, exemption from insurance regulator in state where insurer domiciled, Sec. 27-3-26.1 am'd.",5,0,,,prior_v3_audit,,4,3,3
1461999,2021,Regular Session 2021,SB260,"Public contracts, competitive bids, further provided, local preference zone, further provided, Sec. 41-16-50 am'd.","Public contracts, competitive bids, further provided, local preference zone, further provided, Sec. 41-16-50 am'd.",2,0,,,prior_v3_audit,,4,1,1
1462259,2021,Regular Session 2021,SB261,"Design professionals, including architects, landscape architects, surveyors, engineers, or geologists, contracts for professional services of, required indemnification provisions in contracts for liability of third party prohibited","Design professionals, including architects, landscape architects, surveyors, engineers, or geologists, contracts for professional services of, required indemnification provisions in contracts for liability of third party prohibited",6,0,,,prior_v3_audit,,4,3,3
