bill_id,session_year,session_name,bill_number,title,description,rollcalls,mapped_rollcalls,current_axes,current_poles,authorities,taxonomy_warning,review_priority,text_documents,documents_present
552086,2013,Regular Session 2013,HR475,"Wheeles, Mike, death mourned","Wheeles, Mike, death mourned",0,0,,,,,5,1,1
552127,2013,Regular Session 2013,HR478,"Norwood, Dr. William McKinley, 75th Anniversary as a servant of the ministry, commended","Norwood, Dr. William McKinley, 75th Anniversary as a servant of the ministry, commended",0,0,,,,,5,1,1
552102,2013,Regular Session 2013,HR479,"Davis, Mildred Hall, death mourned","Davis, Mildred Hall, death mourned",0,0,,,,,5,1,1
499214,2013,Regular Session 2013,HR48,"Ritch, Joe H., commended","Ritch, Joe H., commended",0,0,,,,,5,1,1
552099,2013,Regular Session 2013,HR480,"Gwin Elementary School of Hoover, commended","Gwin Elementary School of Hoover, commended",0,0,,,,,5,1,1
552104,2013,Regular Session 2013,HR481,"Kelley, Al, City of Millbrook, commended","Kelley, Al, City of Millbrook, commended",0,0,,,,,5,1,1
552073,2013,Regular Session 2013,HR483,"Gibson, Thomas J., commended","Gibson, Thomas J., commended",0,0,,,,,5,1,1
552097,2013,Regular Session 2013,HR485,"Champion, Chandler Marie, selected Miss Leeds Area 2013, commended","Champion, Chandler Marie, selected Miss Leeds Area 2013, commended",0,0,,,,,5,1,1
552136,2013,Regular Session 2013,HR486,"Lioce, Lori, commended","Lioce, Lori, commended",0,0,,,,,5,1,1
554436,2013,Regular Session 2013,HR488,"Shea, George Beverly, death mourned","Shea, George Beverly, death mourned",0,0,,,,,5,1,1
554434,2013,Regular Session 2013,HR489,"Scott, Louise V., death mourned","Scott, Louise V., death mourned",0,0,,,,,5,1,1
554476,2013,Regular Session 2013,HR490,"Holdsambeck, Minnie Joyce, death mourned","Holdsambeck, Minnie Joyce, death mourned",0,0,,,,,5,1,1
554457,2013,Regular Session 2013,HR491,"Ward, Alfred E., death mourned","Ward, Alfred E., death mourned",0,0,,,,,5,1,1
