bill_id,session_year,session_name,bill_number,title,description,rollcalls,mapped_rollcalls,current_axes,current_poles,authorities,taxonomy_warning,review_priority,text_documents,documents_present
884517,2016,First Special Session 2016,HB29,"Alabama Lottery and Alabama Lottery Corporation estab., gaming regulated at racetracks where pari-mutuel wagering currently legal, state gross receipts tax and local gross receipts tax levied, tax on vendors of gaming equipment levied, disposition of proceeds provided, Alabama Lottery and Gaming Commission created to regulate and administer gaming, Governor authorized to negotiate a compact with Poarch Band of Indians, constitutional amendment","Alabama Lottery and Alabama Lottery Corporation estab., gaming regulated at racetracks where pari-mutuel wagering currently legal, state gross receipts tax and local gross receipts tax levied, tax on vendors of gaming equipment levied, disposition of proceeds provided, Alabama Lottery and Gaming Commission created to regulate and administer gaming, Governor authorized to negotiate a compact with Poarch Band of Indians, constitutional amendment",0,0,,,,,5,1,1
855462,2016,Regular Session 2016,HB290,"Medicaid fraud, crime of further provided for, statutes of limitations revised for certain fraudulent activity, Sec. 22-1-11 am'd.","Medicaid fraud, crime of further provided for, statutes of limitations revised for certain fraudulent activity, Sec. 22-1-11 am'd.",0,0,,,,,5,1,1
855639,2016,Regular Session 2016,HB291,"Consumers and consumer protection, protection of data containing personal information, notification of breach of to Attorney General and consumers required, disposal of records, civil penalty","Consumers and consumer protection, protection of data containing personal information, notification of breach of to Attorney General and consumers required, disposal of records, civil penalty",0,0,,,,,5,1,1
855509,2016,Regular Session 2016,HB292,"Fraudulent claims, treble damages for persons filing false claims, civil penalties, Attorney General required to investigate and initiate civil actions, retaliatory action by employers prohibited, limitation of actions, Medicaid False Claims Act","Fraudulent claims, treble damages for persons filing false claims, civil penalties, Attorney General required to investigate and initiate civil actions, retaliatory action by employers prohibited, limitation of actions, Medicaid False Claims Act",0,0,,,,,5,1,1
855489,2016,Regular Session 2016,HB295,"Discrimination in wages, prohib., retaliation against employee who brings charge of wage discrimination, prohib., penalties","Discrimination in wages, prohib., retaliation against employee who brings charge of wage discrimination, prohib., penalties",0,0,,,,,5,1,1
855470,2016,Regular Session 2016,HB296,"Deferred Presentment Services Act repealed, short-term cash advance loans, prohibited, Secs. 5-18A-1 to 5-18A-22, inclusive, repealed","Deferred Presentment Services Act repealed, short-term cash advance loans, prohibited, Secs. 5-18A-1 to 5-18A-22, inclusive, repealed",0,0,,,,,5,1,1
855609,2016,Regular Session 2016,HB297,"Banks and Banking, deferred presentment services further regulated, Secs. 5-18A-3, 5-18A-12, 5-18A-13 am'd.","Banks and Banking, deferred presentment services further regulated, Secs. 5-18A-3, 5-18A-12, 5-18A-13 am'd.",0,0,,,,,5,1,1
855527,2016,Regular Session 2016,HB298,"Ephedrine, pseudoephedrine, and phenylpropanolamine, State Board of Health required to classify as controlled substances, exemptions, removed from list of precursor chemicals maintained by State Board of Pharmacy, Secs. 20-2-20, 20-2-181 am'd.","Ephedrine, pseudoephedrine, and phenylpropanolamine, State Board of Health required to classify as controlled substances, exemptions, removed from list of precursor chemicals maintained by State Board of Pharmacy, Secs. 20-2-20, 20-2-181 am'd.",0,0,,,,,5,1,1
855692,2016,Regular Session 2016,HB299,"Local boards of education prohibited from adopting or enforcing zero tolerance policy relating to drugs, alcohol, weapons, physical harm to a person, or threatened physical harm to a person, punishment on case-by-case basis, Secs. 16-1-24.1, 16-1-24.3 am'd.","Local boards of education prohibited from adopting or enforcing zero tolerance policy relating to drugs, alcohol, weapons, physical harm to a person, or threatened physical harm to a person, punishment on case-by-case basis, Secs. 16-1-24.1, 16-1-24.3 am'd.",0,0,,,,,5,1,1
812068,2016,Regular Session 2016,HB3,"Monuments, Alabama Heritage Preservation Act, prohibit removal, alteration, or other disturbance of any statue or monument located on public property, exempt Transportation Department","Monuments, Alabama Heritage Preservation Act, prohibit removal, alteration, or other disturbance of any statue or monument located on public property, exempt Transportation Department",0,0,,,,,5,1,1
855598,2016,Regular Session 2016,HB300,"Personhood, defined to include humans from moment of fertilization, const. amend.","Personhood, defined to include humans from moment of fertilization, const. amend.",0,0,,,,,5,1,1
