bill_id,session_year,session_name,bill_number,title,description,rollcalls,mapped_rollcalls,current_axes,current_poles,authorities,taxonomy_warning,review_priority,text_documents,documents_present
1851222,2024,Regular Session 2024,HJR49,"Agent Billy Clardy III Memorial Mile,  named","Agent Billy Clardy III Memorial Mile,  named",0,0,,,,,5,2,2
1840152,2024,Regular Session 2024,HJR5,"Easton Fothergill, commended","Easton Fothergill, commended",0,0,,,,,5,1,1
1851146,2024,Regular Session 2024,HJR50,Proclaiming Space Day in Alabama,Proclaiming Space Day in Alabama,0,0,,,,,5,2,2
1852516,2024,Regular Session 2024,HJR54,"Dr. Sharon Malone, Commending","Dr. Sharon Malone, Commending",0,0,,,,,5,2,2
1852578,2024,Regular Session 2024,HJR55,House joint rule amended; fiscal note to identify bills that will increase certain combined local expenditures in order to implement,House joint rule amended; fiscal note to identify bills that will increase certain combined local expenditures in order to implement,0,0,,,,,5,2,2
1852851,2024,Regular Session 2024,HJR57,"Emma Robinson, 110th Birthday, commended","Emma Robinson, 110th Birthday, commended",0,0,,,,,5,2,2
1840076,2024,Regular Session 2024,HJR6,"Hollis Isbell, 2024 Auburn University College of Agriculture Hall of Honor inductee, commended","Hollis Isbell, 2024 Auburn University College of Agriculture Hall of Honor inductee, commended",0,0,,,,,5,2,2
1855185,2024,Regular Session 2024,HJR66,Urging the Legislature of the State of Alabama to declare a moratorium on capital punishment executions.,Urging the Legislature of the State of Alabama to declare a moratorium on capital punishment executions.,0,0,,,,,5,1,1
1855469,2024,Regular Session 2024,HJR67,"Central High School Football Team, commended","Central High School Football Team, commended",0,0,,,,,5,2,2
1855484,2024,Regular Session 2024,HJR69,"Adam Russell and Marc Gann, bridge named","Adam Russell and Marc Gann, bridge named",0,0,,,,,5,2,2
1838769,2024,Regular Session 2024,HJR7,"McGill Toolen Catholic High School Volleyball Team, Commending","McGill Toolen Catholic High School Volleyball Team, Commending",0,0,,,,,5,2,2
1855558,2024,Regular Session 2024,HJR72,"James Alvin ""Jim"" Littleton, death mourned","James Alvin ""Jim"" Littleton, death mourned",0,0,,,,,5,2,2
1855659,2024,Regular Session 2024,HJR74,"Captain Marion Bullock, commended","Captain Marion Bullock, commended",0,0,,,,,5,2,2
1859725,2024,Regular Session 2024,HJR85,"State entities, encouraged to hire and advance individuals with disabilities","State entities, encouraged to hire and advance individuals with disabilities",0,0,,,,,5,2,2
1859927,2024,Regular Session 2024,HJR89,"Tuskegee Airmen, celebrated","Tuskegee Airmen, celebrated",0,0,,,,,5,1,1
1860768,2024,Regular Session 2024,HJR97,"Joe R. Carothers Highway,  named","Joe R. Carothers Highway,  named",0,0,,,,,5,2,2
1838738,2024,Regular Session 2024,HR1,"House of Representatives, Senate notified that House is in session and ready to transact business","House of Representatives, Senate notified that House is in session and ready to transact business",0,0,,,,,5,1,1
1838669,2024,Regular Session 2024,HR10,"Stomping Out ALS Day, recognized","Stomping Out ALS Day, recognized",0,0,,,,,5,1,1
