bill_id,session_year,session_name,bill_number,title,description,rollcalls,mapped_rollcalls,current_axes,current_poles,authorities,taxonomy_warning,review_priority,text_documents,documents_present
1767787,2023,Regular Session 2023,HR230,CONGRATULATING THE APPALACHIAN HIGH SCHOOL BASEBALL TEAM FOR WINNING THE 2023 ALABAMA HIGH SCHOOL ATHLETIC ASSOCIATION CLASS 1A STATE BASEBALL CHAMPIONSHIP.,CONGRATULATING THE APPALACHIAN HIGH SCHOOL BASEBALL TEAM FOR WINNING THE 2023 ALABAMA HIGH SCHOOL ATHLETIC ASSOCIATION CLASS 1A STATE BASEBALL CHAMPIONSHIP.,0,0,,,,,5,1,1
1767801,2023,Regular Session 2023,HR235,RECOGNIZING THE 2023 NAVY SEAL FOUNDATION NEW YORK CITY SEAL SWIM.,RECOGNIZING THE 2023 NAVY SEAL FOUNDATION NEW YORK CITY SEAL SWIM.,0,0,,,,,5,1,1
1767800,2023,Regular Session 2023,HR236,MOURNING THE DEATH OF WILLIAM ALEXANDER CHATTMAN-EADY.,MOURNING THE DEATH OF WILLIAM ALEXANDER CHATTMAN-EADY.,0,0,,,,,5,1,1
1768115,2023,Regular Session 2023,HR237,SPECIAL ORDER CALENDAR,SPECIAL ORDER CALENDAR,0,0,,,,,5,1,1
1768082,2023,Regular Session 2023,HR239,COMMENDING ANNA STUART DAWSON FOR HER OUTSTANDING HIGH SCHOOL SOFTBALL CAREER.,COMMENDING ANNA STUART DAWSON FOR HER OUTSTANDING HIGH SCHOOL SOFTBALL CAREER.,0,0,,,,,5,1,1
1768072,2023,Regular Session 2023,HR240,COMMENDING CATER2COPS FOR MAKING A POSITIVE IMPACT ON POLICE OFFICERS AND THEIR FAMILIES.,COMMENDING CATER2COPS FOR MAKING A POSITIVE IMPACT ON POLICE OFFICERS AND THEIR FAMILIES.,0,0,,,,,5,1,1
1768095,2023,Regular Session 2023,HR241,HONORING MRS. SANDRA ANNETTE TUBBS GREENE ON THE OCCASION OF HER 60TH BIRTHDAY.,HONORING MRS. SANDRA ANNETTE TUBBS GREENE ON THE OCCASION OF HER 60TH BIRTHDAY.,0,0,,,,,5,1,1
1768194,2023,Regular Session 2023,HR246,SPECIAL ORDER CALENDAR,SPECIAL ORDER CALENDAR,0,0,,,,,5,1,1
1768326,2023,Regular Session 2023,HR247,MOURNING THE DEATH OF ATTORNEY CAROLYN DIANE GAINES- VARNER.,MOURNING THE DEATH OF ATTORNEY CAROLYN DIANE GAINES- VARNER.,0,0,,,,,5,1,1
1768633,2023,Regular Session 2023,HR249,CONGRATULATING THE HALEYVILLE HIGH SCHOOL GOLF TEAM FOR WINNING THE 2023 ALABAMA HIGH SCHOOL ATHLETIC ASSOCIATION CLASS 4A GOLF STATE CHAMPIONSHIP.,CONGRATULATING THE HALEYVILLE HIGH SCHOOL GOLF TEAM FOR WINNING THE 2023 ALABAMA HIGH SCHOOL ATHLETIC ASSOCIATION CLASS 4A GOLF STATE CHAMPIONSHIP.,0,0,,,,,5,1,1
