bill_id,session_year,session_name,bill_number,title,description,rollcalls,mapped_rollcalls,current_axes,current_poles,authorities,taxonomy_warning,review_priority,text_documents,documents_present
524085,2013,Regular Session 2013,HB381,"Cullman Co., municipalities, contracting with sheriff for police services authorized, funding by municipality","Cullman Co., municipalities, contracting with sheriff for police services authorized, funding by municipality",3,0,,,codex_terminal_rule,,4,2,2
524053,2013,Regular Session 2013,HB383,"Emergencies, broadcasters, radio, t.v., and cable, emergency response broadcasters, training and certification by Homeland Security Department, access to facilities to repair and restart broadcasting during emergencies","Emergencies, broadcasters, radio, t.v., and cable, emergency response broadcasters, training and certification by Homeland Security Department, access to facilities to repair and restart broadcasting during emergencies",2,0,,,prior_v3_audit,,4,1,1
473237,2013,Regular Session 2013,HB39,"Burglary in the second degree, requirement that dwelling-house be lawfully occupied, removed, Sec. 13A-7-6 am'd.","Burglary in the second degree, requirement that dwelling-house be lawfully occupied, removed, Sec. 13A-7-6 am'd.",3,0,,,prior_v3_audit,,4,2,2
524402,2013,Regular Session 2013,HB390,"Marshall Co., local laws providing action by House and Senate delegation, construed to mean districts representing great numbers of residents of Marshall Co.","Marshall Co., local laws providing action by House and Senate delegation, construed to mean districts representing great numbers of residents of Marshall Co.",2,0,,,prior_v3_audit,,4,2,2
526106,2013,Regular Session 2013,HB392,"Planning and zoning, military land use planning, municipalities and counties, military installation, consideration of the effect of land use plan on, municipalities required to consider in master plan, Sec. 11-52-8 am'd.; Secs. 11-106-1 to 11-106-5, inclusive, added","Planning and zoning, military land use planning, municipalities and counties, military installation, consideration of the effect of land use plan on, municipalities required to consider in master plan, Sec. 11-52-8 am'd.; Secs. 11-106-1 to 11-106-5, inclusive, added",4,0,,,codex_terminal_rule|prior_v3_audit,,4,2,2
526134,2013,Regular Session 2013,HB394,"Trusts, Principal and Income Act, apportionment between income and remainder beneficiaries, conversions of trust to unitrust provided for, Secs. 19-3A-102, 19-3A-103, 19-3A-104, 19-3A-409 am'd.; Secs. 19-3A-105, 19-3A-106, 19-3A-608 added","Trusts, Principal and Income Act, apportionment between income and remainder beneficiaries, conversions of trust to unitrust provided for, Secs. 19-3A-102, 19-3A-103, 19-3A-104, 19-3A-409 am'd.; Secs. 19-3A-105, 19-3A-106, 19-3A-608 added",3,0,,,prior_v3_audit,,4,3,3
526148,2013,Regular Session 2013,HB395,"Alabama Cyber Technology Authority created, membership, powers, dissolution","Alabama Cyber Technology Authority created, membership, powers, dissolution",3,0,,,prior_v3_audit,,4,1,1
526164,2013,Regular Session 2013,HB396,"Family law, collaborative law agreements authorized, process requirements, confidential communications, Uniform Collaborative Law Act","Family law, collaborative law agreements authorized, process requirements, confidential communications, Uniform Collaborative Law Act",2,0,,,prior_v3_audit,,4,2,2
526179,2013,Regular Session 2013,HB397,"State employees, Chief Executive Officer of the State Employees Insurance Board may approve group insurance offerings","State employees, Chief Executive Officer of the State Employees Insurance Board may approve group insurance offerings",1,0,,,prior_v3_audit,,4,1,1
526205,2013,Regular Session 2013,HB399,"Electronic fund transfers, remittance transfer, Uniform Commercial Code applicable if transfer governed by Electronic Fund Transfer Act of 1978, exception, Sec. 7-4A-108 am'd.","Electronic fund transfers, remittance transfer, Uniform Commercial Code applicable if transfer governed by Electronic Fund Transfer Act of 1978, exception, Sec. 7-4A-108 am'd.",3,0,,,prior_v3_audit,,4,3,3
