bill_id,session_year,session_name,bill_number,title,description,rollcalls,mapped_rollcalls,current_axes,current_poles,authorities,taxonomy_warning,review_priority,text_documents,documents_present
1336558,2020,Regular Session 2020,HR31,"James, William, commended","James, William, commended",0,0,,,,,5,1,1
1338421,2020,Regular Session 2020,HR32,"Turner, Goeffrey Dylan, death mourned","Turner, Goeffrey Dylan, death mourned",0,0,,,,,5,1,1
1338559,2020,Regular Session 2020,HR33,"Rogers, Chris, commended","Rogers, Chris, commended",0,0,,,,,5,1,1
1338395,2020,Regular Session 2020,HR34,"Oakes, Michael, commended","Oakes, Michael, commended",0,0,,,,,5,1,1
1338129,2020,Regular Session 2020,HR35,"Doty, William, commended","Doty, William, commended",0,0,,,,,5,1,1
1342464,2020,Regular Session 2020,HR38,"Wood, Lindsey, commended","Wood, Lindsey, commended",0,0,,,,,5,1,1
1328736,2020,Regular Session 2020,HR4,"Wyckoff, Harry Lee, Jr., death mourned","Wyckoff, Harry Lee, Jr., death mourned",0,0,,,,,5,1,1
1342599,2020,Regular Session 2020,HR42,"Small, Frederick L., commended","Small, Frederick L., commended",0,0,,,,,5,1,1
1342649,2020,Regular Session 2020,HR43,"Sparkman High School Varsity Cheerleaders, commended","Sparkman High School Varsity Cheerleaders, commended",0,0,,,,,5,1,1
1344615,2020,Regular Session 2020,HR46,"First responders of Scottsboro and Jackson County, commended","First responders of Scottsboro and Jackson County, commended",0,0,,,,,5,1,1
1328824,2020,Regular Session 2020,HR5,"Anderson, John Paul, death mourned","Anderson, John Paul, death mourned",0,0,,,,,5,1,1
1344909,2020,Regular Session 2020,HR51,"Gardner, Ruble Ray, commended","Gardner, Ruble Ray, commended",0,0,,,,,5,1,1
1344854,2020,Regular Session 2020,HR52,"Gynecologic Cancer Awareness Day, recognized","Gynecologic Cancer Awareness Day, recognized",0,0,,,,,5,1,1
1345056,2020,Regular Session 2020,HR53,"Key, Junior, death mourned","Key, Junior, death mourned",0,0,,,,,5,1,1
1349125,2020,Regular Session 2020,HR59,"New Hope No. 1 Church in Thomasville, commended","New Hope No. 1 Church in Thomasville, commended",0,0,,,,,5,1,1
1328926,2020,Regular Session 2020,HR6,"Commemoration of the anniversary of ""Bloody Sunday"" and the Selma-To-Montgomery March, recognized","Commemoration of the anniversary of ""Bloody Sunday"" and the Selma-To-Montgomery March, recognized",0,0,,,,,5,1,1
1350240,2020,Regular Session 2020,HR61,"Lawrence, Victor B., commended","Lawrence, Victor B., commended",0,0,,,,,5,1,1
1349184,2020,Regular Session 2020,HR62,"Taylor, Jon M., commended","Taylor, Jon M., commended",0,0,,,,,5,1,1
1349233,2020,Regular Session 2020,HR63,"Necklaus, Gene, commended","Necklaus, Gene, commended",0,0,,,,,5,1,1
1349359,2020,Regular Session 2020,HR65,"Griffies, Sophie, commended","Griffies, Sophie, commended",0,0,,,,,5,1,1
1349593,2020,Regular Session 2020,HR66,"Wright, Terry, commended","Wright, Terry, commended",0,0,,,,,5,1,1
1352239,2020,Regular Session 2020,HR68,"Meek High School Band, commended","Meek High School Band, commended",0,0,,,,,5,1,1
1328545,2020,Regular Session 2020,HR7,"Permanency for children in foster care, encouraged","Permanency for children in foster care, encouraged",0,0,,,,,5,1,1
1352187,2020,Regular Session 2020,HR72,"House of Representatives, Special Order Calendar","House of Representatives, Special Order Calendar",0,0,,,,,5,0,0
1352231,2020,Regular Session 2020,HR73,"Gagliardo, Michael R., commended","Gagliardo, Michael R., commended",0,0,,,,,5,1,1
1355064,2020,Regular Session 2020,HR74,"House of Representatives, Special Order Calendar","House of Representatives, Special Order Calendar",0,0,,,,,5,0,0
1354979,2020,Regular Session 2020,HR76,"Pisgah High School Girls Basketball Team, commended","Pisgah High School Girls Basketball Team, commended",0,0,,,,,5,1,1
1354963,2020,Regular Session 2020,HR77,"White, Marie Alexandria Poiroux Wilson, commended","White, Marie Alexandria Poiroux Wilson, commended",0,0,,,,,5,1,1
1328518,2020,Regular Session 2020,HR8,"House of Representatives, Senate notified that House is in session and ready to transact business","House of Representatives, Senate notified that House is in session and ready to transact business",0,0,,,,,5,1,1
1355122,2020,Regular Session 2020,HR81,"Cystinuria Awareness Day, June 24, 2020, recognized","Cystinuria Awareness Day, June 24, 2020, recognized",0,0,,,,,5,1,1
1354999,2020,Regular Session 2020,HR82,"Collinsville High School Girls Basketball Team, commended","Collinsville High School Girls Basketball Team, commended",0,0,,,,,5,1,1
1356169,2020,Regular Session 2020,HR83,"Gordon, John Ray, commended","Gordon, John Ray, commended",0,0,,,,,5,1,1
