cycle,chamber,district,nonwhite_share,college_share,white_college_share,demographics_method,dem_incumbent,rep_incumbent,finance_complete,log_resource_ratio_d_to_r,pres_1992_dem_margin,pres_1992_fallback_share,pres_1992_source_complete
1994,house,1,0.184473259507423,0.19500229151493043,0.2102270558024268,1990_sf3_tract_area_interpolation_provisional,1.0,0.0,0.0,,0.023478015884642177,0.780555830981541,True
1994,house,2,0.0438768470839872,0.13987276056663886,0.1414730585396077,1990_sf3_tract_area_interpolation_provisional,1.0,0.0,0.0,,6.815985840530946,0.7930151024811218,True
1994,house,3,0.20046613930163126,0.13079487787527153,0.14037857015377497,1990_sf3_tract_area_interpolation_provisional,0.0,0.0,0.0,,19.327169702401036,0.2732876374574683,True
1994,house,4,0.13209926248345594,0.27800322039785913,0.29585403771765484,1990_sf3_tract_area_interpolation_provisional,0.0,0.0,0.0,,-15.774621307005514,0.6013639631772824,True
1994,house,5,0.12509408747258166,0.14499873560090334,0.15514168438234407,1990_sf3_tract_area_interpolation_provisional,1.0,0.0,0.0,,-12.35177548683175,0.706446041562204,True
1994,house,6,0.18777253932930482,0.30831424370327665,0.312181783404524,1990_sf3_tract_area_interpolation_provisional,0.0,0.0,0.0,,-23.055286917299718,0.37397420867526376,True
1994,house,7,0.17620944490355794,0.06621854309950352,0.06581733047710972,1990_sf3_tract_area_interpolation_provisional,1.0,0.0,0.0,,15.794245841577089,0.4058138392073735,True
1994,house,8,0.18062531942642512,0.15179545008755235,0.1657186974971238,1990_sf3_tract_area_interpolation_provisional,0.0,0.0,0.0,,-16.541311801791835,1.0000000000000002,True
1994,house,9,0.09523768652089382,0.13811765849908944,0.14384269604070868,1990_sf3_tract_area_interpolation_provisional,0.0,0.0,0.0,,-16.54131180179183,1.0,True
1994,house,10,0.1040120555970756,0.43856156142525066,0.4407583581668863,1990_sf3_tract_area_interpolation_provisional,0.0,0.0,0.0,,-29.014447494295297,0.3739742086752637,True
1994,house,11,0.009087171241068615,0.07935594387224025,0.07939186861943359,1990_sf3_tract_area_interpolation_provisional,1.0,0.0,0.0,,-16.80163292040459,0.7962409295625298,True
1994,house,12,0.017360808481982182,0.07867530804640495,0.07911585408247096,1990_sf3_tract_area_interpolation_provisional,0.0,1.0,0.0,,-15.310655898706926,0.6314053575738074,True
1994,house,13,0.07612133718959557,0.09608277394840412,0.09810006792761823,1990_sf3_tract_area_interpolation_provisional,1.0,0.0,0.0,,13.508342262360323,1.0,True
1994,house,14,0.05468577915450412,0.09577062778427368,0.0963192937177875,1990_sf3_tract_area_interpolation_provisional,0.0,0.0,0.0,,5.641426139820719,0.8946243771764808,True
1994,house,15,0.08724443756374711,0.19093026493617812,0.19689513347265636,1990_sf3_tract_area_interpolation_provisional,0.0,1.0,0.0,,-18.043910357655257,0.6070087473288176,True
1994,house,16,0.15779895770106855,0.07223520945919705,0.07945497524691655,1990_sf3_tract_area_interpolation_provisional,0.0,0.0,0.0,,-0.4111176152578306,0.9351623509077309,True
1994,house,17,0.027993913286828986,0.0594004084432883,0.059367379002733166,1990_sf3_tract_area_interpolation_provisional,1.0,0.0,0.0,,-5.164061471836247,0.9475331963647687,True
1994,house,18,0.060245468346065256,0.06804680679295683,0.06828414815366997,1990_sf3_tract_area_interpolation_provisional,1.0,0.0,0.0,,14.555691530389765,0.2185573766664182,True
1994,house,19,0.5822432722233701,0.23097988510051307,0.24914305133289044,1990_sf3_tract_area_interpolation_provisional,0.0,1.0,0.0,,23.6438976760469,0.37397420867526376,True
1994,house,20,0.105999244198556,0.39256560643373983,0.40187983436645963,1990_sf3_tract_area_interpolation_provisional,0.0,1.0,0.0,,-24.085357340811296,0.3739742086752638,True
1994,house,21,0.29550533009957936,0.19047327904301323,0.19237602092471276,1990_sf3_tract_area_interpolation_provisional,0.0,0.0,0.0,,-5.326160510746496,0.3739742086752638,True
1994,house,22,0.08054640163654159,0.09471167039643764,0.0945906243959877,1990_sf3_tract_area_interpolation_provisional,0.0,0.0,0.0,,2.340150499940595,0.29792589054153296,True
1994,house,23,0.0620076918185789,0.09153141903215273,0.09108745709338151,1990_sf3_tract_area_interpolation_provisional,0.0,0.0,0.0,,27.916706681352235,0.11958090218959783,True
1994,house,24,0.02203822182689774,0.07785101338777262,0.07761329370478771,1990_sf3_tract_area_interpolation_provisional,1.0,0.0,0.0,,-12.69070704152108,0.7914090812193562,True
1994,house,25,0.024976546465819816,0.12083177348372634,0.12183551781988637,1990_sf3_tract_area_interpolation_provisional,0.0,0.0,0.0,,-8.86828753126826,0.5566828407587119,True
1994,house,26,0.01635094060448694,0.09248619817578309,0.09249853908697875,1990_sf3_tract_area_interpolation_provisional,1.0,0.0,0.0,,-6.321686525113438,0.7482731878822813,True
1994,house,27,0.02534050144110711,0.0702342765645864,0.07075664890105811,1990_sf3_tract_area_interpolation_provisional,0.0,0.0,0.0,,-24.093608103388053,0.8305972755850507,True
1994,house,28,0.1790767445845025,0.08046978675870127,0.08105201749309777,1990_sf3_tract_area_interpolation_provisional,1.0,0.0,0.0,,8.37462221263277,0.30963161419959817,True
1994,house,29,0.21294385516012193,0.08482808099866894,0.09405013255195702,1990_sf3_tract_area_interpolation_provisional,0.0,0.0,0.0,,14.816197418308027,0.30963161419959817,True
1994,house,30,0.04935562249878622,0.11909377659562112,0.12038470245834769,1990_sf3_tract_area_interpolation_provisional,0.0,0.0,0.0,,-21.84224415232079,0.735114606212787,True
1994,house,31,0.25091888994279077,0.10135187672118416,0.1195078508114672,1990_sf3_tract_area_interpolation_provisional,1.0,0.0,0.0,,-19.3402576879423,0.47561608938460836,True
1994,house,32,0.512084417035285,0.07440698277781757,0.07615289284086896,1990_sf3_tract_area_interpolation_provisional,0.0,0.0,0.0,,16.849555134393572,0.6203878519797174,False
1994,house,33,0.2673194400836547,0.10513901968613425,0.12018324661836445,1990_sf3_tract_area_interpolation_provisional,0.0,0.0,0.0,,,,False
1994,house,34,0.09389194154402392,0.15846446495697047,0.15789140542038627,1990_sf3_tract_area_interpolation_provisional,1.0,0.0,0.0,,-11.045433036260672,0.6203878519797172,True
1994,house,35,0.17316629882579704,0.10351839019044727,0.10747708769287397,1990_sf3_tract_area_interpolation_provisional,0.0,0.0,0.0,,-19.232914048672026,0.6203878519797175,False
1994,house,36,0.18051037901439482,0.18336889693674138,0.19530978798896464,1990_sf3_tract_area_interpolation_provisional,1.0,0.0,0.0,,-17.471320278235673,0.6203878519797174,True
1994,house,37,0.28268417868473716,0.08143079217454582,0.09337903986191753,1990_sf3_tract_area_interpolation_provisional,1.0,0.0,0.0,,-8.697015914795609,0.8413946706888873,True
1994,house,38,0.25018547834255167,0.10194401417340473,0.1181661241781998,1990_sf3_tract_area_interpolation_provisional,1.0,0.0,0.0,,-1.9528959312521403,0.37666048645316297,True
