bill_id,session_year,bill_number,reviewed_document_type,decision,primitive_axes,policy_poles,confidence,rationale,reviewer,review_date,supersedes_authority
299382,2011,SB309,official_synopsis,map,public_employee_compensation,reduce,high,"Raises service requirements and shifts retiree health-premium costs toward later retirees; this is a direct reduction in public-employee compensation, not a generic spending vote.",frontier_manual_review,2026-08-17,small_model
300106,2011,SB419,official_synopsis,map,public_employee_compensation,reduce,high,"Raises service requirements and shifts PEEHIP retiree premium costs toward education retirees. The prior labor-rights label confused employee compensation with collective-bargaining power.",frontier_manual_review,2026-08-17,small_model
520754,2013,SB286,official_synopsis,multi_axis,"gun_access;self_defense","expand;expand",high,"Broad firearms-preemption, vehicle-possession, permit, and defensive-force measure. Its principal effect expands gun access and constrains local regulation; the defensive-force provision independently broadens self-defense authority.",frontier_manual_review,2026-08-17,small_model
834755,2016,HB45,official_synopsis,map,abortion_access,restrict,high,"Regulates disposition and use of fetal remains and prohibits specified research or transfer. This belongs under abortion and fetal-personhood policy, with a restrictive direction.",frontier_manual_review,2026-08-17,small_model
947158,2017,HB95,official_synopsis,multi_axis,"religion_state;abortion_access","accommodation_establishment;restrict",medium,"Creates a broad conscience refusal right for health-care providers. It expands religious accommodation and can restrict practical access to services including reproductive care; the second effect should be retained only where the enacted exceptions confirm that scope.",frontier_manual_review,2026-08-17,small_model
947461,2017,HB96,official_synopsis,map,bioethics_end_of_life,restrictive,high,"Creates civil and criminal prohibitions on assisted suicide. This is a direct restrictive end-of-life-policy vote and should not be generalized to unrelated criminal punishment.",frontier_manual_review,2026-08-17,small_model
1101910,2018,HB490,official_synopsis,local_non_generalizable,market_governance,market_autonomy,high,"Allows narrowly supervised emergency or incidental interpreting in public schools. Although it relaxes one licensing rule, the exception is too narrow and operational to support a general market-autonomy score.",frontier_manual_review,2026-08-17,small_model
1057149,2018,SB159,official_synopsis,map,labor_rights,restrict,medium,"Requires equal school access for professional educators' associations, weakening exclusive or preferential access by the incumbent education association. The labor-direction inference is plausible but indirect because the synopsis does not identify bargaining or dues rights.",frontier_manual_review,2026-08-17,small_model
1250323,2019,HB380,official_synopsis,multi_axis,"criminal_punishment;institutional_executive_power","punitive;expand_executive",high,"Tightens parole consideration and restructures appointment and oversight of the parole board. It is both a punitive parole measure and a transfer of institutional authority toward the Governor and Attorney General.",frontier_manual_review,2026-08-17,small_model
1445941,2021,SB221,official_synopsis,map,criminal_punishment,rehabilitative,high,"Creates senior rehabilitation offices and an interagency reintegration commission. The stated institutional purpose directly favors rehabilitation and reentry.",frontier_manual_review,2026-08-17,small_model
1586808,2022,HB322,official_synopsis,multi_axis,"christian_sexual_morality;education_curriculum_control","traditionalist;restrict_instruction",high,"Requires sex-designated school facilities and limits early-grade instruction on sexual orientation or gender identity. The former public-school-funding label was substantively wrong.",frontier_manual_review,2026-08-17,small_model
1744754,2023,HB131,official_synopsis,map,criminal_punishment,punitive,high,"Makes a prisoner charged with a new unresolved offense ineligible for parole. This restricts parole eligibility and is punitive, the opposite of the prior rehabilitative label.",frontier_manual_review,2026-08-17,small_model
1685332,2023,SB1,official_synopsis,map,criminal_punishment,punitive,high,"Reduces correctional incentive time, slows progression to favorable classifications, and expands forfeiture. These provisions directly increase time served and punitive control.",frontier_manual_review,2026-08-17,small_model
1754857,2023,SB198,downloaded_bill_text,mixed_no_scalar_direction,criminal_punishment,mixed,high,"The measure combines broader presumptive-guideline coverage and judicial discretion for lower felonies with altered inchoate-offense penalties. Those provisions do not support a single punitive-versus-reform scalar direction; retain the vote as mixed rather than forcing it punitive.",frontier_manual_review,2026-08-17,small_model
1871952,2024,SB322,official_synopsis,mixed_no_scalar_direction,"corrections_administration;institutional_oversight",mixed,high,"Renames and restructures corrections leadership while expanding oversight-committee duties. Administrative reorganization and oversight are not themselves evidence of a rehabilitative sentencing position.",frontier_manual_review,2026-08-17,small_model
2021701,2025,SB305,official_synopsis,map,education_public_funding,expand,high,"Creates needs-weighted additional funding for public schools. This is a direct expansion of public-school investment.",frontier_manual_review,2026-08-17,small_model
2079856,2026,HB239,official_synopsis,multi_axis,"education_public_funding;public_employee_compensation","expand;expand",high,"Provides a teacher pay raise and retiree longevity bonus. It expands education appropriations and compensation for public education employees.",frontier_manual_review,2026-08-17,small_model
1839515,2024,HB130,official_synopsis,multi_axis,"christian_sexual_morality;education_curriculum_control","traditionalist;restrict_instruction",high,"Prohibits public-school instruction about sexual orientation and gender identity. It is a traditionalist sexuality-policy measure implemented through state curriculum control, not a generic civil-liberty or racial-civil-rights vote.",frontier_manual_review,2026-08-17,rule_based_v3
1965457,2025,HB244,official_synopsis,multi_axis,"christian_sexual_morality;education_curriculum_control","traditionalist;restrict_instruction",high,"Restricts school discussion and expression concerning gender identity and sexual orientation and requires sex-conforming pronoun usage. It directly combines traditionalist sexuality policy with curricular and employee-speech restrictions.",frontier_manual_review,2026-08-17,rule_based_v3
1956049,2025,SB79,official_synopsis,map,christian_sexual_morality,traditionalist,high,"Defines sex as male or female for vital statistics and declares state policy rejecting gender-identity-based classifications. This is a direct traditionalist sex-and-gender policy measure, not a generic civil-social-liberty vote.",frontier_manual_review,2026-08-17,rule_based_v3
96500,2010,HB260,official_synopsis,map,tax_targeted_employment_incentive,expand,high,"Creates an employer income-tax deduction for hiring people receiving or exhausting unemployment benefits. This is a targeted employment subsidy delivered through the tax code, not evidence for a general preference to reduce income taxes.",frontier_manual_review,2026-08-17,rule_based_v3
291567,2011,HB117,official_synopsis,map,tax_targeted_employment_incentive,expand,high,"Creates a narrowly targeted municipal income-tax credit for employers hiring minors during non-school hours. The incidence is on qualifying employers and the purpose is youth employment, not broad personal-income-tax relief.",frontier_manual_review,2026-08-17,rule_based_v3
298318,2011,HB230,official_synopsis,map,tax_targeted_employment_incentive,expand,high,"Authorizes employer tax credits conditioned on job creation. This is targeted economic-development policy rather than a general corporate-tax-rate position.",frontier_manual_review,2026-08-17,rule_based_v3
291525,2011,HB61,official_synopsis,multi_axis,"tax_employee_health_relief;tax_employer_health_incentive","expand;expand",high,"Allows qualifying employees and employers to deduct health-insurance premiums. Benefits flow to insured workers and sponsoring employers, so it should not be collapsed into either personal or corporate taxation alone.",frontier_manual_review,2026-08-17,rule_based_v3
299919,2011,SB395,official_synopsis,multi_axis,"tax_property_resilience_incentive;insurance_transparency","expand;expand",high,"Creates a residential retrofit deduction and makes homeowners-insurance filings public. It combines targeted household resilience relief with insurance-market transparency rather than expressing a broad property-tax position.",frontier_manual_review,2026-08-17,rule_based_v3
333316,2011,SB515,official_synopsis,map,tax_healthcare_provider_relief,expand,medium,"Authorizes a one-year income-tax deduction for Medicaid providers contingent on an agency rule change. It is targeted provider relief and may be tied to Medicaid financing mechanics; the synopsis is insufficient for a broader fiscal-ideology inference.",frontier_manual_review,2026-08-17,rule_based_v3
387773,2012,HB140,official_synopsis,map,tax_targeted_development_incentive,expand,high,"Extends carryforward treatment for tax credits awarded to qualifying job-creating projects. This expands targeted development subsidies rather than cutting the generally applicable business tax rate.",frontier_manual_review,2026-08-17,rule_based_v3
394346,2012,HB257,official_synopsis,map,tax_community_investment_incentive,expand,high,"Creates an investment credit for businesses in impoverished and low-income communities. The policy is geographically targeted community-development subsidy, not a generic business-tax reduction.",frontier_manual_review,2026-08-17,rule_based_v3
397982,2012,HB328,official_synopsis,map,tax_agricultural_investment_incentive,expand,high,"Creates an agricultural income-tax credit for irrigation and water infrastructure. This is targeted rural and agricultural investment policy, not evidence about general income-tax levels.",frontier_manual_review,2026-08-17,rule_based_v3
