canonical_candidate_id,people_id,member_display_name,identity_status,source_url,notes
AL-2010-senate-14-R-CAM-WARD,3405,Robert Ward,verified_identity,https://birminghamwatch.org/2018/10/31/cam-ward/,Cam Ward is the ballot and public name of legislator Robert Ward; he moved from the House to Senate District 14 in 2010.
AL-2014-senate-14-R-CAM-WARD,3405,Robert Ward,verified_identity,https://birminghamwatch.org/2018/10/31/cam-ward/,Same stable officeholder identity as the reviewed 2018 Senate profile.
AL-2018-senate-14-R-CAM-WARD,3405,Robert Ward,verified_identity,https://birminghamwatch.org/2018/10/31/cam-ward/,Contemporaneous voter guide identifies Cam Ward as the Senate District 14 incumbent.
AL-2010-senate-28-D-BILLY-BEASLEY,3386,William Beasley,verified_identity,https://www.wsfa.com/story/27173768/decision-2014-savage-challenges-beasley-for-senate-district-28/,Billy Beasley is William Martin Beasley and moved from the House to Senate District 28 in 2010.
AL-2018-senate-28-D-BILLY-BEASLEY,3386,William Beasley,verified_identity,https://www.wsfa.com/story/27173768/decision-2014-savage-challenges-beasley-for-senate-district-28/,Same stable Senate District 28 incumbent identity as the reviewed 2014 race.
AL-2018-house-2-R-LYNN-GREER,12488,Lynn Greer,verified_identity,https://media.al.com/news_impact/other/Huntsville%20Times%202018%20midterm%20guide.pdf,Contemporaneous voter guide identifies Lynn Greer as the House District 2 incumbent; Bayless is part of his legal name.
AL-2018-senate-6-D-JOHNNY-MACK-MORROW,3402,Johnny Morrow,verified_identity,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2018RS/PrintFiles/HJR333-Int.pdf,Official legislative resolution establishes Johnny Mack Morrow's House identity before his 2018 Senate candidacy.
AL-2010-house-63-R-BILL-POOLE,12530,William Poole,verified_identity,https://archives.alabama.gov/findaids/v9636_GOV_ServeAla_201305.pdf,State profile identifies Bill Poole III as the House District 63 member first elected in 2010; LegiScan stores William Poole.
AL-2010-house-13-R-BILL-ROBERTS,12487,William Roberts,verified_identity,https://ballotpedia.org/Bill_Roberts,Accepted race and district profile identifies Bill Roberts as the House District 13 legislator stored by LegiScan as William Roberts.
AL-2010-senate-22-D-MARC-KEAHEY,3485,George Keahey,verified_identity,https://ballotpedia.org/Marc_Keahey,Accepted race profile and the canonical 2006 full name George M. Marc Keahey establish the Senate District 22 identity.
