bill_id,session_year,bill_number,reviewed_document_type,decision,primitive_axes,policy_poles,confidence,rationale,reviewer,review_date,supersedes_authority
1003365,2017,SJR68,official_synopsis,procedural,,,high,The bill establishes a commission to study railway safety without enacting a substantive policy direction.,gpt-5.6-luna,2026-09-08,frontier_manual_review
1003366,2017,SB345,official_synopsis,procedural,,,medium,The measure authorizes county agricultural authorities and sets their powers and loan authority without a clear statewide ideological policy direction.,gpt-5.6-luna,2026-09-08,frontier_manual_review
1003367,2017,HR238,official_synopsis,symbolic,,,high,The resolution mourns the death of a named individual and is non-binding.,gpt-5.6-luna,2026-09-08,frontier_manual_review
1003368,2017,HJR211,official_synopsis,symbolic,,,high,The resolution mourns the death of a named individual and is non-binding.,gpt-5.6-luna,2026-09-08,frontier_manual_review
1003369,2017,HB458,official_synopsis,local_non_generalizable,,,high,The bill concerns compensation for court reporters in Blount County’s Forty-first Judicial Circuit.,gpt-5.6-luna,2026-09-08,frontier_manual_review
1003370,2017,SJR69,official_synopsis,symbolic,,,high,The resolution commends a named individual and is purely ceremonial.,gpt-5.6-luna,2026-09-08,frontier_manual_review
1003371,2017,HR227,official_synopsis,symbolic,,,high,The resolution mourns the death of a named individual and is non-binding.,gpt-5.6-luna,2026-09-08,frontier_manual_review
1003372,2017,SB342,official_synopsis,procedural,,,medium,The measure establishes legal procedures and conditions for cultural institutions to claim abandoned property.,gpt-5.6-luna,2026-09-08,frontier_manual_review
1003373,2017,HJR240,official_synopsis,symbolic,,,high,The resolution commends a named individual and is purely ceremonial.,gpt-5.6-luna,2026-09-08,frontier_manual_review
1003374,2017,HJR244,official_synopsis,symbolic,,,high,The resolution commends a named school team for its achievement and is non-binding.,gpt-5.6-luna,2026-09-08,frontier_manual_review
1003375,2017,HB447,official_synopsis,local_non_generalizable,,,high,The bill changes sales-tax distribution specifically for Randolph County.,gpt-5.6-luna,2026-09-08,frontier_manual_review
1003376,2017,HB440,official_synopsis,map,market_governance,intervention,high,"The bill requires state regulation and licensing of youth residential facilities, including private faith-based providers.",gpt-5.6-luna,2026-09-08,frontier_manual_review
1003377,2017,HB446,official_synopsis,procedural,,,high,The bill changes the court assignment procedure for grandparent-visitation actions without clearly changing the underlying policy right.,gpt-5.6-luna,2026-09-08,frontier_manual_review
1003378,2017,HR243,official_synopsis,symbolic,,,high,The resolution commends a named individual and is purely ceremonial.,gpt-5.6-luna,2026-09-08,frontier_manual_review
1003379,2017,HB461,official_synopsis,local_non_generalizable,,,high,The measure alters the corporate limits of Gulf Shores.,gpt-5.6-luna,2026-09-08,frontier_manual_review
1003380,2017,HR215,official_synopsis,symbolic,,,high,The resolution commends a named individual and is purely ceremonial.,gpt-5.6-luna,2026-09-08,frontier_manual_review
1003381,2017,HB463,official_synopsis,map,education_accountability,strengthen,medium,"The bill subjects charter schools to the same laws, rules, policies, and procedures as other public schools, strengthening accountability requirements.",gpt-5.6-luna,2026-09-08,frontier_manual_review
1003382,2017,HR217,official_synopsis,symbolic,,,high,The resolution commends a named high school team and is purely ceremonial.,gpt-5.6-luna,2026-09-08,frontier_manual_review
1003383,2017,HB443,official_synopsis,map,police_authority,expand,medium,The bill expands mandatory reporting of specified injuries and illnesses to police or other law enforcement authorities.,gpt-5.6-luna,2026-09-08,frontier_manual_review
1003384,2017,HB451,official_synopsis,local_non_generalizable,,,high,The bill concerns court costs and shelter funding specifically in Jackson County.,gpt-5.6-luna,2026-09-08,frontier_manual_review
1003385,2017,SB354,official_synopsis,multi_axis,public_employee_compensation;labor_rights,reduce;restrict,medium,Removing paid administrative leave and discipline requirements for school employees charged with specified crimes reduces employment protections and related compensation.,gpt-5.6-luna,2026-09-08,frontier_manual_review
1003386,2017,SB343,official_synopsis,procedural,,,high,The bill primarily makes professional-licensing terminology and qualification changes without a clear statewide ideological policy pole.,gpt-5.6-luna,2026-09-08,frontier_manual_review
1003387,2017,SJR70,official_synopsis,symbolic,,,high,The resolution honors a named individual and is purely ceremonial.,gpt-5.6-luna,2026-09-08,frontier_manual_review
1003388,2017,HR224,official_synopsis,symbolic,,,high,This measure mourns an individual's death and has no binding policy effect.,gpt-5.6-luna,2026-09-08,frontier_manual_review
1003389,2017,HB449,official_synopsis,local_non_generalizable,,,high,The measure alters the corporate limits of Phenix City.,gpt-5.6-luna,2026-09-08,frontier_manual_review
1003390,2017,HJR209,official_synopsis,symbolic,,,high,This measure commends Alabama State University and the Honey Bee'z without changing policy.,gpt-5.6-luna,2026-09-08,frontier_manual_review
1003391,2017,HR239,official_synopsis,symbolic,,,high,This measure mourns an individual's death and has no binding policy effect.,gpt-5.6-luna,2026-09-08,frontier_manual_review
1003392,2017,SB350,official_synopsis,local_non_generalizable,,,high,The measure alters the corporate limits of Epes.,gpt-5.6-luna,2026-09-08,frontier_manual_review
1003393,2017,HR220,official_synopsis,symbolic,,,high,This measure commends an individual without changing policy.,gpt-5.6-luna,2026-09-08,frontier_manual_review
1003394,2017,SB349,official_synopsis,map,market_governance,market_autonomy,medium,Expanding licensure exemptions reduces occupational regulatory barriers for prosthetists and orthotists.,gpt-5.6-luna,2026-09-08,frontier_manual_review
1003395,2017,HR221,official_synopsis,symbolic,,,high,This measure commends a school jump-rope team without changing policy.,gpt-5.6-luna,2026-09-08,frontier_manual_review
1003396,2017,HR225,official_synopsis,symbolic,,,high,This measure commends an individual without changing policy.,gpt-5.6-luna,2026-09-08,frontier_manual_review
1003397,2017,SB348,official_synopsis,procedural,,,high,This measure assigns grandparent-visitation actions within the court system without establishing a clear ideological policy direction.,gpt-5.6-luna,2026-09-08,frontier_manual_review
1003398,2017,SJR72,official_synopsis,symbolic,,,high,This measure commends Troy University's men's basketball team without changing policy.,gpt-5.6-luna,2026-09-08,frontier_manual_review
1003399,2017,SJR71,official_synopsis,symbolic,,,high,This measure commends Troy University's women's basketball team without changing policy.,gpt-5.6-luna,2026-09-08,frontier_manual_review
1003400,2017,HJR210,official_synopsis,symbolic,,,high,This measure commends an individual without changing policy.,gpt-5.6-luna,2026-09-08,frontier_manual_review
1003401,2017,SB351,official_synopsis,local_non_generalizable,,,high,The bill authorizes Sunday alcohol sales specifically in Hale County.,gpt-5.6-luna,2026-09-08,frontier_manual_review
1003402,2017,HB441,official_synopsis,map,tax_burden,decrease,high,This measure limits when municipalities may impose business license taxes on home health and hospice agencies.,gpt-5.6-luna,2026-09-08,frontier_manual_review
1003403,2017,SB344,official_synopsis,map,due_process,strengthen,high,Requiring release on unsecured appearance bonds or personal recognizance strengthens pretrial liberty protections.,gpt-5.6-luna,2026-09-08,frontier_manual_review
1003404,2017,HR242,official_synopsis,symbolic,,,high,This measure commends an individual without changing policy.,gpt-5.6-luna,2026-09-08,frontier_manual_review
1003405,2017,SB352,official_synopsis,map,market_governance,market_autonomy,medium,Authorizing entertainment districts to serve alcohol in broader designated areas expands permitted commercial activity.,gpt-5.6-luna,2026-09-08,frontier_manual_review
1003406,2017,HR230,official_synopsis,symbolic,,,high,This measure mourns an individual's death and has no binding policy effect.,gpt-5.6-luna,2026-09-08,frontier_manual_review
1003407,2017,HR226,official_synopsis,symbolic,,,high,This measure commends an individual without changing policy.,gpt-5.6-luna,2026-09-08,frontier_manual_review
1003408,2017,HJR212,official_synopsis,symbolic,,,high,This measure mourns an individual's death and has no binding policy effect.,gpt-5.6-luna,2026-09-08,frontier_manual_review
1003409,2017,HR233,official_synopsis,symbolic,,,high,The measure mourns the death of a named individual and is non-binding.,gpt-5.6-luna,2026-09-08,frontier_manual_review
1003410,2017,HJR208,official_synopsis,symbolic,,,high,The resolution commends a named high school basketball team.,gpt-5.6-luna,2026-09-08,frontier_manual_review
1003411,2017,HB439,official_synopsis,local_non_generalizable,,,high,The bill concerns court costs and sheriff service fees specifically in Pickens County.,gpt-5.6-luna,2026-09-08,frontier_manual_review
