chamber,district,specification,environment_baseline_margin,adjustment_vs_basic_100,incumbency_balance,national_swing,prior_pres_margin,swing_x_nonwhite,swing_x_white_college,dem_probability_calibrated,probability_specification
house,2,cmo_expectation__blend20,-57.407573467116535,0.363953061227663,0.0,,-57.407573467116535,,,0.0067866791587838276,spline_margin_incumbency
house,4,cmo_expectation__blend20,-24.791242979355523,-0.5910351877651081,0.0,,-24.791242979355523,,,0.016796192163181258,spline_margin_incumbency
house,5,cmo_expectation__blend20,-36.03695437225931,0.0651612881468096,0.0,,-36.03695437225931,,,0.008656824502948858,spline_margin_incumbency
house,8,cmo_expectation__blend20,-19.397969064172862,0.4026471530607537,0.0,,-19.397969064172862,,,0.03094356757644392,spline_margin_incumbency
house,10,cmo_expectation__blend20,8.359666179388844,-0.7288841529642085,0.0,,8.359666179388844,,,0.9284291493572364,spline_margin_incumbency
house,15,cmo_expectation__blend20,-7.55331587471824,-0.4099590101557055,0.0,,-7.55331587471824,,,0.20109309499865635,spline_margin_incumbency
house,16,cmo_expectation__blend20,-66.37566461434083,0.9247281014010736,0.0,,-66.37566461434083,,,0.005935419615631938,spline_margin_incumbency
house,19,cmo_expectation__blend20,41.12266570962331,-0.2758038282275649,0.0,,41.12266570962331,,,0.9968606380610571,spline_margin_incumbency
house,20,cmo_expectation__blend20,-16.831525061764765,-1.0414820058155283,0.0,,-16.831525061764765,,,0.04405027489909321,spline_margin_incumbency
house,21,cmo_expectation__blend20,-10.879276749401132,-0.4314489130087907,0.0,,-10.879276749401132,,,0.1135364405184492,spline_margin_incumbency
house,25,cmo_expectation__blend20,2.613273628284694,-1.0793644468682828,0.0,,2.613273628284694,,,0.7582922974998556,spline_margin_incumbency
house,28,cmo_expectation__blend20,-17.508270991871846,0.5560416842032879,0.0,,-17.508270991871846,,,0.039985989705571004,spline_margin_incumbency
house,32,cmo_expectation__blend20,10.975868994144031,0.350487932963307,0.0,,10.975868994144031,,,0.9578788112039013,spline_margin_incumbency
house,37,cmo_expectation__blend20,-36.67547204852686,0.3073428149981559,0.0,,-36.67547204852686,,,0.008550868344117049,spline_margin_incumbency
house,38,cmo_expectation__blend20,-33.67010724333964,0.7971864448483142,0.0,,-33.67010724333964,,,0.009279770198017234,spline_margin_incumbency
house,40,cmo_expectation__blend20,-53.360858532390274,0.473379248437476,0.0,,-53.360858532390274,,,0.00715764851790166,spline_margin_incumbency
house,41,cmo_expectation__blend20,-37.62383022849344,0.239447900041673,0.0,,-37.62383022849344,,,0.008438371122459199,spline_margin_incumbency
house,43,cmo_expectation__blend20,-35.5197517110871,-1.2310119128208017,0.0,,-35.5197517110871,,,0.008761152111164471,spline_margin_incumbency
house,45,cmo_expectation__blend20,-35.16130437506881,-0.4001514400887707,0.0,,-35.16130437506881,,,0.008843491927991607,spline_margin_incumbency
