file,class,linked_by,producer,upstream,bytes_match,mtime,embedded_run_id,proposal
docs/data/2026_sld_demographics.csv,active,index.html (embedded source ledger),scripts/build_2026_forecast_dashboard.py,data/processed/demographics/2026_sld_demographics.csv (built by scripts/build_2026_demographics.py),True,2026-08-14T23:51:12Z,none,keep
docs/data/alabama_historical_war_release_card.md,active,cmo-methodology.html,scripts/build_war_story_page.py,project_docs/audits/ALABAMA_HISTORICAL_WAR_RELEASE_CARD_2026_09_11.md,True,2026-09-11T15:56:57Z,AL-HIST-WAR-V1-44F191EB8D939EF062CC; RUN-DFB1D093D7594AB68A264292050E924D; RUN-504CE4C4DF904D88A5A40D268F3FCEAB; RUN-70A750C82BEC43D686E5F4B1FE13461C,keep
docs/data/alabama_historical_war_v1_candidate_cycle_war.csv,active,cmo.html; cmo-methodology.html,scripts/build_war_story_page.py,data/processed/war/alabama_historical_war_v1/candidate_cycle_war.csv,True,2026-09-11T15:52:53Z,AL-HIST-WAR-V1-44F191EB8D939EF062CC,keep
docs/data/alabama_historical_war_v1_coverage.csv,active,cmo.html; cmo-methodology.html,scripts/build_war_story_page.py,data/processed/war/alabama_historical_war_v1/coverage.csv,True,2026-09-11T15:52:53Z,AL-HIST-WAR-V1-44F191EB8D939EF062CC,keep
docs/data/alabama_historical_war_v1_manifest.json,active,cmo.html; cmo-methodology.html,scripts/build_war_story_page.py,data/processed/war/alabama_historical_war_v1/manifest.json,True,2026-09-11T15:52:53Z,AL-HIST-WAR-V1-44F191EB8D939EF062CC; source WAR-POST2016-V3-530FBD4238CC483E557C; warehouse RUN-504CE4C4DF904D88A5A40D268F3FCEAB,keep
docs/data/alabama_historical_war_v1_race_war.csv,active,cmo.html; cmo-methodology.html,scripts/build_war_story_page.py,data/processed/war/alabama_historical_war_v1/race_war.csv,True,2026-09-11T15:52:53Z,AL-HIST-WAR-V1-44F191EB8D939EF062CC,keep
docs/data/alabama_historical_war_v1_structural_coefficients.csv,active,cmo.html; cmo-methodology.html,scripts/build_war_story_page.py,data/processed/war/alabama_historical_war_v1/structural_coefficients.csv,True,2026-09-11T15:52:53Z,AL-HIST-WAR-V1-44F191EB8D939EF062CC,keep
docs/data/alabama_war_forecast_v1_2026_scenarios.csv,active,index.html (href + embedded ledger); methodology.html,scripts/build_2026_forecast_dashboard.py,data/processed/forecast_calibration/alabama_war_forecast_v1_2026_scenarios.csv,True,2026-09-11T14:27:39Z,build 368bb272a990ff436e56 in manifest; warehouse RUN-504CE4C4DF904D88A5A40D268F3FCEAB,keep
docs/data/alabama_war_forecast_v1_forward_metrics.csv,active,index.html (href + embedded ledger); methodology.html,scripts/build_2026_forecast_dashboard.py; scripts/build_war_story_page.py,data/processed/forecast_calibration/alabama_war_forecast_v1_forward_metrics.csv,True,2026-09-11T14:27:39Z,build 368bb272a990ff436e56 in manifest; warehouse RUN-504CE4C4DF904D88A5A40D268F3FCEAB,keep
docs/data/alabama_war_forecast_v1_forward_predictions.csv,active,methodology.html,scripts/build_2026_forecast_dashboard.py,data/processed/forecast_calibration/alabama_war_forecast_v1_forward_predictions.csv,True,2026-09-11T14:27:39Z,build 368bb272a990ff436e56 in manifest; warehouse RUN-504CE4C4DF904D88A5A40D268F3FCEAB,keep
