cycle,chamber,district,regional_features_available,region_auburn_city_share,region_birmingham_city_share,region_birmingham_educated_suburbs_share,region_black_belt_share,region_huntsville_city_share,region_madison_county_remainder_share,region_madison_city_share,region_mobile_city_share,region_other_alabama_share,region_shelby_county_remainder_share,region_tuscaloosa_city_share
2018,house,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,house,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,house,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,house,4,1,0.0,0.0,0.0,0.0,0.19809477216293822,0.0,0.0,0.0,0.8019052278370618,0.0,0.0
2018,house,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,house,6,1,0.0,0.0,0.0,0.0,0.1976411358035126,0.41304366594308417,0.0,0.0,0.3893151982534032,0.0,0.0
2018,house,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,house,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,house,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,house,10,1,0.0,0.0,0.0,0.0,0.2881984474475919,0.2586070523222294,0.4531945002301787,0.0,0.0,0.0,0.0
2018,house,11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,house,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,house,13,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,house,14,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,house,15,1,0.0,0.0,0.1598690910681137,0.0,0.0,0.0,0.0,0.0,0.70973351292838,0.13039739600350633,0.0
2018,house,16,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,house,17,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,house,18,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,house,19,1,0.0,0.0,0.0,0.0,0.5961093341824353,0.4038906658175646,0.0,0.0,0.0,0.0,0.0
2018,house,20,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,house,21,1,0.0,0.0,0.0,0.0,0.39881930909144037,0.6011806909085595,0.0,0.0,0.0,0.0,0.0
2018,house,22,1,0.0,0.0,0.0,0.0,0.04421151773704147,0.7707358186567326,0.0,0.0,0.18505266360622583,0.0,0.0
2018,house,23,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,house,24,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,house,25,1,0.0,0.0,0.0,0.0,0.2127056818449173,0.18468022741317247,0.2762720430600684,0.0,0.3263420476818418,0.0,0.0
2018,house,26,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,house,27,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,house,28,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,house,29,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,house,30,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,house,31,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,house,32,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
