cycle,chamber,district,precinct_district_rows,max_absolute_weight_change,mean_absolute_weight_change,county_fallback_rows,allocation_sensitivity_flag
2014,house,2.0,41,1.0,0.5017368902122362,33,True
2014,house,3.0,49,1.0,0.40878092927692145,37,True
2014,house,7.0,66,1.0,0.27677014132435374,51,True
2014,house,13.0,51,1.0,0.48921556588150705,47,True
2014,house,14.0,299,1.0,0.12204395617339345,123,True
2014,house,16.0,288,1.0,0.10647924637908378,112,True
2014,house,17.0,59,1.0,0.41264892719387547,42,True
2014,house,18.0,70,1.0,0.3354472097879089,63,True
2014,house,29.0,95,1.0,0.25128163903048595,88,True
2014,house,33.0,51,1.0,0.4260662560926701,42,True
2014,house,34.0,213,1.0,0.12375830580908538,202,True
2014,house,35.0,95,1.0,0.3275533745130798,77,True
2014,house,37.0,77,1.0,0.4862183934853198,68,True
2014,house,39.0,101,1.0,0.17675295317494458,94,True
2014,house,42.0,79,1.0,0.16229493587110186,69,True
2014,house,45.0,222,1.0,0.11994059355943194,209,True
2014,house,49.0,64,1.0,0.2652947600112646,59,True
2014,house,53.0,191,1.0,0.09635262178917854,176,True
2014,house,61.0,77,1.0,0.2760196873490979,77,True
2014,house,65.0,104,1.0,0.36912132833530287,86,True
2014,house,67.0,39,1.0,0.18944239415745,31,True
2014,house,69.0,128,1.0,0.19175234550515008,101,True
2014,house,71.0,132,1.0,0.33804537956226516,111,True
2014,house,72.0,77,1.0,0.2847993397019565,64,True
2014,house,73.0,130,1.0,0.2540923373329809,112,True
2014,house,81.0,66,1.0,0.21649653352987122,53,True
2014,house,82.0,65,1.0,0.20770975210081694,58,True
2014,house,90.0,92,1.0,0.28327406268327077,73,True
2014,house,91.0,31,1.0,0.21468992806230885,31,True
2014,house,92.0,65,1.0,0.2156247105890577,57,True
2014,senate,1.0,100,1.0,0.6367405452781443,70,True
2014,senate,4.0,114,1.0,0.21666898467691975,102,True
2014,senate,5.0,328,1.0,0.21469019852379118,299,True
2014,senate,6.0,207,1.0,0.5873163666751796,192,True
2014,senate,8.0,166,1.0,0.13176918776009267,166,True
2014,senate,10.0,72,1.0,0.2316781797020002,60,True
2014,senate,11.0,155,1.0,0.44237144049238364,121,True
2014,senate,12.0,100,1.0,0.36032034857629475,82,True
2014,senate,13.0,134,1.0,0.20531198170035544,134,True
2014,senate,14.0,261,1.0,0.1687301095088227,255,True
2014,senate,15.0,237,1.0,0.2683983577436414,225,True
2014,senate,21.0,120,1.0,0.5310530182200643,93,True
2014,senate,22.0,413,1.0,0.22239835925179616,413,True
2014,senate,23.0,261,1.0,0.3239249250477543,231,True
2014,senate,24.0,202,1.0,0.3845245470496792,185,True
2014,senate,25.0,162,1.0,0.5149681113299468,142,True
2014,senate,27.0,72,1.0,0.3114252098297787,72,True
2014,senate,30.0,173,1.0,0.7143571025946847,143,True
2014,senate,31.0,143,1.0,0.3497448210334938,108,True
2018,house,7.0,76,1.0,0.1798928827551071,53,True
2018,house,14.0,108,1.0,0.11898895746057853,76,True
2018,house,17.0,57,1.0,0.1779029928011057,20,True
2018,house,26.0,74,1.0,0.2096431995356457,65,True
2018,house,27.0,87,1.0,0.1279692838735021,68,True
2018,house,32.0,72,1.0,0.33520488835194817,69,True
2018,house,33.0,51,1.0,0.3365719578255687,42,True
2018,house,35.0,84,1.0,0.20625260089352637,75,True
2018,house,38.0,26,1.0,0.22258795394353278,8,True
2018,house,57.0,74,1.0,0.12266712996269581,58,True
2018,house,60.0,76,1.0,0.11388977029633456,58,True
2018,house,67.0,43,1.0,0.13200623571696452,15,True
2018,house,68.0,96,1.0,0.27439501836815194,60,True
2018,house,69.0,113,1.0,0.10357422623244893,87,True
2018,house,72.0,60,1.0,0.17695859331510444,19,True
2018,house,83.0,31,1.0,0.23508407786950433,14,True
2018,house,84.0,51,1.0,0.04866118050914393,17,True
2018,house,90.0,122,1.0,0.08661090972524656,89,True
2018,senate,4.0,109,1.0,0.08965610788521021,35,True
