cycle,chamber,district,party,candidate,state_candidate,state_contributions,state_expenditures,state_rows,finance_observation_status,match_method,match_score,match_margin,candidate_expenditures,finance_match_method,state_missing_transaction_positive,zero_assumption_status
2026,house,1,R,Maurice McCaney,"MCCANEY, MAURICE",39653.0,38212.94,1,observed,exact_tokens,100.0,45.45454545454546,38212.94,exact,False,state_summary_observed
2026,house,2,D,Rick Pressnell,"Pressnell, Rick ",1433.57,2130.07,1,observed,exact_tokens,100.0,48.38709677419355,2130.07,exact,False,state_summary_observed
2026,house,2,R,Ben Harrison,,,,0,no_state_entry_zero_assumption_sensitivity_only,unmatched,66.66666666666667,14.81481481481481,0.0,unmatched,False,unknown_no_matched_filing
2026,house,3,R,Kerry Bubba Underwood,,,,0,no_state_entry_zero_assumption_sensitivity_only,unmatched,75.0,26.351351351351347,11099.76,fuzzy,True,invalid_zero_assumption_transactions_positive
2026,house,4,D,Hanu Karlapalem,,,,0,no_state_entry_zero_assumption_sensitivity_only,unmatched,62.5,15.441176470588239,0.0,surname_review,False,transaction_match_zero_expenditures
2026,house,4,R,Parker Duncan Moore,"MOORE, PARKER DUNCAN",58750.0,9583.18,1,observed,exact_tokens,100.0,46.34146341463414,7658.18,fuzzy,False,state_summary_observed
2026,house,5,D,Jessie Barcala,,,,0,no_state_entry_zero_assumption_sensitivity_only,unmatched,87.5,32.95454545454546,1966.32,exact,True,invalid_zero_assumption_transactions_positive
2026,house,5,R,Danny F. Crawford,,,,0,no_state_entry_zero_assumption_sensitivity_only,unmatched,84.21052631578947,30.87719298245613,2513.31,fuzzy,True,invalid_zero_assumption_transactions_positive
2026,house,6,R,Andy Whitt,"WHITT, ANDY",88250.0,8252.4,1,observed,exact_tokens,100.0,40.0,6502.4,exact,False,state_summary_observed
2026,house,7,R,Ernie Yarbrough,"YARBROUGH, ERNIE",29550.0,22802.1,1,observed,exact_tokens,100.0,47.05882352941176,19343.26,exact,False,state_summary_observed
2026,house,8,D,Bruce Sparkman,"Sparkman, Bruce ",0.0,0.0,1,observed,exact_tokens,100.0,43.75,0.0,unmatched,False,state_summary_observed
2026,house,8,R,Patrick Johnson,"JOHNSON, PATRICK ",76775.0,38077.65,1,observed,exact_tokens,100.0,36.8421052631579,38077.65,exact,False,state_summary_observed
2026,house,9,R,Scott Stadthagen,"STADTHAGEN, SCOTT",38000.0,6322.04,1,observed,exact_tokens,100.0,54.83870967741935,6022.040000000001,exact,False,state_summary_observed
2026,house,10,D,Marilyn Lands,,,,0,no_state_entry_zero_assumption_sensitivity_only,unmatched,86.66666666666667,27.84313725490196,82963.44,exact,True,invalid_zero_assumption_transactions_positive
2026,house,10,R,Aaron Thomas,,,,0,no_state_entry_zero_assumption_sensitivity_only,unmatched,77.41935483870968,12.903225806451616,0.0,unmatched,False,unknown_no_matched_filing
2026,house,11,R,Heath Allbright,,,,0,no_state_entry_zero_assumption_sensitivity_only,unmatched,78.94736842105263,34.50292397660819,0.0,surname_review,False,transaction_match_zero_expenditures
2026,house,12,R,Cindy Myrex,,,,0,no_state_entry_zero_assumption_sensitivity_only,unmatched,66.66666666666667,16.66666666666667,52897.41,exact,True,invalid_zero_assumption_transactions_positive
2026,house,13,R,Mike Elliott,,,,0,no_state_entry_zero_assumption_sensitivity_only,unmatched,81.4814814814815,13.06042884990255,42891.31,exact,True,invalid_zero_assumption_transactions_positive
2026,house,14,R,Tim R.Wadsworth,,,,0,no_state_entry_zero_assumption_sensitivity_only,unmatched,92.85714285714286,42.85714285714286,45516.33,fuzzy,True,invalid_zero_assumption_transactions_positive
2026,house,15,D,Nell Brown,"BROWN, NELL ",7367.43,3556.66,1,observed,exact_tokens,100.0,27.272727272727266,3556.6600000000003,exact,False,state_summary_observed
2026,house,15,R,Leigh Hulsey,,,,0,no_state_entry_zero_assumption_sensitivity_only,unmatched,92.3076923076923,42.30769230769231,12890.96,exact,True,invalid_zero_assumption_transactions_positive
2026,house,16,D,Christian Martin,,,,0,no_state_entry_zero_assumption_sensitivity_only,unmatched,86.48648648648648,24.417520969245103,1358.78,exact,True,invalid_zero_assumption_transactions_positive
2026,house,16,R,Bryan Brinyark,"BRINYARK, BRYAN",64000.0,13077.41,1,observed,exact_tokens,100.0,45.45454545454546,12324.41,exact,False,state_summary_observed
2026,house,17,R,Phil Segraves,,,,0,no_state_entry_zero_assumption_sensitivity_only,unmatched,74.28571428571429,22.43386243386243,0.0,surname_review,False,transaction_match_zero_expenditures
2026,house,18,R,Jamie Kiel,,,,0,no_state_entry_zero_assumption_sensitivity_only,unmatched,76.92307692307692,15.38461538461538,6430.5,exact,True,invalid_zero_assumption_transactions_positive
2026,house,19,D,Laura Hall,,,,0,no_state_entry_zero_assumption_sensitivity_only,unmatched,90.9090909090909,36.36363636363637,20841.49,exact,True,invalid_zero_assumption_transactions_positive
2026,house,19,R,Donald Barnes,,,,0,no_state_entry_zero_assumption_sensitivity_only,unmatched,76.47058823529412,14.932126696832576,7.08,exact,True,invalid_zero_assumption_transactions_positive
2026,house,20,D,JamesLinderholm,"Linderholm, James ",7030.92,3441.4,1,observed,fuzzy_review,96.7741935483871,35.23573200992556,0.0,unmatched,False,state_summary_observed
2026,house,20,R,James Lomax,"LOMAX, JAMES",467780.0,386389.23,1,observed,exact_tokens,100.0,33.33333333333333,386389.23,exact,False,state_summary_observed
2026,house,21,D,Forrest Satterfield,,,,0,no_state_entry_zero_assumption_sensitivity_only,unmatched,90.47619047619048,41.991341991342,2993.67,exact,True,invalid_zero_assumption_transactions_positive
2026,house,21,R,Rex Reynolds,"REYNOLDS, REX",149650.0,13222.46,1,observed,exact_tokens,100.0,50.0,10519.46,exact,False,state_summary_observed
2026,house,22,R,Ritchie Whorton,,,,0,no_state_entry_zero_assumption_sensitivity_only,unmatched,83.33333333333334,29.279279279279287,63650.0,exact,True,invalid_zero_assumption_transactions_positive
2026,house,23,R,Mike Kirkland,,,,0,no_state_entry_zero_assumption_sensitivity_only,unmatched,82.75862068965517,23.935091277890464,13497.87,exact,True,invalid_zero_assumption_transactions_positive
2026,house,24,R,Nathaniel Ledbetter,,,,0,no_state_entry_zero_assumption_sensitivity_only,unmatched,86.36363636363636,38.74458874458875,22339.8,exact,True,invalid_zero_assumption_transactions_positive
2026,house,25,D,Allison T Montgomery,,,,0,no_state_entry_zero_assumption_sensitivity_only,unmatched,88.88888888888889,40.4040404040404,3969.71,fuzzy,True,invalid_zero_assumption_transactions_positive
2026,house,25,R,Phillip K. Rigsby,,,,0,no_state_entry_zero_assumption_sensitivity_only,unmatched,93.33333333333333,35.43859649122806,8486.9,fuzzy,True,invalid_zero_assumption_transactions_positive
2026,house,26,R,Brock Colvin,,,,0,no_state_entry_zero_assumption_sensitivity_only,unmatched,75.0,20.45454545454546,0.0,surname_review,False,transaction_match_zero_expenditures
2026,house,27,R,Jeana Ross,"ROSS, JEANA ",31750.0,11384.43,1,observed,exact_tokens,100.0,27.272727272727266,10612.63,exact,False,state_summary_observed
2026,house,28,D,Robert Louis Hunter,"HUNTER, ROBERT LOUIS",14975.97,12611.88,1,observed,exact_tokens,100.0,44.18604651162791,12418.47,fuzzy,False,state_summary_observed
2026,house,28,R,Mack N Butler,,,,0,no_state_entry_zero_assumption_sensitivity_only,unmatched,83.87096774193549,32.019115890083626,3003.91,fuzzy,True,invalid_zero_assumption_transactions_positive
2026,house,29,R,Mark A. Gidley,,,,0,no_state_entry_zero_assumption_sensitivity_only,unmatched,81.25,29.63709677419355,26469.91,fuzzy,True,invalid_zero_assumption_transactions_positive
2026,house,30,R,Craig Lipscomb,,,,0,no_state_entry_zero_assumption_sensitivity_only,unmatched,77.77777777777779,29.777777777777786,0.0,surname_review,False,transaction_match_zero_expenditures
2026,house,31,R,Troy B.Stubbs,,,,0,no_state_entry_zero_assumption_sensitivity_only,unmatched,78.78787878787878,32.12121212121212,23273.99,fuzzy,True,invalid_zero_assumption_transactions_positive
2026,house,32,D,Debra D Foster,"Foster, Debra D",25500.0,10603.08,1,observed,exact_tokens,100.0,43.99999999999999,15629.18,fuzzy,False,state_summary_observed
