cycle,chamber,district,party,certified_candidate,wikipedia_candidate,resolution,authoritative_name,review_note
2026,house,3,R,"KerryBubba Underwood","Kerry Underwood",same_person_certified_name,"Kerry Bubba Underwood","User accepted nickname omission as a non-substantive alias difference."
2026,house,4,R,"ParkerDuncanMoore","Parker Moore",same_person_certified_name,"Parker Duncan Moore","User accepted omitted middle name as a non-substantive alias difference."
2026,house,17,R,"Phil Segraves",,certification_add_runoff_winner,"Phil Segraves","Won the Republican primary runoff; Wikipedia had not updated."
2026,house,28,D,"Robert Louis Hunter","Robert Hunter",same_person_certified_name,"Robert Louis Hunter","User accepted omitted middle name as a non-substantive alias difference."
2026,house,37,R,"Jeff Monroe",,certification_add_runoff_winner,"Jeff Monroe","Won the Republican primary runoff; Wikipedia had not updated."
2026,house,41,D,"David J.A. Morgan","David Morgan",same_person_certified_name,"David J. A. Morgan","User accepted omitted middle initials as a non-substantive alias difference."
2026,house,51,R,,"Allen Treadaway",retain_wikipedia_certification_omission,"Allen Treadaway","Unopposed incumbent and correct nominee; omission from Republican certification was a mistake."
2026,house,52,D,"GiGi Hayes",,certification_add_runoff_winner,"GiGi Hayes","User accepted the July runoff certification; Wikipedia had not updated."
2026,house,68,D,"Thomas E Action Jackson","Thomas Jackson",same_person_certified_name,"Thomas E. Action Jackson","User accepted omitted middle initial and nickname as a non-substantive alias difference."
2026,house,70,R,"lan M. Chwatuk","Ian Chwatuk",ocr_correction_certified_name,"Ian M. Chwatuk","Certification OCR confused uppercase I with lowercase l; Wikipedia omitted the middle initial."
2026,house,75,D,"Tisha Dickson Nickson","Tisha Nickson",same_person_certified_name,"Tisha Dickson Nickson","User accepted abbreviated Wikipedia name as a non-substantive alias difference."
2026,house,76,D,"Patrice Penni McClammy","Patrice McClammy",same_person_certified_name,"Patrice Penni McClammy","User accepted omitted nickname as a non-substantive alias difference."
2026,house,82,D,"Pebblin W. Warren",,certification_add_runoff_winner,"Pebblin W. Warren","User accepted the July runoff certification; Wikipedia had not updated."
2026,house,85,D,"Aristotle Onassis Kirkland","Aristotle Kirkland",same_person_certified_name,"Aristotle Onassis Kirkland","User accepted omitted middle name as a non-substantive alias difference."
2026,house,95,R,"FrancesHolk-Jones",,certification_add,"Frances Holk-Jones","User accepted the certification-only nominee; Wikipedia had no parsed nominee."
2026,senate,10,R,"Andrew Jones","Jesse Battles",certified_replaces_misclassified_independent,"Andrew Jones","Andrew Jones is the Republican nominee; Jesse Battles is a separate independent general-election candidate."
2026,senate,10,I,,"Jesse Battles",reclassify_independent,"Jesse Battles","Retained as an independent general-election candidate rather than the Republican nominee."
2026,senate,23,R,"Thayer Bear Havard Spencer","Thayer Spencer",same_person_certified_name,"Thayer Bear Havard Spencer","User accepted abbreviated Wikipedia name as a non-substantive alias difference."
2026,senate,26,D,"Tabitha Isner",,replace_conditional_certification,"Kirk Hatcher","Remedial-map primaries were voided; after reversion to the original map, prior incumbent Kirk Hatcher became the Democratic nominee."
