precinct_id,county_fips,dem_votes,rep_votes,white_nh_noncollege,white_nh_college,black_noncollege,black_college,other_noncollege,other_college,adult25_total,cycle,two_party_votes,dem_share,white_nh_noncollege_share,white_nh_college_share,black_noncollege_share,black_college_share,other_noncollege_share,other_college_share,madison_county,time,madison_x_white_college,madison_x_white_noncollege,place_name,region
0,013,29.0,25.0,49.70881371471854,1.7133264427691404,35.573070414548745,1.0225709931282956,1.2719620245788734,0.0,89.2897435897436,2018,54.0,0.5370370370370371,0.556713590119755,0.0191883902214043,0.3984004095475407,0.0114522783022725,0.0142453318090273,0.0,0,0.0,0.0,0.0,,Other Alabama
1,013,37.0,73.0,127.45866081919247,8.216288384553476,17.640854472446026,1.9332443257268976,3.518642251752669,0.0,158.76769025367156,2018,110.0,0.3363636363636363,0.802799742287269,0.0517503805177607,0.1111111111099512,0.0121765601215086,0.0221622059635102,0.0,0,0.0,0.0,0.0,,Other Alabama
2,053,62.0,167.0,232.04778161806613,32.82484650818207,48.48710725729399,2.485617473108636,14.854164304067483,0.0633476478547734,330.76286480857306,2018,229.0,0.2707423580786026,0.7015533069359595,0.0992398180103417,0.1465917502116073,0.0075148021061771,0.0449088029052603,0.000191519830654,0,0.0,0.0,0.0,,Other Alabama
3,053,101.0,145.0,242.35233579137065,6.356546561831205,62.255358260101325,0.6777306363804213,9.824496708587656,0.0,321.46646795827127,2018,246.0,0.4105691056910569,0.7538961600897974,0.0197735913241698,0.1936605041748321,0.0021082467502283,0.030561497660972,0.0,0,0.0,0.0,0.0,,Other Alabama
4,053,6.0,53.0,95.51604278074866,8.54812834224599,0.0,0.0,0.3716577540106952,0.0,104.43582887700536,2018,59.0,0.1016949152542373,0.9145907473309608,0.0818505338078291,0.0,0.0,0.0035587188612099,0.0,0,0.0,0.0,0.0,,Other Alabama
5,053,106.0,175.0,451.3262284476342,28.694637043382134,166.87562844104,18.18317639327781,296.0857283321228,27.19425900878838,988.3596576662452,2018,281.0,0.3772241992882562,0.4566416940907158,0.0290325862865923,0.1688409954277914,0.0183973275843863,0.2995728589643696,0.0275145376461444,0,0.0,0.0,0.0,,Other Alabama
6,053,6.0,65.0,115.44385026737967,10.331550802139038,0.0,0.0,0.4491978609625668,0.0,126.22459893048128,2018,71.0,0.0845070422535211,0.9145907473309608,0.0818505338078291,0.0,0.0,0.0035587188612099,0.0,0,0.0,0.0,0.0,,Other Alabama
7,053,258.0,634.0,1315.4618542940857,165.1562058090384,430.9127370256977,20.82320828438994,251.78376180769112,0.0,2184.1377672209023,2018,892.0,0.289237668161435,0.602279706910558,0.0756162034683293,0.1972919215503476,0.0095338346311759,0.1152783334395892,0.0,0,0.0,0.0,0.0,East Brewton,Other Alabama
8,053,9.0,194.0,393.3712306614928,47.48318451844814,319.9684092415648,5.295664238046635,57.9485897721596,6.8109014664736,830.8779798981855,2018,203.0,0.0443349753694581,0.4734404331063099,0.0571482042697372,0.3850967494418051,0.0063735763447426,0.0697438025487936,0.0081972342886114,0,0.0,0.0,0.0,,Other Alabama
9,053,4.0,113.0,109.7206529899986,28.099389553339893,2.850594979211424,0.2323323554127909,7.589970088877957,2.2557020789618125,150.74864204580246,2018,117.0,0.0341880341880341,0.7278384169899309,0.1863989563819909,0.01890958976828,0.0015411903700081,0.0503485138298749,0.0149633326599151,0,0.0,0.0,0.0,,Other Alabama
