cycle,chamber,district,canonical_name,normalized_candidate_name,canonical_party,candidate_direct_cmo,candidate_cycle_centered_cmo,candidate_quality_index,candidate_quality_low,candidate_quality_high,intrinsic_quality_index,quality_status,quality_identification,appearances
1998,house,18,Morrow,MORROW,D,11.908899710146917,-21.179802571422165,-7.0599341904740545,-27.035369222038845,12.915500841090738,-8.059934190474054,uncertain,pair_differential_only,1
1998,senate,18,Morrow,MORROW,D,20.681985260138543,-11.215964296564607,-3.7386547655215354,-23.714089797086327,16.236780266043258,-3.7386547655215354,uncertain,pair_differential_only,1
2002,house,32,"Boyd, Barbara Bigsby",BARBARA BIGSBY BOYD,D,30.072092051741855,13.402435201690626,4.066219979006737,-10.058545588964046,18.190985546977522,2.066219979006737,uncertain,candidate_network,4
2006,house,32,BARBARA BIGSBY BOYD,BARBARA BIGSBY BOYD,D,12.602572420921753,-8.646447984948146,4.066219979006737,-10.058545588964046,18.190985546977522,2.066219979006737,uncertain,candidate_network,4
2010,house,2,MIKE CURTIS,MIKE CURTIS,D,19.531129565574926,1.9324545561512245,3.626345832100435,-12.45540720742378,19.70809887162465,2.07079027654488,uncertain,candidate_network,2
2010,house,32,BARBARA BIGSBY BOYD,BARBARA BIGSBY BOYD,D,30.26379923592899,12.665124226505288,4.066219979006737,-10.058545588964046,18.190985546977522,2.066219979006737,uncertain,candidate_network,4
2014,house,18,Johnny MacK Morrow,JOHNNY MACK MORROW,D,44.04059216936951,28.06253264414331,13.756276391598782,-3.0264459150985807,30.538998698296144,14.109217568069369,uncertain,candidate_network,2
2014,senate,1,Mike Curtis,MIKE CURTIS,D,10.533343615526729,1.5125089201847928,3.626345832100435,-12.45540720742378,19.70809887162465,2.07079027654488,uncertain,candidate_network,2
2018,house,2,Lora Kay Morrow,LORA KAY MORROW,D,1.0131030311206857,-0.7784903700412222,2.5935046637539143,-16.04230625327936,21.22931558078719,3.871282441531692,uncertain,candidate_network,1
2018,house,32,Barbara Bigsby Boyd,BARBARA BIGSBY BOYD,D,8.76780183195456,6.976208430792653,4.066219979006737,-10.058545588964046,18.190985546977522,2.066219979006737,uncertain,candidate_network,4
2018,senate,6,Johnny Mack Morrow,JOHNNY MACK MORROW,D,31.85287518218357,27.910176886788438,13.756276391598782,-3.0264459150985807,30.538998698296144,14.109217568069369,uncertain,candidate_network,2
