year,source,county_key,precinct_key,name_norm,precinct_code,county_level_ballot,node_id
1998,alabama_sos,AUTAUGA,1010 EAST MEMORIAL BAPTIST CHURCH,EAST MEMORIAL BAPTIST CHURCH,1010,0,2618
1998,alabama_sos,AUTAUGA,1020 NEWTON PARK #1,NEWTON PARK,1020,0,2619
1998,alabama_sos,AUTAUGA,1021 NEWTON PARK #2,NEWTON PARK,1021,0,2620
1998,alabama_sos,AUTAUGA,2040 CAMELLIA BAPTIST CHURCH,CAMELLIA BAPTIST CHURCH,2040,0,2621
1998,alabama_sos,AUTAUGA,2050 AUTAUGA COUNTY VOTING SITE,AUTAUGA COUNTY VOTING SITE,2050,0,2622
1998,alabama_sos,AUTAUGA,2060 PRATTMONT BAPTIST CHURCH,PRATTMONT BAPTIST CHURCH,2060,0,2623
1998,alabama_sos,AUTAUGA,3070 NATIONAL GUARD ARMORY #1,NATIONAL GUARD ARMORY,3070,0,2624
1998,alabama_sos,AUTAUGA,3071 NATIONAL GUARD ARMORY #2,NATIONAL GUARD ARMORY,3071,0,2625
1998,alabama_sos,AUTAUGA,3090 BOOTH POST OFFICE,BOOTH POST OFFICE,3090,0,2626
1998,alabama_sos,AUTAUGA,3110 WHITE CITY FIRE STATION,WHITE CITY FIRE STATION,3110,0,2627
1998,alabama_sos,AUTAUGA,3120 HAYNES COMMUNITY CENTER,HAYNES COMMUNITY CENTER,3120,0,2628
1998,alabama_sos,AUTAUGA,3130 JONES COMMUNITY CENTER,JONES COMMUNITY CENTER,3130,0,2629
1998,alabama_sos,AUTAUGA,4140 PINE LEVEL  FIRE STATION,PINE LEVEL FIRE STATION,4140,0,2630
1998,alabama_sos,AUTAUGA,4145 UPPER KINGSTON COMM. CENTER,UPPER KINGSTON COMMUNITY CENTER,4145,0,2631
1998,alabama_sos,AUTAUGA,4160 MARBURY COMMUNITY CENTER,MARBURY COMMUNITY CENTER,4160,0,2632
1998,alabama_sos,AUTAUGA,4170 BILLINGSLEY GOV. CENTER,BILLINGSLEY GOV CENTER,4170,0,2633
1998,alabama_sos,AUTAUGA,5180 COURTHOUSE,COURTHOUSE,5180,0,2634
1998,alabama_sos,AUTAUGA,5200 OLD KINGSTON VOTING CENTER,OLD KINGSTON VOTING CENTER,5200,0,2635
1998,alabama_sos,AUTAUGA,5205 AUTAUGAVILLE TOWN HALL,AUTAUGAVILLE TOWN HALL,5205,0,2636
1998,alabama_sos,AUTAUGA,5230 INDEPENDENCE VOTING HOUSE,INDEPENDENCE VOTING HOUSE,5230,0,2637
1998,alabama_sos,AUTAUGA,5250 MULBERRY STATESVILLE,MULBERRY STATESVILLE,5250,0,2638
1998,alabama_sos,AUTAUGA,9001 ABSENTEE VOTES,ABSENTEE VOTES,9001,1,2639
1998,alabama_sos,BALDWIN,0010 FERGUSTON STORE LITTLE RIVER,FERGUSTON STORE LITTLE RIVER,10,0,2640
1998,alabama_sos,BALDWIN,0020 TENSAW COMMUNITY CENTER,TENSAW COMMUNITY CENTER,20,0,2641
1998,alabama_sos,BALDWIN,0030 VAUGHN COMMUNITY CENTER,VAUGHN COMMUNITY CENTER,30,0,2642
1998,alabama_sos,BALDWIN,0040 CROSSROADS SCHOOL,CROSSROADS SCHOOL,40,0,2643
1998,alabama_sos,BALDWIN,0050 BAY MINETTE INTERMEDIATE SCH.,BAY MINETTE INTERMEDIATE SCHOOL,50,0,2644
1998,alabama_sos,BALDWIN,0060 ELLISVILLE COMMUNITY CENTER,ELLISVILLE COMMUNITY CENTER,60,0,2645
1998,alabama_sos,BALDWIN,0070 DAPHNE INTERMEDIATE SCH. #1,DAPHNE INTERMEDIATE SCHOOL,70,0,2646
1998,alabama_sos,BALDWIN,0071 DAPHNE INTERMEDIATE SCH. #2,DAPHNE INTERMEDIATE SCHOOL,71,0,2647
1998,alabama_sos,BALDWIN,0080 FAIRHOPE AREA INSTRUCTIONAL,FAIRHOPE AREA INSTRUCTIONAL,80,0,2648
1998,alabama_sos,BALDWIN,0090 LITTLE RIVER RESTAURANT,LITTLE RIVER RESTAURANT,90,0,2649
1998,alabama_sos,BALDWIN,0100 LOTTIE FIRE DEPARTMENT,LOTTIE FIRE DEPARTMENT,100,0,2650
1998,alabama_sos,BALDWIN,0110 STOCKTON FIRE HOUSE,STOCKTON FIRE HOUSE,110,0,2651
1998,alabama_sos,BALDWIN,0120 RABUN FIRE HOUSE,RABUN FIRE HOUSE,120,0,2652
1998,alabama_sos,BALDWIN,0130 PERDIDO SCHOOL,PERDIDO SCHOOL,130,0,2653
1998,alabama_sos,BALDWIN,0140 BAY MINETTE CITY HALL CIVIC #1,BAY MINETTE CITY HALL CIVIC,140,0,2654
1998,alabama_sos,BALDWIN,0141 BAY MINETTE CITY HALL CIVIC #2,BAY MINETTE CITY HALL CIVIC,141,0,2655
1998,alabama_sos,BALDWIN,0150 PINE GROVE SCHOOL,PINE GROVE SCHOOL,150,0,2656
