canonical_candidate_id,person_id,candidate,cycle,chamber,district,party,candidate_cmo,cmo_tail,cmo_extremity,cmo_priority_valid,identity_researchable,missing_core_issues,missing_all_issues,prior_attempts,latest_result_status,social_query,economic_query,archive_query,search_url,priority_score,tail_rank
AL-2002-house-104-D-WEBSTER-DANIEL-J,ALPERSON-WEBSTER-DANIEL-J,Webster Daniel J,2002,house,104,D,-35.12298990931953,low,35.12298990931953,True,True,6,62,1,searched_no_evidence,"""Webster Daniel J"" Alabama candidate 2002 (abortion OR pro-life OR pro-choice OR marriage OR gay OR LGBT OR church OR prayer)","""Webster Daniel J"" Alabama candidate 2002 (taxes OR business OR welfare OR labor OR union OR healthcare OR education)","""Webster Daniel J"" Alabama House Senate campaign 2002",https://www.google.com/search?q=%22Webster+Daniel+J%22+Alabama+candidate+2002+%28abortion+OR+pro-life+OR+pro-choice+OR+marriage+OR+gay+OR+LGBT+OR+church+OR+prayer%29,45.72298990931953,1
AL-2002-senate-1-R-HANSON-QUINTON,ALPERSON-HANSON-QUINTON,Hanson Quinton,2002,senate,1,R,-30.23193876170493,low,30.23193876170493,True,True,21,81,1,searched_no_evidence,"""Hanson Quinton"" Alabama candidate 2002 (abortion OR pro-life OR pro-choice OR marriage OR gay OR LGBT OR church OR prayer)","""Hanson Quinton"" Alabama candidate 2002 (taxes OR business OR welfare OR labor OR union OR healthcare OR education)","""Hanson Quinton"" Alabama House Senate campaign 2002",https://www.google.com/search?q=%22Hanson+Quinton%22+Alabama+candidate+2002+%28abortion+OR+pro-life+OR+pro-choice+OR+marriage+OR+gay+OR+LGBT+OR+church+OR+prayer%29,45.53193876170493,2
AL-1994-house-33-D-JOHNSON,ALPERSON-JOHNSON,Ronald Johnson,1994,house,33,D,30.1458091318774,high,30.1458091318774,True,True,21,81,1,searched_no_evidence,"""Ronald Johnson"" Alabama candidate 1994 (abortion OR pro-life OR pro-choice OR marriage OR gay OR LGBT OR church OR prayer)","""Ronald Johnson"" Alabama candidate 1994 (taxes OR business OR welfare OR labor OR union OR healthcare OR education)","""Ronald Johnson"" Alabama House Senate campaign 1994",https://www.google.com/search?q=%22Ronald+Johnson%22+Alabama+candidate+1994+%28abortion+OR+pro-life+OR+pro-choice+OR+marriage+OR+gay+OR+LGBT+OR+church+OR+prayer%29,45.4458091318774,1
AL-2002-house-40-R-BROOKS-PETE,ALPERSON-BROOKS-PETE,Brooks Pete,2002,house,40,R,-30.02621859493173,low,30.02621859493173,True,True,21,81,1,identity_confirmed_no_evidence,"""Brooks Pete"" Alabama candidate 2002 (abortion OR pro-life OR pro-choice OR marriage OR gay OR LGBT OR church OR prayer)","""Brooks Pete"" Alabama candidate 2002 (taxes OR business OR welfare OR labor OR union OR healthcare OR education)","""Brooks Pete"" Alabama House Senate campaign 2002",https://www.google.com/search?q=%22Brooks+Pete%22+Alabama+candidate+2002+%28abortion+OR+pro-life+OR+pro-choice+OR+marriage+OR+gay+OR+LGBT+OR+church+OR+prayer%29,45.32621859493173,3
AL-2014-house-5-D-HENRY-A-WHITE,ALPERSON-HENRY-A-WHITE,Henry A White,2014,house,5,D,30.687353401665504,high,30.687353401665504,True,True,18,77,1,evidence_found,"""Henry A White"" Alabama candidate 2014 (abortion OR pro-life OR pro-choice OR marriage OR gay OR LGBT OR church OR prayer)","""Henry A White"" Alabama candidate 2014 (taxes OR business OR welfare OR labor OR union OR healthcare OR education)","""Henry A White"" Alabama House Senate campaign 2014",https://www.google.com/search?q=%22Henry+A+White%22+Alabama+candidate+2014+%28abortion+OR+pro-life+OR+pro-choice+OR+marriage+OR+gay+OR+LGBT+OR+church+OR+prayer%29,45.037353401665506,2
AL-2002-house-40-D-FITE-LEA,ALPERSON-FITE-LEA,Lea Fite,2002,house,40,D,30.02621859493173,high,30.02621859493173,True,True,20,80,1,identity_resolved_existing_votesmart_evidence,"""Lea Fite"" Alabama candidate 2002 (abortion OR pro-life OR pro-choice OR marriage OR gay OR LGBT OR church OR prayer)","""Lea Fite"" Alabama candidate 2002 (taxes OR business OR welfare OR labor OR union OR healthcare OR education)","""Lea Fite"" Alabama House Senate campaign 2002",https://www.google.com/search?q=%22Lea+Fite%22+Alabama+candidate+2002+%28abortion+OR+pro-life+OR+pro-choice+OR+marriage+OR+gay+OR+LGBT+OR+church+OR+prayer%29,45.026218594931734,3
AL-2002-senate-1-D-DENTON-BOBBY,ALPERSON-DENTON-BOBBY,Denton Bobby,2002,senate,1,D,30.23193876170493,high,30.23193876170493,True,True,19,79,1,searched_no_new_evidence,"""Denton Bobby"" Alabama candidate 2002 (abortion OR pro-life OR pro-choice OR marriage OR gay OR LGBT OR church OR prayer)","""Denton Bobby"" Alabama candidate 2002 (taxes OR business OR welfare OR labor OR union OR healthcare OR education)","""Denton Bobby"" Alabama House Senate campaign 2002",https://www.google.com/search?q=%22Denton+Bobby%22+Alabama+candidate+2002+%28abortion+OR+pro-life+OR+pro-choice+OR+marriage+OR+gay+OR+LGBT+OR+church+OR+prayer%29,44.931938761704934,4
AL-1998-house-49-R-THOMAS,ALPERSON-THOMAS,Dave Thomas,1998,house,49,R,-30.15458760056164,low,30.15458760056164,True,True,19,79,1,searched_no_new_evidence,"""Dave Thomas"" Alabama candidate 1998 (abortion OR pro-life OR pro-choice OR marriage OR gay OR LGBT OR church OR prayer)","""Dave Thomas"" Alabama candidate 1998 (taxes OR business OR welfare OR labor OR union OR healthcare OR education)","""Dave Thomas"" Alabama House Senate campaign 1998",https://www.google.com/search?q=%22Dave+Thomas%22+Alabama+candidate+1998+%28abortion+OR+pro-life+OR+pro-choice+OR+marriage+OR+gay+OR+LGBT+OR+church+OR+prayer%29,44.85458760056164,4
AL-2018-senate-25-R-WILL-BARFOOT,ALPERSON-WILL-BARFOOT,Will Barfoot,2018,senate,25,R,30.452898682180063,high,30.452898682180063,True,True,18,77,1,evidence_found,"""Will Barfoot"" Alabama candidate 2018 (abortion OR pro-life OR pro-choice OR marriage OR gay OR LGBT OR church OR prayer)","""Will Barfoot"" Alabama candidate 2018 (taxes OR business OR welfare OR labor OR union OR healthcare OR education)","""Will Barfoot"" Alabama House Senate campaign 2018",https://www.google.com/search?q=%22Will+Barfoot%22+Alabama+candidate+2018+%28abortion+OR+pro-life+OR+pro-choice+OR+marriage+OR+gay+OR+LGBT+OR+church+OR+prayer%29,44.802898682180064,5
AL-1994-house-29-D-PAGE,ALPERSON-PAGE,John G Jack Page III,1994,house,29,D,29.46886397213237,high,29.46886397213237,True,True,21,81,1,identity_resolved_no_issue_evidence,"""John G Jack Page III"" Alabama candidate 1994 (abortion OR pro-life OR pro-choice OR marriage OR gay OR LGBT OR church OR prayer)","""John G Jack Page III"" Alabama candidate 1994 (taxes OR business OR welfare OR labor OR union OR healthcare OR education)","""John G Jack Page III"" Alabama House Senate campaign 1994",https://www.google.com/search?q=%22John+G+Jack+Page+III%22+Alabama+candidate+1994+%28abortion+OR+pro-life+OR+pro-choice+OR+marriage+OR+gay+OR+LGBT+OR+church+OR+prayer%29,44.768863972132365,6
