primitive_axis,candidates_observed,candidates_scored,evidence_records
gun_access,992,762,2069
healthcare_access,709,644,2414
criminal_punishment,709,600,6843
education_public_funding,594,539,1572
public_employee_compensation,574,512,2455
market_governance,833,509,5468
tax_burden,682,498,8288
public_spending,475,467,2875
business_subsidy,461,455,3357
religion_state,394,389,600
civil_social_liberty,658,385,2474
abortion_access,498,380,1482
anti_discrimination,361,351,884
government_ethics_transparency,395,345,1663
land_use_property_rights,375,333,603
welfare_conditionality,326,323,584
voting_access,423,321,912
environmental_protection,446,319,1054
education_market_choice,336,312,793
welfare_generosity,330,277,639
labor_rights,400,275,917
education_accountability,329,264,750
police_authority,272,252,506
election_integrity_controls,252,248,771
gun_purchase_regulation,263,247,350
healthcare_regulation_patient_rights,254,236,700
drug_criminalization,325,228,818
digital_privacy,225,223,359
resource_management,222,221,300
education_teacher_labor,254,221,333
federalism,215,210,428
due_process,248,200,596
public_private_provision,240,198,536
campaign_finance_restrictions,197,193,552
constitutional_reform,184,184,232
economic_stimulus,275,173,801
education_access,218,172,572
surveillance_authority,172,172,197
deficit_discipline,262,169,395
incarceration,224,168,667
drug_treatment,165,165,176
marriage_equality,170,165,228
gambling_policy,166,164,199
term_limits,153,153,178
campaign_finance_disclosure,151,148,365
immigration_enforcement,165,144,564
labor_capital_alignment,146,141,190
security_preparedness,139,139,180
conservation_preservation,140,137,240
immigration_access,145,123,717
bioethics_end_of_life,179,120,254
hunting_rural_recreation,115,113,210
affirmative_action,112,111,183
resource_development,145,108,173
confederate_commemoration,119,106,219
healthcare_public_responsibility,107,106,125
education_curriculum_traditionalism,119,104,231
renewable_energy_support,110,103,130
direct_democracy,102,102,121
childcare_support,95,95,95
racial_civil_rights,88,86,149
immigrant_public_benefits,112,85,331
trade_openness,88,85,92
malpractice_liability,93,52,214
institutional_populism,45,40,62
digital_content_regulation,39,39,41
climate_energy,42,29,64
family_support_enforcement,23,23,29
public_utility_rates,17,17,21
tax_distribution,15,15,15
healthcare_delivery,13,13,13
redistricting_governance,9,9,10
medicaid_structure,8,8,9
abortion_public_funding,6,6,7
campaign_public_funding,5,5,5
christian_sexual_morality,4,4,4
defense_spending,4,4,4
national_language_identity,1,1,1
social_security_generosity,1,1,1
