result_unit_id,county,result_precinct,result_precinct_norm,result_match_norm,source_file,source_layout,is_non_geographic,vtd_geoid,vtd_code,vtd_name,vtd_name_norm,match_method,match_score,score_margin,candidate_count,candidate_2_name,candidate_2_score,candidate_3_name,candidate_3_score,accepted_match,needs_review,review_reason,accepted_units_for_vtd,relationship_note,openelections_unit_found,house_inferred_districts,senate_inferred_districts,house_inferred_district_count,senate_inferred_district_count,house_largest_activity_share,senate_largest_activity_share,house_spatial_districts,senate_spatial_districts,house_largest_spatial_share,senate_largest_spatial_share,house_district_compatible,senate_district_compatible,district_validation,validated_match,accepted_unvalidated,accepted_conflict,recommended_vtd_geoid,recommended_vtd_name,recommended_score,recommended_margin,recommendation_method,constrained_candidate_count,vest16_vtd_geoid,vest16_vtd_name,vest16_match_method,vest16_match_score,vest16_score_margin,vest16_accepted_match,vest16_validated_match,vest16_accepted_conflict,vest16_district_validation,vest16_relationship_note,selected_geometry_source,selected_geoid,selected_name,selection_status,manual_override_reason,manual_override_evidence,relationship_class,distinct_result_names_for_geometry
1,AUTAUGA,0040 E_MEMORIAL CHRISTIAN,40 E MEMORIAL CHRISTIAN,E MEMORIAL CHRISTIAN,2014-General-Autauga.xlsx,contest_rows,False,010010070,0070,Pine Level Fire Station,PINE LEVEL FIRE STATION,review,46.51,1.08,2,CHURCH OF THE LIVING WATER,45.43,SAFE HARBOR MINISTRIES,42.86,False,True,low_or_ambiguous_score,,,True,88,30,1.0,1.0,1.0,1.0,42,30,1.0000000000000018,1.0000000000000018,False,True,conflict,False,False,False,010010020,Church of the Living Water,45.43,2.58,district_constrained_review,7.0,01001000004,East Memorial Christian Academy,review,85.5,41.06,False,False,False,compatible,,,,,unresolved,,,unresolved,
2,AUTAUGA,10 JONES COMMUNITY CENTER,10 JONES COMMUNITY CENTER,10 JONES COMMUNITY CENTER,2014-General-Autauga.xlsx,contest_rows,False,010010010,0010,Jones Community Center,JONES COMMUNITY CENTER,fuzzy_high,95.0,19.0,1,MARBURY COMMUNITY CENTER,76.0,UPPER KINGSTON COMMUNITY CENTER,74.15,True,False,,1.0,,True,69,30,1.0,1.0,1.0,1.0,69,30,0.9999999999999974,0.99999999416105,True,True,compatible,True,False,False,,,,,,,01001000001,Jones Comm Ctr,fuzzy_high,95.0,15.83,True,True,False,compatible,,vest16,01001000001,Jones Comm Ctr,district_validated,,,one_to_one,1.0
3,AUTAUGA,100 TRINITY METHODIST,100 TRINITY METHODIST,TRINITY METHODIST,2014-General-Autauga.xlsx,contest_rows,False,010010100,0100,Trinity Methodist Church,TRINITY METHODIST CHURCH,fuzzy_high,95.0,50.0,1,UPPER KINGSTON COMMUNITY CENTER,45.0,WHITE CITY FIRE STATION,42.75,True,False,,1.0,,True,88,30,1.0,1.0,1.0,1.0,88,30,1.0000000000000004,1.0000000000000004,True,True,compatible,True,False,False,,,,,,,01001000010,Trinity Methodist,exact_normalized,100.0,100.0,True,True,False,compatible,,vest16,01001000010,Trinity Methodist,district_validated,,,one_to_one,1.0
4,AUTAUGA,110 CENTRAL AL ELECTRIC,110 CENTRAL AL ELECTRIC,CENTRAL AL ELECTRIC,2014-General-Autauga.xlsx,contest_rows,False,010010080,0080,Independence Voting Center,INDEPENDENCE VOTING CENTER,review,46.44,0.23,3,BILLINGSLEY GOVERNMENT CENTER,46.22,AUTAUGAVILLE,45.0,False,True,low_or_ambiguous_score,,,True,69,30,1.0,1.0,1.0,1.0,69,30,0.9999999999999992,0.9999999999999992,True,True,compatible,False,False,False,010010080,Independence Voting Center,46.44,1.44,district_constrained_review,7.0,01001000011,Central AL Electric Co-Op,fuzzy_medium,90.0,43.56,True,True,False,compatible,,vest16,01001000011,Central AL Electric Co-Op,district_validated,,,one_to_one,1.0
5,AUTAUGA,130 CHAMBER OF COMMERCE,130 CHAMBER OF COMMERCE,CHAMBER OF COMMERCE,2014-General-Autauga.xlsx,contest_rows,False,010010130,0130,Chamber of Commerce,CHAMBER OF COMMERCE,exact_normalized,100.0,100.0,1,BILLINGSLEY GOVERNMENT CENTER,46.22,AUTAUGAVILLE,45.0,True,False,,1.0,,True,42;88,30,2.0,1.0,0.9458563535911604,1.0,88,30,1.0,1.0,True,True,compatible,True,False,False,,,,,,,01001000001,Jones Comm Ctr,review,46.34,0.74,False,False,False,conflict,,vtd10,010010130,Chamber of Commerce,district_validated,,,one_to_one,1.0
6,AUTAUGA,140 AUTAUGAVILLE VFD,140 AUTAUGAVILLE VOLUNTEER FIRE DEPARTMENT,AUTAUGAVILLE VOLUNTEER FIRE DEPARTMENT,2014-General-Autauga.xlsx,contest_rows,False,010010140,0140,Autaugaville,AUTAUGAVILLE,review,90.0,4.5,1,PINE LEVEL FIRE STATION,85.5,WHITE CITY FIRE STATION,85.5,False,True,low_or_ambiguous_score,,,True,69,30,1.0,1.0,1.0,1.0,69,30,1.0000000000000002,0.999999981300777,True,True,compatible,False,False,False,010010140,Autaugaville,90.0,5.18,district_constrained_review,7.0,01001000014,Autaugaville VFD,exact_normalized,100.0,100.0,True,True,False,compatible,,vest16,01001000014,Autaugaville VFD,district_validated,,,one_to_one,1.0
7,AUTAUGA,150 PRATTMONT BAPTIST CHURCH,150 PRATTMONT BAPTIST CHURCH,PRATTMONT BAPTIST CHURCH,2014-General-Autauga.xlsx,contest_rows,False,010010150,0150,Prattmont Baptist Church,PRATTMONT BAPTIST CHURCH,exact_normalized,100.0,100.0,1,PINE LEVEL FIRE STATION,85.5,WHITE CITY FIRE STATION,85.5,True,False,,1.0,,True,88,30,1.0,1.0,1.0,1.0,88,30,1.0,1.0,True,True,compatible,True,False,False,,,,,,,01001000015,Prattmont Baptist,fuzzy_high,95.0,9.5,True,True,False,compatible,,vest16,01001000015,Prattmont Baptist,district_validated,,,one_to_one,1.0
8,AUTAUGA,160 AUTAUGA ACADEMY,160 AUTAUGA ACADEMY,AUTAUGA ACADEMY,2014-General-Autauga.xlsx,contest_rows,False,010010140,0140,Autaugaville,AUTAUGAVILLE,review,59.26,23.63,1,INDEPENDENCE VOTING CENTER,35.62,MARBURY COMMUNITY CENTER,34.62,False,True,low_or_ambiguous_score,,,True,42;69;88,30,3.0,1.0,0.4888888888888889,1.0,69,30,1.0000000000000002,0.999999981300777,True,True,compatible,False,False,False,010010140,Autaugaville,59.26,23.63,district_constrained_review,17.0,01001000004,East Memorial Christian Academy,review,85.5,28.23,False,False,False,compatible,,,,,unresolved,,,unresolved,
9,AUTAUGA,170 CAMELLIA BAPTIST CHURCH,170 CAMELLIA BAPTIST CHURCH,CAMELLIA BAPTIST CHURCH,2014-General-Autauga.xlsx,contest_rows,False,010010170,0170,Camelia Baptist Church,CAMELIA BAPTIST CHURCH,fuzzy_high,97.78,25.44,1,PRATTMONT BAPTIST CHURCH,72.34,TRINITY METHODIST CHURCH,55.32,True,False,,1.0,,True,88,30,1.0,1.0,1.0,1.0,88,30,0.9999999999999984,0.9999999999999984,True,True,compatible,True,False,False,,,,,,,01001000017,Camellia Baptist,fuzzy_high,95.0,37.17,True,True,False,compatible,,vest16,01001000017,Camellia Baptist,district_validated,,,one_to_one,1.0
10,AUTAUGA,180 OLD KINGSTON VFD,180 OLD KINGSTON VOLUNTEER FIRE DEPARTMENT,OLD KINGSTON VOLUNTEER FIRE DEPARTMENT,2014-General-Autauga.xlsx,contest_rows,False,010010180,0180,Old Kingston Vote Site,OLD KINGSTON VOTE SITE,review,85.5,0.0,3,PINE LEVEL FIRE STATION,85.5,WHITE CITY FIRE STATION,85.5,False,True,low_or_ambiguous_score,,,True,69,30,1.0,1.0,1.0,1.0,69,30,1.0000000000000002,1.0000000000000002,True,True,compatible,False,False,False,010010180,Old Kingston Vote Site,85.5,0.68,district_constrained_review,7.0,01001000018,Old Kingston VFD,exact_normalized,100.0,100.0,True,True,False,compatible,,vest16,01001000018,Old Kingston VFD,district_validated,,,one_to_one,1.0
